dest_ip,metadata_comment
52.122.4.0/23,AS8069 IPv4
20.157.204.0/24,AS8069 IPv4
20.47.58.0/23,AS8069 IPv4
132.164.0.0/16,AS8075 IPv4
167.220.224.0/20,AS3598
20.157.235.0/24,AS8069
20.157.184.0/24,AS8069
20.157.21.0/24,AS8069
157.55.0.0/16,AS8075 IPv4
20.33.116.0/24,AS8069 IPv4
65.53.0.0/16,AS3598
20.33.80.0/24,AS8069 IPv4
20.47.120.0/23,AS8069 IPv4
20.157.152.0/24,AS8069
20.157.250.0/24,AS8069 IPv4
20.33.201.0/24,AS8069 IPv4
20.157.185.0/24,AS8069
20.153.150.0/24,AS8069 IPv4
20.33.100.0/23,AS8069 IPv4
20.153.156.0/24,AS8069 IPv4
13.107.14.0/24,AS8075
198.71.66.0/24,AS30520 IPv4
209.251.248.0/24,AS8075 IPv4
20.153.128.0/23,AS8069 IPv4
2a0b:9e80:2000::/48,AS8075 IPv6
40.108.128.0/17,AS8075
40.146.0.0/16,AS8075 IPv4
20.157.214.0/24,AS8069
20.33.206.0/24,AS8069
2a0f:7803:fc50::/48,AS8075 IPv6
20.33.50.0/24,AS8069 IPv4
134.177.0.0/16,ASN not found
98.70.0.0/15,AS8075 IPv4
147.214.0.0/16,AS8075 IPv4
135.244.0.0/16,AS8075 IPv4
62.12.59.0/24,AS8075 IPv4
74.160.0.0/14,AS8075 IPv4
20.47.114.0/24,AS8069 IPv4
212.207.0.0/16,AS8075
20.157.244.0/24,AS8069 IPv4
20.47.26.0/24,AS8069 IPv4
20.157.173.0/24,AS8069 IPv4
2608:1c1:6::/48,AS12076 IPv6
208.80.135.0/24,AS8075 IPv4
204.95.96.0/20,AS8075 IPv4
94.143.108.0/24,AS8075 IPv4
138.239.0.0/16,AS8075 IPv4
20.47.51.0/24,AS8069 IPv4
20.157.193.0/24,AS8069 IPv4
167.220.208.0/23,AS3598 IPv4
167.105.0.0/16,AS8075 IPv4
2620:1ec:9::/48,AS8075
52.96.38.0/24,AS8075 IPv4
20.157.132.0/24,AS8069
20.157.209.0/24,AS8069
199.50.0.0/16,AS8075 IPv4
20.33.46.0/24,AS8069 IPv4
51.106.0.0/16,ASN not found
135.56.4.0/24,AS8075 IPv4
57.152.0.0/13,ASN not found
20.157.5.0/24,AS8069
20.157.119.0/24,AS8069 IPv4
20.33.104.0/24,AS8069
194.49.206.0/24,AS8075 IPv4
138.128.251.0/24,AS8075 IPv4
20.33.160.0/24,AS8069
2620:1ec:44::/48,AS8068 IPv6
20.157.38.0/24,AS8069
20.33.38.0/24,AS8069
20.47.101.0/24,AS8069
13.104.0.0/14,AS8075 IPv4
40.123.192.0/19,AS8075
70.152.0.0/15,AS8075 IPv4
74.117.19.0/24,AS8075 IPv4
69.52.199.0/24,AS8075 IPv4
20.33.232.0/24,AS8069 IPv4
8.39.192.0/21,AS54396 IPv4
102.37.0.0/16,AS8075
146.116.249.0/24,AS8075 IPv4
143.188.156.0/22,AS8075 IPv4
128.127.76.0/24,AS8075 IPv4
20.157.109.0/24,AS8069
170.62.37.0/24,AS8075 IPv4
157.57.0.0/16,AS3598 IPv4
20.157.251.0/24,AS8069
2602:fdeb:64::/48,AS8075 IPv6
52.122.36.0/22,AS8069 IPv4
20.33.108.0/24,AS8069
20.157.104.0/24,AS8069
52.96.0.0/14,AS8075 IPv4
2a12:fc0::/48,AS8075 IPv6
194.41.19.0/24,AS8075 IPv4
137.162.0.0/16,AS8075 IPv4
217.169.202.0/24,AS8075 IPv4
46.29.242.0/24,AS8075 IPv4
204.79.197.0/24,AS8068
209.51.100.0/24,AS8075 IPv4
20.157.8.0/22,AS8069
20.157.104.0/24,AS8069 IPv4
157.172.0.0/16,AS8075
20.157.186.0/24,AS8069 IPv4
20.33.140.0/24,AS8069 IPv4
52.98.16.0/22,AS8075
69.52.192.0/24,AS8075 IPv4
20.47.16.0/23,AS8069
195.114.140.0/24,AS8075 IPv4
157.58.192.0/19,AS3598 IPv4
20.157.220.0/24,AS8069 IPv4
20.47.44.0/24,AS8069
52.122.208.0/22,AS8069 IPv4
193.53.155.0/24,AS8075 IPv4
52.122.48.0/22,AS8075
20.33.209.0/24,AS8069
9.146.0.0/16,AS8075 IPv4
2001:df0:d8::/48,AS8075
20.157.210.0/23,AS8069 IPv4
2620:119:5077::/48,AS8075 IPv6
149.175.0.0/16,AS8075
104.40.0.0/13,AS8075 IPv4
124.252.0.0/16,AS8075
20.157.72.0/24,AS8069 IPv4
20.33.109.0/24,AS8069 IPv4
20.153.137.0/24,AS8069 IPv4
20.47.10.0/24,AS8069
23.154.88.0/24,AS8075 IPv4
13.107.21.0/24,AS8068 IPv4
83.218.234.0/24,AS8075 IPv4
204.79.252.0/24,AS8075
20.33.12.0/24,AS8069
20.47.87.0/24,AS8069
141.206.200.0/24,AS8075 IPv4
66.132.204.0/22,AS8075 IPv4
149.198.0.0/16,AS8075 IPv4
206.191.224.0/19,AS8075 IPv4
20.153.184.0/22,AS8069 IPv4
145.190.48.0/22,AS8069 IPv4
40.66.0.0/17,AS8075 IPv4
193.134.96.0/24,AS8075 IPv4
20.157.139.0/24,AS8069
20.33.56.0/24,AS8069
2620:bc:2000::/48,AS8075 IPv6
20.157.59.0/24,AS8069
203.32.11.0/24,AS8075 IPv4
20.157.92.0/24,AS8069 IPv4
2001:4898:e810::/48,AS52985 IPv6
20.157.84.0/24,AS8069 IPv4
20.33.34.0/24,AS8069
2602:812:200a::/48,AS8075 IPv6
54.104.0.0/16,ASN not found
165.125.52.0/24,AS8075 IPv4
51.126.0.0/16,AS8075
2620:7d:e::/48,AS8075 IPv6
207.103.0.0/16,AS8075
13.107.7.0/24,AS8068
66.119.144.0/20,AS8075
82.87.0.0/16,AS8075 IPv4
13.107.48.0/24,AS8068 IPv4
138.32.111.0/24,AS8075 IPv4
20.33.6.0/24,AS8069 IPv4
135.130.0.0/16,AS8075 IPv4
20.33.56.0/24,AS8069 IPv4
204.13.120.0/21,AS8070 IPv4
40.125.0.0/17,AS8075
20.157.59.0/24,AS8069 IPv4
20.157.179.0/24,AS8069 IPv4
134.138.0.0/16,AS8075
20.33.30.0/24,AS8069
38.94.229.0/24,AS397096 IPv4
185.209.208.0/24,AS8075 IPv4
20.33.235.0/24,AS8069 IPv4
20.47.99.0/24,AS8069
20.153.146.0/24,AS8069 IPv4
217.177.96.0/19,ASN not found
40.126.0.0/18,AS8075 IPv4
20.153.40.0/24,AS8069 IPv4
23.102.0.0/16,AS8075 IPv4
131.253.8.0/24,AS8075 IPv4
20.157.112.0/24,AS8069 IPv4
20.33.250.0/24,AS8069 IPv4
20.47.107.0/24,AS8069
150.171.32.0/24,AS8068
20.33.208.0/24,AS8069
20.157.43.0/24,AS8069
52.113.195.0/24,AS8068
20.157.120.0/24,AS8069
2620:1ec:25::/48,AS8075 IPv6
20.47.11.0/24,AS8069
113.197.66.0/24,AS8075 IPv4
131.253.128.0/17,AS8075 IPv4
74.7.0.0/16,AS8075
67.210.129.0/24,AS8075 IPv4
20.157.48.0/23,AS8069
13.107.40.0/24,AS8068 IPv4
20.153.139.0/24,AS8069 IPv4
9.169.0.0/16,AS8075 IPv4
103.255.140.0/23,AS59067
148.7.0.0/16,AS8075 IPv4
20.157.39.0/24,AS8069
20.47.0.0/24,AS8069
20.157.17.0/24,AS8069
20.33.208.0/24,AS8069 IPv4
20.157.58.0/24,AS8069 IPv4
20.180.0.0/14,ASN not found
23.100.0.0/15,AS8075
198.47.13.0/24,AS8075 IPv4
2620:1ec:8f0::/48,AS8068
20.33.218.0/24,AS8069 IPv4
4.224.0.0/12,AS8075
132.220.0.0/16,AS8075 IPv4
185.236.221.0/24,AS8075 IPv4
20.157.48.0/23,AS8069 IPv4
20.157.57.0/24,AS8069
2a0a:6044:8ffe::/48,AS8075 IPv6
103.255.140.0/22,AS8072 IPv4
13.107.43.0/24,AS8068
20.157.64.0/21,AS8069 IPv4
20.33.139.0/24,AS8069
40.107.142.0/23,AS8075 IPv4
202.14.81.0/24,AS8075 IPv4
142.0.189.0/24,AS8075 IPv4
145.190.52.0/23,AS8069 IPv4
2620:1ec:8f9::/48,AS8068
9.163.0.0/16,AS8075
131.163.0.0/16,AS8075 IPv4
13.107.54.0/24,AS8068
143.209.0.0/16,AS8075 IPv4
2620:1ec:b::/48,AS8068
85.210.0.0/15,AS8075 IPv4
20.47.119.0/24,AS8069 IPv4
20.157.217.0/24,AS8069
20.157.170.0/24,AS8069
20.157.57.0/24,AS8069 IPv4
20.153.154.0/24,AS8069 IPv4
20.33.102.0/23,AS8069 IPv4
20.47.38.0/24,AS8069
194.69.104.0/23,AS35106
204.209.18.0/24,AS8075 IPv4
20.157.221.0/24,AS8069
192.92.214.0/24,AS63314
150.171.43.0/24,AS8068 IPv4
20.157.47.0/24,AS8069
20.47.54.0/24,AS8069
20.157.98.0/24,AS8069
2607:9240:3f00::/48,AS8070 IPv6
192.0.58.0/24,AS8075 IPv4
167.220.240.0/22,AS3598
20.157.155.0/24,AS8069 IPv4
2a01:110:8068::/48,AS3598
20.47.91.0/24,AS8069
40.146.0.0/16,AS8075
20.47.106.0/24,AS8069
20.33.66.0/24,AS8069
172.160.0.0/11,AS8075 IPv4
20.46.192.0/19,AS8075 IPv4
131.107.0.0/16,AS3598 IPv4
2a01:111:202c::/48,AS8068 IPv6
20.153.196.0/22,AS8069 IPv4
2602:fdbb:c::/48,AS17144 IPv6
20.33.55.0/24,AS8069 IPv4
158.86.31.0/24,AS8075 IPv4
20.157.107.0/24,AS8069 IPv4
66.178.149.0/24,AS8075 IPv4
160.4.0.0/16,AS8075 IPv4
20.33.126.0/24,AS8069 IPv4
137.70.156.0/24,AS8070 IPv4
20.47.115.0/24,AS8069
2a01:110::/31,ASN not found
20.153.183.0/24,AS8069 IPv4
20.33.49.0/24,AS8069
157.56.0.0/14,ASN not found
142.229.194.0/24,AS8075 IPv4
20.33.66.0/24,AS8069 IPv4
103.255.140.0/23,AS59067 IPv4
135.220.0.0/16,AS8075 IPv4
20.47.42.0/24,AS8069 IPv4
20.157.249.0/24,AS8069 IPv4
2620:010c:5000::/44,AS22692 IPv6
20.153.55.0/24,AS8069 IPv4
20.157.100.0/24,AS8069 IPv4
20.47.55.0/24,AS8069
138.239.0.0/16,AS8075
2a01:111:4000::/36,AS8075
2a01:111:2000::/36,AS8075
20.33.27.0/24,AS8069
52.96.38.0/24,AS8075
20.157.171.0/24,AS8069 IPv4
20.153.28.0/24,AS8069 IPv4
141.59.240.0/21,AS8075 IPv4
20.157.106.0/24,AS8069 IPv4
13.107.52.0/24,AS8068 IPv4
216.34.51.0/24,AS20046 IPv4
143.188.152.0/22,AS8075 IPv4
94.143.107.0/24,AS8075 IPv4
20.153.153.0/24,AS8069 IPv4
20.157.150.0/24,AS8069
20.157.226.0/24,AS8069 IPv4
4.213.247.0/24,AS8069 IPv4
20.33.152.0/24,AS8069 IPv4
111.221.24.0/22,AS8075 IPv4
2001:698:1::/48,AS8075 IPv6
20.47.126.0/23,AS8069 IPv4
20.157.243.0/24,AS8069 IPv4
134.149.0.0/16,AS8075 IPv4
155.62.0.0/16,AS8075 IPv4
198.200.130.0/24,AS8075 IPv4
20.47.94.0/24,AS8069 IPv4
20.157.153.0/24,AS8069
20.33.3.0/24,AS8069 IPv4
2620:1ec:24::/48,AS8068
178.251.21.0/24,AS8075 IPv4
2401:ef40::/48,AS8075 IPv6
9.129.0.0/16,ASN not found
135.221.0.0/16,AS8075
20.157.142.0/24,AS8069
204.79.195.0/24,AS8075 IPv4
40.66.166.0/24,AS8075 IPv4
203.10.25.0/24,AS8075 IPv4
20.33.137.0/24,AS8069 IPv4
204.209.219.0/24,AS8075 IPv4
20.157.159.0/24,AS8069 IPv4
164.75.131.0/24,AS8075 IPv4
40.253.0.0/16,AS8075 IPv4
20.47.116.0/24,AS8069 IPv4
20.33.230.0/24,AS8069
167.231.0.0/16,AS8075 IPv4
131.253.32.0/20,AS8075 IPv4
20.33.67.0/24,AS8069 IPv4
20.33.0.0/24,AS8069
20.47.88.0/24,AS8069
20.33.86.0/24,AS8069
160.187.9.0/24,AS8075 IPv4
20.33.118.0/24,AS8069 IPv4
13.107.51.0/24,AS8068 IPv4
207.68.128.0/18,AS8075 IPv4
20.157.237.0/24,AS8069
185.117.95.0/24,AS8075 IPv4
20.33.89.0/24,AS8069 IPv4
52.96.0.0/12,AS8075 IPv4
20.47.111.0/24,AS8069
20.157.94.0/24,AS8069
195.244.28.0/23,AS8075 IPv4
20.33.59.0/24,AS8069
165.15.0.0/16,AS8075 IPv4
40.159.0.0/16,AS8075
192.160.194.0/24,AS8075 IPv4
111.221.28.0/24,AS59067
170.176.147.0/24,AS8075 IPv4
20.47.30.0/24,AS8069 IPv4
135.236.0.0/15,AS8075 IPv4
40.47.0.0/16,AS8075
20.33.94.0/24,AS8069 IPv4
13.107.140.0/24,AS8068 IPv4
20.33.8.0/24,AS8069
20.153.252.0/22,AS8069 IPv4
20.157.169.0/24,AS8069
20.157.105.0/24,AS8069 IPv4
145.46.160.0/24,AS8075 IPv4
20.157.237.0/24,AS8069 IPv4
161.131.217.0/24,AS8075 IPv4
52.148.0.0/14,AS8075 IPv4
69.52.198.0/24,AS8075 IPv4
156.23.0.0/16,AS8075 IPv4
20.33.133.0/24,AS8069 IPv4
