dest_ip,metadata_comment
5.101.108.0/24,AS14061
144.126.248.0/22,AS14061 IPv4
174.138.104.0/22,AS14061
68.183.64.0/20,AS14061 IPv4
198.211.112.0/22,AS14061
165.232.48.0/20,AS14061
152.42.152.0/22,AS14061
157.245.28.0/22,AS14061 IPv4
198.211.120.0/21,AS14061 IPv4
178.128.224.0/20,AS14061
198.199.92.0/22,AS14061
104.248.32.0/20,AS14061
104.236.192.0/18,AS14061 IPv4
192.81.216.0/22,AS14061
159.65.208.0/22,AS14061 IPv4
2a03:b0c0:ffff::/48,AS14061
209.97.144.0/20,AS14061 IPv4
159.203.144.0/22,AS14061
146.190.188.0/22,AS14061
167.172.224.0/20,AS14061 IPv4
146.190.16.0/20,AS14061 IPv4
138.197.232.0/22,AS14061 IPv4
107.170.0.0/16,ASN not found
64.225.16.0/20,AS14061 IPv4
165.227.240.0/22,AS14061 IPv4
137.184.252.0/24,AS14061
159.89.240.0/22,AS14061
134.209.192.0/20,AS14061
134.199.176.0/22,AS14061 IPv4
45.55.96.0/22,AS14061 IPv4
142.93.224.0/20,AS14061
67.207.64.0/23,AS14061 IPv4
188.166.136.0/22,AS14061
138.68.208.0/20,AS14061
138.197.80.0/20,AS62567 IPv4
167.71.144.0/20,AS14061
157.230.176.0/20,AS14061 IPv4
64.227.128.0/19,AS14061
178.62.128.0/18,AS14061
142.93.0.0/16,ASN not found
45.55.192.0/18,AS14061 IPv4
104.131.224.0/19,AS14061 IPv4
161.35.64.0/20,AS14061
142.93.160.0/20,AS14061 IPv4
164.92.64.0/19,AS14061
199.4.223.0/24,AS46652
104.131.64.0/18,AS14061 IPv4
46.101.64.0/22,AS14061 IPv4
104.248.0.0/20,AS14061 IPv4
159.223.16.0/20,AS14061
165.22.96.0/20,AS14061 IPv4
143.244.204.0/22,AS14061 IPv4
152.42.156.0/22,AS14061
165.22.112.0/20,AS14061 IPv4
159.89.60.0/24,AS14061 IPv4
159.203.224.0/20,AS14061 IPv4
159.203.148.0/22,AS14061 IPv4
104.248.64.0/20,AS14061
129.212.132.0/22,AS14061 IPv4
138.68.64.0/20,AS14061 IPv4
159.223.248.0/22,AS14061
104.236.0.0/18,AS62567 IPv4
147.182.144.0/20,AS14061 IPv4
159.65.112.0/20,AS14061 IPv4
46.101.68.0/22,AS14061
164.90.248.0/24,AS14061
138.197.64.0/20,AS14061 IPv4
165.227.208.0/20,AS14061
167.99.240.0/20,AS14061 IPv4
165.232.96.0/20,AS14061 IPv4
68.183.128.0/20,AS14061
147.182.176.0/20,AS14061
199.4.223.0/24,AS46652 IPv4
138.197.96.0/20,AS62567 IPv4
69.55.57.0/24,AS46652 IPv4
134.199.180.0/22,AS14061
178.128.208.0/20,AS14061 IPv4
178.128.132.0/22,AS14061
206.189.64.0/20,AS14061 IPv4
178.128.112.0/20,AS14061
209.38.48.0/22,AS14061
157.230.68.0/22,AS14061 IPv4
138.68.32.0/24,AS14061
159.89.244.0/22,AS14061 IPv4
165.22.144.0/20,AS14061 IPv4
143.110.240.0/20,AS14061 IPv4
159.223.48.0/20,AS14061 IPv4
137.184.32.0/20,AS14061 IPv4
24.144.80.0/20,AS14061 IPv4
134.209.140.0/22,AS14061
164.92.208.0/20,AS14061 IPv4
138.197.32.0/20,AS14061 IPv4
164.90.249.0/24,AS14061
64.227.80.0/20,AS14061 IPv4
67.205.128.0/20,AS14061 IPv4
161.35.128.0/20,AS14061 IPv4
188.166.144.0/20,AS14061 IPv4
45.55.116.0/22,AS14061 IPv4
167.99.0.0/20,AS14061
167.172.16.0/20,AS14061 IPv4
167.172.208.0/20,AS14061 IPv4
165.232.160.0/20,AS14061 IPv4
159.89.32.0/20,AS14061 IPv4
174.138.0.0/20,AS14061 IPv4
143.198.112.0/20,AS14061 IPv4
139.59.48.0/22,AS14061 IPv4
161.35.144.0/20,AS14061 IPv4
174.138.80.0/20,AS14061
143.198.16.0/20,AS14061 IPv4
157.245.96.0/20,AS14061 IPv4
147.182.192.0/20,AS14061 IPv4
159.89.48.0/21,AS62567 IPv4
159.89.63.0/24,AS14061 IPv4
159.203.160.0/20,AS14061 IPv4
174.138.64.0/20,AS62567 IPv4
139.59.176.0/20,AS14061
64.227.160.0/20,AS14061 IPv4
152.42.128.0/17,ASN not found
141.0.168.0/24,AS46652
2604:a880:4::/48,AS14061 IPv6
157.230.64.0/22,AS14061 IPv4
104.236.64.0/18,AS62567 IPv4
152.42.160.0/19,AS14061 IPv4
157.230.48.0/20,AS14061
209.38.112.0/22,AS14061 IPv4
174.138.100.0/22,AS14061 IPv4
134.209.64.0/20,AS14061 IPv4
165.227.80.0/20,AS14061 IPv4
162.243.191.0/24,AS62567 IPv4
146.190.8.0/22,AS14061 IPv4
