dest_ip,metadata_comment
23.204.64.0/22,AS16625 IPv4
2600:1408:4000::/48,AS35994
96.7.228.0/24,AS20940 IPv4
2a02:26f0:a900::/48,AS20940 IPv6
2.18.232.0/22,AS16625 IPv4
96.17.60.0/22,AS16625 IPv4
2600:140f:b::/48,AS9498
23.200.217.0/24,AS24319 IPv4
2600:1407:c00::/48,AS35994
184.25.97.0/24,AS20940 IPv4
23.35.228.0/22,AS16625 IPv4
23.206.59.0/24,AS33905 IPv4
2a02:26f7:cc88::/48,AS36183
69.192.32.0/20,AS16625 IPv4
23.203.244.0/22,AS16625 IPv4
2a02:26f7:b8c8::/48,AS36183 IPv6
2a02:26f0:a00::/48,AS20940
23.61.194.0/23,AS20940 IPv4
23.215.112.0/22,AS20940 IPv4
2600:1409:11::/48,AS35994
2600:1403:ac00::/48,AS20940 IPv6
23.211.16.0/20,AS16625 IPv4
2a02:26f7:f684::/48,AS36183
172.224.119.0/24,AS36183 IPv4
23.1.208.0/20,AS16625 IPv4
2.18.178.0/24,AS20940
2.22.233.0/24,AS12400
23.213.2.0/24,AS20940 IPv4
45.79.14.0/24,AS63949 IPv4
2a02:26f7:15e::/48,AS36183
2.19.100.0/22,AS16625
172.224.82.0/24,AS36183 IPv4
2a02:26f7:b05a::/48,AS36183 IPv6
2a02:26f7:e51c::/48,AS36183 IPv6
2.16.0.0/24,AS20940 IPv4
2600:1406:6400::/48,AS20940 IPv6
2.21.168.0/22,AS16625
23.208.28.0/24,AS20940 IPv4
118.215.152.0/21,AS55836
23.192.218.0/24,AS24319 IPv4
2a02:26f7:dc08::/48,AS36183
172.224.74.0/24,AS36183 IPv4
2a02:26f7:b0d8::/48,AS36183 IPv6
23.44.224.0/24,AS20940 IPv4
2404:4e00:1083::/48,AS32787
2.17.45.0/24,AS20940
23.66.231.0/24,AS20940 IPv4
2.21.52.0/22,AS16625 IPv4
2a02:26f7:b010::/48,AS36183 IPv6
23.41.128.0/20,AS16625 IPv4
2a02:26f7:c988::/48,AS36183 IPv6
172.224.210.0/24,AS36183 IPv4
2a02:26f7:b640::/48,AS36183
2001:4878:8166::/48,AS12222 IPv6
2a02:26f7:c408::/48,AS36183 IPv6
88.221.86.0/24,AS31108
23.193.24.0/22,AS16625 IPv4
23.199.248.0/22,AS16625 IPv4
2a02:26f7:b0c2::/48,AS36183 IPv6
2a02:26f7:e514::/48,AS36183
23.32.2.0/24,AS35994 IPv4
23.213.174.0/24,AS35994 IPv4
23.56.24.0/22,AS16625 IPv4
2.21.115.0/24,AS32787
172.225.170.0/24,AS20940
23.204.92.0/24,AS20940 IPv4
23.213.24.0/24,AS20940 IPv4
184.87.196.0/24,AS20940 IPv4
172.225.13.0/24,AS20940
23.198.32.0/22,AS16625 IPv4
2a02:26f0:5c00::/48,AS20940
2a02:26f7:ec00::/48,AS36183 IPv6
23.210.204.0/22,AS16625 IPv4
23.205.71.0/24,AS20940 IPv4
92.123.176.0/22,AS16625
2600:3c19::/32,AS63949 IPv6
95.101.8.0/24,AS20940
88.221.44.0/22,AS16625 IPv4
172.238.224.0/20,AS63949 IPv4
2600:140b:6800::/48,AS24319 IPv6
104.91.60.0/22,AS16625 IPv4
104.97.76.0/24,AS20940 IPv4
23.53.35.0/24,AS20940 IPv4
2a02:26f7:dd44::/48,AS36183
23.73.0.0/24,AS20940 IPv4
23.218.93.0/24,AS20940 IPv4
23.48.156.0/22,AS16625 IPv4
2a02:26f7:b237::/48,AS36183
2a02:26f7:e1c8::/48,AS36183
2600:1410:3000::/48,AS20940 IPv6
2.21.160.0/22,AS37457
23.45.205.0/24,AS20940 IPv4
95.100.108.0/24,AS20940 IPv4
184.25.244.0/22,AS16625 IPv4
2a02:26f0:d200::/48,AS20940 IPv6
2.16.12.0/23,AS16625 IPv4
2a02:2370:104::/48,AS32787 IPv6
23.220.76.0/24,AS35994 IPv4
23.202.120.0/24,AS24319 IPv4
2a02:26f7:b984::/48,AS36183
104.65.228.0/22,AS20940
23.50.40.0/21,AS16625 IPv4
23.196.32.0/22,AS16625 IPv4
2.22.208.0/22,AS16625 IPv4
2a02:26f7:cd00::/48,AS36183
95.101.124.0/22,AS16625 IPv4
2.16.0.0/24,AS20940
23.196.13.0/24,AS24319 IPv4
2a02:26f7:e700::/48,AS36183 IPv6
23.211.61.0/24,AS21342 IPv4
2a02:26f7:e080::/48,AS36183 IPv6
184.27.199.0/24,AS20940 IPv4
2a02:26f7:d948::/48,AS36183 IPv6
23.194.112.0/23,AS20940 IPv4
184.86.0.0/20,AS16625 IPv4
2a02:26f0:8100::/48,AS20940
184.25.126.0/24,AS20940 IPv4
2.22.230.0/24,AS21342 IPv4
23.38.76.0/22,AS16625 IPv4
23.48.249.0/24,AS20940 IPv4
23.36.172.0/22,AS16625 IPv4
23.205.72.0/22,AS16625 IPv4
2620:0:b60::/48,AS17204
2.19.249.0/24,AS20940 IPv4
23.54.72.0/23,AS20940 IPv4
23.206.243.0/24,AS20940
2.20.24.0/22,AS9121
2a02:26f7:b11b::/48,AS36183 IPv6
62.255.142.0/24,AS32787 IPv4
23.212.63.0/24,AS20940 IPv4
23.6.204.0/22,AS16625 IPv4
104.80.24.0/24,AS35994 IPv4
172.225.69.0/24,AS36183 IPv4
172.225.155.0/24,AS36183 IPv4
2600:1480:400::/48,AS21342 IPv6
23.199.45.0/24,AS20940 IPv4
2a02:26f0:e80::/48,AS20940
2a02:26f7:d708::/48,AS36183 IPv6
165.254.123.0/24,AS20940 IPv4
2a02:26f7:e7cc::/48,AS36183 IPv6
2600:1417:f000::/48,AS20940
2a02:26f7:4::/48,AS36183 IPv6
2a02:26f7:c5c5::/48,AS36183 IPv6
2.21.115.0/24,AS32787 IPv4
23.1.108.0/22,AS16625 IPv4
23.75.120.0/21,AS16625 IPv4
2.19.162.0/24,AS20940 IPv4
2.23.105.0/24,AS20940 IPv4
