file_hash,metadata_driver_name
b242b0332b9c9e8e17ec27ef10d75503d20d97b6,WinIo64C.sys
a65fabaf64aa1934314aae23f25cdf215cbaa4b6,WinIo64C.sys
f7b3112b9745b766c8359d25e315975d3159935a8ddb3e3035d21ed124a9013f,phydmaccx64.sys
5c308aede12fefb8145c015a97d7844106df5469de97773cba3bd3d772dc7d24,driver_5c308aed.sys
655110646bff890c448c0951e11132dc3592bda6e080696341b930d090224723,gpcidrv64.sys
29e0062a017a93b2f2f5207a608a96df4d554c5de976bd0276c2590a03bd3e94,CITMDRV_AMD64.sys
45abdbcd4c0916b7d9faaf1cd08543a3a5178871074628e0126a6eda890d26e0,CITMDRV_AMD64.sys
50db5480d0392a7dd6ab5df98389dc24d1ed1e9c98c9c35964b19dabcd6dc67f,CITMDRV_AMD64.sys
607dc4c75ac7aef82ae0616a453866b3b358c6cf5c8f9d29e4d37f844306b97c,CITMDRV_AMD64.sys
61d6e40601fa368800980801a662a5b3b36e3c23296e8ae1c85726a56ef18cc8,CITMDRV_AMD64.sys
74a846c61adc53692d3040aff4c1916f32987ad72b07fe226e9e7dbeff1036c4,CITMDRV_AMD64.sys
76fb4deaee57ef30e56c382c92abffe2cf616d08dbecb3368c8ee6b02e59f303,CITMDRV_AMD64.sys
81939e5c12bd627ff268e9887d6fb57e95e6049f28921f3437898757e7f21469,CITMDRV_AMD64.sys
9790a7b9d624b2b18768bb655dda4a05a9929633cef0b1521e79e40d7de0a05b,CITMDRV_AMD64.sys
9a1d66036b0868bbb1b2823209fedea61a301d5dd245f8e7d390bd31e52d663e,CITMDRV_AMD64.sys
aa9ab1195dc866270e984f1bed5e1358d6ef24c515dfdb6c2a92d1e1b94bf608,CITMDRV_AMD64.sys
af095de15a16255ca1b2c27dad365dff9ac32d2a75e8e288f5a1307680781685,CITMDRV_AMD64.sys
d5586dc1e61796a9ae5e5d1ced397874753056c3df2eb963a8916287e1929a71,CITMDRV_AMD64.sys
d8459f7d707c635e2c04d6d6d47b63f73ba3f6629702c7a6e0df0462f6478ae2,CITMDRV_AMD64.sys
e81230217988f3e7ec6f89a06d231ec66039bdba340fd8ebb2bbb586506e3293,CITMDRV_AMD64.sys
f88ebb633406a086d9cca6bc8b66a4ea940c5476529f9033a9e0463512a23a57,CITMDRV_AMD64.sys
668c5bead3c7fcd919afd742ede7e5fe07972dc4cf730ff37deabdd22d88de4a,driver_668c5bea.sys
fd33fb2735cc5ef466a54807d3436622407287e325276fcd3ed1290c98bd0533,nt5.sys
b0f1fbadc1d7a77557d3d836f7698bd986a3ec9fc5d534ad3403970f071176f7,a9df5964635ef8bd567ae487c3d214c4.sys
7326aefff9ea3a32286b423a62baebe33b73251348666c1ee569afe62dd60e11,ACE-BASE.sys
475e5016c9c0f5a127896f9179a1b1577a67b357f399ab5a1e68aab07134729a,mhyprot3.sys
7fd90500b57f9ac959c87f713fe9ca59e669e6e1512f77fccb6a75cdc0dfee8e,mhyprot3.sys
c3d479d7efd0f6b502d6829b893711bdd51aac07d66326b41ef5451bafdfcb29,mhyprot3.sys
24e70c87d58fa5771f02b9ddf0d8870cba6b26e35c6455a2c77f482e2080d3e9,mhyprot3.sys
b617a072c578cea38c460e2851f3d122ba1b7cfa1f5ee3e9f5927663ac37af61,mhyprot3.sys
b531f0a11ca481d5125c93c977325e135a04058019f939169ce3cdedaddd422d,mhyprot3.sys
2aa1b08f47fbb1e2bd2e4a492f5d616968e703e1359a921f62b38b8e4662f0c4,AsrAutoChkUpdDrv.sys
87565ff08a93a8ff41ea932bf55dec8e0c7e79aba036507ea45df9d81cb36105,telephonuAfY.sys
1c1a4ca2cbac9fe5954763a20aeb82da9b10d028824f42fff071503dcbe15856,TfSysMon.sys
64f9e664bc6d4b8f5f68616dd50ae819c3e60452efd5e589d6604b9356841b57,1.sys
29a90ae1dcee66335ece4287a06482716530509912be863c85a2a03a6450a5b6,CorsairLLAccess64.sys
5fad3775feb8b6f6dcbd1642ae6b6a565ff7b64eadfc9bf9777918b51696ab36,CorsairLLAccess64.sys
a334bdf0c0ab07803380eb6ef83eefe7c147d6962595dd9c943a6a76f2200b0d,CorsairLLAccess64.sys
f15ae970e222ce06dbf3752b223270d0e726fb78ebec3598b4f8225b5a0880b1,CorsairLLAccess64.sys
cb25a5125fb353496b59b910263209f273f3552d,kt2.sys
4e3eb5b9bce2fd9f6878ae36288211f0997f6149aa8c290ed91228ba4cdfae80,otipcibus.sys
81c7bb39100d358f8286da5e9aa838606c98dfcc263e9a82ed91cd438cb130d1,wantd_3.sys
a1fa7d8275ccd14a6adc438ef4b950e7de4ed26fcbe4b3e184243663b03c83d6,RtsPer.sys
3ae56ab63230d6d9552360845b4a37b5801cc5ea,gameink.sys
e6a7b0bc01a627a7d0ffb07faddb3a4dd96b6f5208ac26107bdaeb3ab1ec8217,daxin_blank6.sys
bb50818a07b0eb1bd317467139b7eb4bad6cd89053fecdabfeae111689825955,Dh_Kernel.sys
1072beb3ff6b191b3df1a339e3a8c87a8dc5eae727f2b993ea51b448e837636a,ngiodriver.sys
1a450ae0c9258ab0ae64f126f876b5feed63498db729ec61d06ed280e6c46f67,ngiodriver.sys
2ad8c38f6e0ca6c93abe3228c8a5d4299430ce0a2eeb80c914326c75ba8a33f9,ngiodriver.sys
42b31b850894bf917372ff50fbe1aff3990331e8bd03840d75e29dcc1026c180,ngiodriver.sys
5e3bc2d7bc56971457d642458563435c7e5c9c3c7c079ef5abeb6a61fb4d52ea,ngiodriver.sys
5fae7e491b0d919f0b551e15e0942ac7772f2889722684aea32cff369e975879,ngiodriver.sys
733789d0a253e8d80cc3240e365b8d4274e510e36007f6e4b5fd13b07b084c3e,ngiodriver.sys
85fdd255c5d7add25fd7cd502221387a5e11f02144753890218dd31a8333a1a3,ngiodriver.sys
c0c52425dd90f36d110952c665e5b644bb1092f952942c07bb4da998c9ce6e5b,ngiodriver.sys
d0e4d3e1f5d5942aaf2c72631e9490eecc4d295ee78c323d8fe05092e5b788eb,ngiodriver.sys
d1463b7fec911c10a8c96d84eb7c0f9e95fa488d826647a591a38c0593f812a4,ngiodriver.sys
e8eb1c821dbf56bde05c0c49f6d560021628df89c29192058ce68907e7048994,ngiodriver.sys
3ac5e01689a3d745e60925bc7faca8d4306ae693e803b5e19c94906dc30add46,fidpcidrv64.sys
9bb09752cf3a464455422909edef518ac18fe63cf5e1e8d9d6c2e68db62e0c87,POORTRY2.sys
3e274df646f191d2705c0beaa35eeea84808593c3b333809f13632782e27ad75,SANDRA.sys
496f4a4021226fb0f1b5f71a7634c84114c29faa308746a12c2414adb6b2a40b,SANDRA.sys
881bca6dc2dafe1ae18aeb59216af939a3ac37248c13ed42ad0e1048a3855461,SANDRA.sys
b019ebd77ac19cdd72bba3318032752649bd56a7576723a8ae1cccd70ee1e61a,SANDRA.sys
23787eb342fd38da73ce785023176f98304267c6f6fa8a50e718da096c7a7951,phydmaccx86.sys
090d409f86430e078694e621ad0bd5e458d32aa727f0eb99bda3961577df8d49,driver_090d409f.sys
823da894b2c73ffcd39e77366b6f1abf0ae9604d9b20140a54e6d55053aadeba,d4.sys
455bc98ba32adab8b47d2d89bdbadca4910f91c182ab2fc3211ba07d3784537b,nstr.sys
7a7e8df7173387aec593e4fe2b45520ea3156c5f810d2bb1b2784efd1c922376,daxin_blank3.sys
f1c8c3926d0370459a1b7f0cf3d17b22ff9d0c7f,WinIO32B.sys
1e42c8cb410a7ed653cfe62bbd8cf191f31a47337fe1ffcc35232d03f2da05ef,isodrivep64.sys
b9dad0131c51e2645e761b74a71ebad2bf175645fa9f42a4ab0e6921b83306e3,wantd_5.sys
0bec69c1b22603e9a385495fbe94700ac36b28e5,fgme.sys
5bdba1561ec5b23b1d56ea8cee411147d1526595f03a9281166a563b3641fa2a,netfilterdrv.sys
c8926e31be2d1355e542793af8ff9ccc4d1d60cae40c9564b2400dd4e1090bda,netfilterdrv.sys
70b63dfc3ed2b89a4eb8a0aa6c26885f460e5686d21c9d32413df0cdc5f962c7,netfilterdrv.sys
1aa8ba45f9524847e2a36c0dc6fd80162923e88dc1be217dde2fb5894c65ff43,netfilterdrv.sys
115034373fc0ec8f75fb075b7a7011b603259ecc0aca271445e559b5404a1406,netfilterdrv.sys
a5a4a3c3d3d5a79f3ed703fc56d45011c21f9913001fcbcc43a3f7572cff44ec,avalueio.sys
defde359045213ae6ae278e2a92c5b4a46a74119902364c7957a38138e9c9bbd,avalueio.sys
58cb5439e34be4ede6d93c463cb0433c99a100a1c06fca777eda751fd72c07bf,cpuz.sys
eaa5dae373553024d7294105e4e07d996f3a8bd47c770cdf8df79bf57619a8cd,cpuz.sys
3813c1aab1760acb963bcc10d6ea3fddc2976b9e291710756408de392bc9e5d5,cpuz.sys
b4c07f7e7c87518e8950eb0651ae34832b1ecee56c89cdfbd1b4efa8cf97779f,cpuz.sys
68671b735716ffc168addc052c5dc3d635e63e71c1e78815e7874286c3fcc248,cpuz.sys
f7e0cca8ad9ea1e34fa1a5e0533a746b2fa0988ba56b01542bc43841e463b686,cpuz.sys
65e3548bc09dffd550e79501e3fe0fee268f895908e2bba1aa5620eb9bdac52d,cpuz.sys
fb1183ef22ecbcc28f9c0a351c2c0280f1312a0fdf8a9983161691e2585efc70,cpuz.sys
ff987c30ce822d99f3b4b4e23c61b88955f52406a95e6331570a2a13cbebc498,cpuz.sys
65deb5dca18ee846e7272894f74d84d9391bbe260c22f24a65ab37d48bd85377,cpuz.sys
405a99028c99f36ab0f84a1fd810a167b8f0597725e37513d7430617106501f1,cpuz.sys
69640e9209f8e2ac25416bd3119b5308894b6ce22b5c80cb5d5f98f2f85d42ce,cpuz.sys
ac1af529c9491644f1bda63267e0f0f35e30ab0c98ab1aecf4571f4190ab9db4,cpuz.sys
3301b49b813427fa37a719988fe6446c6f4468dfe15aa246bec8d397f62f6486,cpuz.sys
be683cd38e64280567c59f7dc0a45570abcb8a75f1d894853bbbd25675b4adf7,cpuz.sys
6001c6acae09d2a91f8773bbdfd52654c99bc672a9756dc4cb53dc2e3efeb097,cpuz.sys
b7aa4c17afdaff1603ef9b5cc8981bed535555f8185b59d5ae13f342f27ca6c5,cpuz.sys
572c545b5a95d3f4d8c9808ebeff23f3c62ed41910eb162343dd5338e2d6b0b4,cpuz.sys
8a0702681bc51419fbd336817787a966c7f92cabe09f8e959251069578dfa881,cpuz.sys
f8d6ce1c86cbd616bb821698037f60a41e129d282a8d6f1f5ecdd37a9688f585,cpuz.sys
d366cbc1d5dd8863b45776cfb982904abd21d0c0d4697851ff54381055abcfc8,cpuz.sys
c7f64b27cd3be5af1c8454680529ea493dfbb09e634eec7e316445ad73499ae0,cpuz.sys
e51ec2876af3c9c3f1563987a9a35a10f091ea25ede16b1a34ba2648c53e9dfc,cpuz.sys
019c2955e380dd5867c4b82361a8d8de62346ef91140c95cb311b84448c0fa4f,cpuz.sys
73c03b01d5d1eb03ec5cb5a443714b12fa095cc4b09ddc34671a92117ae4bb3a,cpuz.sys
d0543f0fdc589c921b47877041f01b17a534c67dcc7c5ad60beba8cf7e7bc9c6,cpuz.sys
368a9c2b6f12adbe2ba65181fb96f8b0d2241e4eae9f3ce3e20e50c3a3cc9aa1,cpuz.sys
b0f6cd34717d0cea5ab394b39a9de3a479ca472a071540a595117219d9a61a44,cpuz.sys
b738eab6f3e32cec59d5f53c12f13862429d3db6756212bbcd78ba4b4dbc234c,cpuz.sys
8e92aacd60fca1f09b7257e62caf0692794f5d741c5d1eec89d841e87f2c359c,cpuz.sys
8d6febd54ce0c98ea3653e582f7791061923a9a4842bd4a1326564204431ca9f,cpuz.sys
c8f0bb5d8836e21e7a22a406c69c01ba7d512a808c37c45088575d548ee25caa,cpuz.sys
b9695940f72e3ed5d7369fb32958e2146abd29d5895d91ccc22dfbcc9485b78b,cpuz.sys
0d3790af5f8e5c945410929e31d06144a471ac82f828afe89a4758a5bbeb7f9f,cpuz.sys
11d258e05b850dcc9ecfacccc9486e54bd928aaa3d5e9942696c323fdbd3481b,cpuz.sys
19696fb0db3fcae22f705ae1eb1e9f1151c823f3ff5d8857e90f2a4a6fdc5758,cpuz.sys
1e16a01ef44e4c56e87abfbe03b2989b0391b172c3ec162783ad640be65ab961,cpuz.sys
1ee59eb28688e73d10838c66e0d8e011c8df45b6b43a4ac5d0b75795ca3eb512,cpuz.sys
1f4d4db4abe26e765a33afb2501ac134d14cadeaa74ae8a0fae420e4ecf58e0c,cpuz.sys
2101d5e80e92c55ecfd8c24fcf2202a206a4fd70195a1378f88c4cc04d336f22,cpuz.sys
26e3bfef255efd052a84c3c43994c73222b14c95db9a4b1fc2e98f1a5cb26e43,cpuz.sys
2a6db9facf9e13d35c37dd468be04bae5f70c6127a9aee76daebddbdec95d486,cpuz.sys
2a9d481ffdc5c1e2cb50cf078be32be06b21f6e2b38e90e008edfc8c4f2a9c4e,cpuz.sys
2ef7df384e93951893b65500dac6ee09da6b8fe9128326caad41b8be4da49a1e,cpuz.sys
34bee22c18ddbddbe115cf1ab55cabf0e482aba1eb2c343153577fb24b7226d3,cpuz.sys
3e07bb866d329a2f9aaa4802bad04fdac9163de9bf9cfa1d035f5ca610b4b9bf,cpuz.sys
45c3d607cb57a1714c1c604a25cbadf2779f4734855d0e43aa394073b6966b26,cpuz.sys
49329fa09f584d1960b09c1b15df18c0bc1c4fdb90bf48b6b5703e872040b668,cpuz.sys
4d19ee789e101e5a76834fb411aadf8229f08b3ece671343ad57a6576a525036,cpuz.sys
5177a3b7393fb5855b2ec0a45d4c91660b958ee077e76e5a7d0669f2e04bcf02,cpuz.sys
523d1d43e896077f32cd9acaa8e85b513bfb7b013a625e56f0d4e9675d9822ba,cpuz.sys
592f56b13e7dcaa285da64a0b9a48be7562bd9b0a190208b7c8b7d8de427cf6c,cpuz.sys
5b3705b47dc15f2b61ca3821b883b9cd114d83fcc3344d11eb1d3df495d75abe,cpuz.sys
600a2119657973112025db3c0eeab2e69d528bccfeed75f40c6ef50b059ec8a0,cpuz.sys
60b163776e7b95e0c2280d04476304d0c943b484909131f340e3ce6045a49289,cpuz.sys
67734c7c0130dd66c964f76965f09a2290da4b14c94412c0056046e700654bdc,cpuz.sys
6befa481e8cca8084d9ec3a1925782cd3c28ef7a3e4384e034d48deaabb96b63,cpuz.sys
771015b2620942919bb2e0683476635b7a09db55216d6fbf03534cb18513b20c,cpuz.sys
80eeb8c2890f3535ed14f5881baf2f2226e6763be099d09fb8aadaba5b4474c1,cpuz.sys
8688e43d94b41eeca2ed458b8fc0d02f74696a918e375ecd3842d8627e7a8f2b,cpuz.sys
