dest_ip,dest_nt_domain,dest_port
141.98.255.93,se-mma-ovpn-023.relays.mullvad.net,80
45.83.220.92,se-mma-ovpn-102.relays.mullvad.net,443
45.83.220.92,se-mma-ovpn-102.relays.mullvad.net,80
185.65.135.80,se-sto-ovpn-001.relays.mullvad.net,443
185.65.135.80,se-sto-ovpn-001.relays.mullvad.net,80
185.65.135.81,se-sto-ovpn-002.relays.mullvad.net,443
185.65.135.81,se-sto-ovpn-002.relays.mullvad.net,80
185.65.135.82,se-sto-ovpn-003.relays.mullvad.net,443
185.65.135.82,se-sto-ovpn-003.relays.mullvad.net,80
185.65.135.83,se-sto-ovpn-004.relays.mullvad.net,443
185.65.135.83,se-sto-ovpn-004.relays.mullvad.net,80
146.70.199.66,sg-sin-ovpn-101.relays.mullvad.net,443
146.70.199.66,sg-sin-ovpn-101.relays.mullvad.net,80
146.70.199.2,sg-sin-ovpn-102.relays.mullvad.net,443
146.70.199.2,sg-sin-ovpn-102.relays.mullvad.net,80
45.134.140.156,us-atl-ovpn-001.relays.mullvad.net,443
45.134.140.156,us-atl-ovpn-001.relays.mullvad.net,80
45.134.140.169,us-atl-ovpn-002.relays.mullvad.net,443
45.134.140.169,us-atl-ovpn-002.relays.mullvad.net,80
146.70.211.194,us-dal-ovpn-001.relays.mullvad.net,443
146.70.211.194,us-dal-ovpn-001.relays.mullvad.net,80
146.70.177.66,us-dal-ovpn-002.relays.mullvad.net,443
146.70.177.66,us-dal-ovpn-002.relays.mullvad.net,80
198.44.129.162,us-lax-ovpn-101.relays.mullvad.net,443
198.44.129.162,us-lax-ovpn-101.relays.mullvad.net,80
198.44.129.130,us-lax-ovpn-102.relays.mullvad.net,443
198.44.129.130,us-lax-ovpn-102.relays.mullvad.net,80
169.150.203.41,us-lax-ovpn-201.relays.mullvad.net,443
169.150.203.41,us-lax-ovpn-201.relays.mullvad.net,80
169.150.203.54,us-lax-ovpn-202.relays.mullvad.net,443
169.150.203.54,us-lax-ovpn-202.relays.mullvad.net,80
146.70.187.194,us-mia-ovpn-101.relays.mullvad.net,443
146.70.187.194,us-mia-ovpn-101.relays.mullvad.net,80
146.70.183.66,us-mia-ovpn-102.relays.mullvad.net,443
146.70.183.66,us-mia-ovpn-102.relays.mullvad.net,80
146.70.168.2,us-nyc-ovpn-501.relays.mullvad.net,443
146.70.168.2,us-nyc-ovpn-501.relays.mullvad.net,80
146.70.166.2,us-nyc-ovpn-502.relays.mullvad.net,443
146.70.166.2,us-nyc-ovpn-502.relays.mullvad.net,80
146.70.166.66,us-nyc-ovpn-503.relays.mullvad.net,443
146.70.166.66,us-nyc-ovpn-503.relays.mullvad.net,80
146.70.171.194,us-nyc-ovpn-601.relays.mullvad.net,443
