source,advisory_id,cve_id,severity,title,product,product_kind,base_version,affected_raw,affected_type,affected_min_version,affected_min_vnum,affected_min_inclusive,affected_max_version,affected_max_vnum,affected_max_inclusive,fix_version,fix_vnum,published,last_update,url
splunk_advisory,SVD-2026-0605,CVE-2026-20255,Medium,SVD-2026-0605 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0605
splunk_advisory,SVD-2026-0605,CVE-2026-20255,Medium,SVD-2026-0605 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,Splunk Web,unknown,,,0,,,0,9.4.0.9,9004000009,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0605
splunk_advisory,SVD-2026-0605,CVE-2026-20255,Medium,SVD-2026-0605 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.3,Splunk Web,unknown,,,0,,,0,9.3.0.9,9003000009,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0605
splunk_advisory,SVD-2026-0604,CVE-2026-20254,Medium,SVD-2026-0604 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,Splunk Web,unknown,,,0,,,0,10.2.0.10,10002000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0604
splunk_advisory,SVD-2026-0604,CVE-2026-20254,Medium,SVD-2026-0604 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0604
splunk_advisory,SVD-2026-0604,CVE-2026-20254,Medium,SVD-2026-0604 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.4,Splunk Web,unknown,,,0,,,0,9.4.0.9,9004000009,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0604
splunk_advisory,SVD-2026-0604,CVE-2026-20254,Medium,SVD-2026-0604 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,9.3,Splunk Web,unknown,,,0,,,0,9.3.0.9,9003000009,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0604
splunk_advisory,SVD-2026-0603,CVE-2026-20253,Critical,SVD-2026-0603 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,splunkd,unknown,,,0,,,0,10.2.0.10,10002000010,2026-06-10,2026-06-18,https://advisory.splunk.com/advisories/SVD-2026-0603
splunk_advisory,SVD-2026-0603,CVE-2026-20253,Critical,SVD-2026-0603 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,splunkd,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-18,https://advisory.splunk.com/advisories/SVD-2026-0603
splunk_advisory,SVD-2026-0602,CVE-2026-20252,High,SVD-2026-0602 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.2,Splunk Web,unknown,,,0,,,0,10.2.0.10,10002000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0602
splunk_advisory,SVD-2026-0602,CVE-2026-20252,High,SVD-2026-0602 | Splunk Vulnerability Disclosure,Splunk Enterprise,enterprise,10.0,Splunk Web,unknown,,,0,,,0,10.0.0.10,10000000010,2026-06-10,2026-06-10,https://advisory.splunk.com/advisories/SVD-2026-0602
