geoname_id,locale_code,continent_code,continent_name,country_iso_code,country_name,subdivision_1_iso_code,subdivision_1_name,subdivision_2_iso_code,subdivision_2_name,city_name,metro_code,time_zone,is_in_european_union
3066220,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",514,,,,Europe/Prague,1
3066223,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,208,,,,Europe/Prague,1
3066276,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",804,,Sedlnitz,,Europe/Prague,1
3066284,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",802,,,,Europe/Prague,1
3066333,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20B,,,,Europe/Prague,1
3066353,de,EU,Europa,CZ,Tschechien,63,"Region Hochland",634,,,,Europe/Prague,1
3066385,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,201,,,,Europe/Prague,1
3066446,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,208,,,,Europe/Prague,1
3066483,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",801,,,,Europe/Prague,1
3066492,de,EU,Europa,CZ,Tschechien,80,"Mährisch-Schlesische Region",803,,,,Europe/Prague,1
3066503,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",524,,"Reichenau an der Knieschna",,Europe/Prague,1
3066505,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",512,,,,Europe/Prague,1
3066518,de,EU,Europa,CZ,Tschechien,32,"Pilsner Region",321,,,,Europe/Prague,1
3066578,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",421,"Bezirk Tetschen",Rumburg,,Europe/Prague,1
3066599,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20A,,,,Europe/Prague,1
3066623,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",525,,,,Europe/Prague,1
3066632,de,EU,Europa,CZ,Tschechien,51,"Reichenberger Region",514,,,,Europe/Prague,1
3066651,de,EU,Europa,CZ,Tschechien,72,"Zliner Region",723,,"Roznov pod Radhostem",,Europe/Prague,1
3066652,de,EU,Europa,CZ,Tschechien,52,"Königgrätzer Region",523,,,,Europe/Prague,1
3066659,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,20B,,,,Europe/Prague,1
3066680,de,EU,Europa,CZ,Tschechien,20,Mittelböhmen,208,,,,Europe/Prague,1
3066719,de,EU,Europa,CZ,Tschechien,64,"Südmährische Region",646,,"Neu Raußnitz",,Europe/Prague,1
3066727,de,EU,Europa,CZ,Tschechien,42,"Aussiger Region",423,,"Raudnitz a.d. Elbe",,Europe/Prague,1
