dest_ip,dest_port,metadata_comment
103.21.244.170,80,proxylist.txt
103.63.190.72,8080,proxylist.txt
173.245.49.162,80,proxylist.txt
103.160.204.236,80,proxylist.txt
185.238.228.103,80,proxylist.txt
103.160.204.140,80,proxylist.txt
172.67.248.31,80,proxylist.txt
172.66.41.4,80,proxylist.txt
185.162.230.63,80,proxylist.txt
208.102.51.6,58208,proxylist.txt
98.181.137.83,4145,proxylist.txt
185.162.60.46,8080,proxylist.txt
170.130.202.134,3128,proxylist.txt
58.241.88.18,800,proxylist.txt
159.65.245.255,80,proxylist.txt
35.241.172.224,80,proxylist.txt
172.65.90.3,80,proxylist.txt
172.64.145.0,80,proxylist.txt
41.191.203.161,80,proxylist.txt
188.114.96.200,80,proxylist.txt
141.101.120.143,80,proxylist.txt
67.201.33.10,25283,proxylist.txt
172.64.95.63,80,proxylist.txt
172.67.187.247,80,proxylist.txt
185.162.230.186,80,proxylist.txt
211.128.96.206,80,proxylist.txt
184.168.47.235,80,proxylist.txt
141.101.120.50,80,proxylist.txt
196.77.96.211,3128,proxylist.txt
68.71.241.33,4145,proxylist.txt
68.1.210.189,4145,proxylist.txt
172.64.151.116,80,proxylist.txt
141.101.122.53,80,proxylist.txt
172.67.179.204,80,proxylist.txt
45.12.30.21,80,proxylist.txt
45.12.31.123,80,proxylist.txt
103.21.244.66,80,proxylist.txt
173.245.59.70,80,proxylist.txt
172.67.161.232,80,proxylist.txt
45.131.6.62,80,proxylist.txt
104.254.140.0,80,proxylist.txt
172.67.177.216,80,proxylist.txt
142.54.235.9,4145,proxylist.txt
31.43.179.82,80,proxylist.txt
172.65.90.3,80,proxylist.txt
219.79.87.230,8080,proxylist.txt
18.194.195.73,80,proxylist.txt
172.64.78.163,80,proxylist.txt
45.131.208.85,80,proxylist.txt
172.67.254.167,80,proxylist.txt
154.16.146.48,80,proxylist.txt
138.68.60.8,3128,proxylist.txt
143.42.66.91,80,proxylist.txt
209.97.150.167,3128,proxylist.txt
198.199.86.11,3128,proxylist.txt
128.199.202.122,8080,proxylist.txt
45.131.5.211,80,proxylist.txt
141.193.213.189,80,proxylist.txt
185.162.229.116,80,proxylist.txt
111.177.48.18,9501,proxylist.txt
103.21.244.113,80,proxylist.txt
45.131.7.129,80,proxylist.txt
45.131.5.4,80,proxylist.txt
66.235.200.9,80,proxylist.txt
66.235.200.49,80,proxylist.txt
172.67.70.86,80,proxylist.txt
115.23.88.118,56452,proxylist.txt
174.75.211.222,4145,proxylist.txt
47.243.92.199,3128,proxylist.txt
45.131.7.158,80,proxylist.txt
172.64.35.235,80,proxylist.txt
185.170.166.150,80,proxylist.txt
45.12.31.222,80,proxylist.txt
41.89.56.116,3128,proxylist.txt
45.174.94.26,999,proxylist.txt
104.238.228.201,3128,proxylist.txt
103.161.69.233,2698,proxylist.txt
45.22.209.157,8888,proxylist.txt
197.218.16.16,3128,proxylist.txt
188.114.97.1,80,proxylist.txt
188.114.96.1,80,proxylist.txt
172.67.116.234,80,proxylist.txt
45.131.4.186,80,proxylist.txt
172.67.180.25,80,proxylist.txt
173.245.49.35,80,proxylist.txt
45.131.4.215,80,proxylist.txt
45.131.4.14,80,proxylist.txt
172.67.171.232,80,proxylist.txt
98.178.72.21,10919,proxylist.txt
185.162.229.174,80,proxylist.txt
172.67.201.231,80,proxylist.txt
173.245.49.235,80,proxylist.txt
117.54.114.97,80,proxylist.txt
192.111.139.163,19404,proxylist.txt
98.191.0.37,4145,proxylist.txt
142.93.202.130,3128,proxylist.txt
