fuzzer,domain,dns_a,dns_mx,dns_ns
homoglyph,xn--colispr1v-t4a.fr,,,
homoglyph,xn--colispriv-34a.fr,,,
homoglyph,xn--colispriv-83a.fr,,,
homoglyph,xn--colispriv-j4a.fr,195.64.164.87,mail.xn--colispriv-j4a.fr,a.ns.mailclub.fr
homoglyph,xn--colispriv-t4a.fr,,,
homoglyph,xn--colispriv-y3a.fr,,,
homoglyph,xn--colisprlv-34a.fr,,,
homoglyph,xn--colisprlv-83a.fr,,,
homoglyph,xn--colisprlv-j4a.fr,,,
homoglyph,xn--colisprlv-t4a.fr,,,
homoglyph,xn--colisprv-01a2a.fr,,,
homoglyph,xn--colisprv-01a2b.fr,,,
homoglyph,xn--colisprv-01ai.fr,,,
homoglyph,xn--colisprv-01as.fr,,,
homoglyph,xn--colisprv-80a2b.fr,,,
homoglyph,xn--colisprv-80a2c.fr,,,
homoglyph,xn--colisprv-80a2d.fr,,,
homoglyph,xn--colisprv-80a2e.fr,,,
homoglyph,xn--colisprv-i1a2a.fr,,,
homoglyph,xn--colisprv-i1a2b.fr,,,
homoglyph,xn--colisprv-i1a2c.fr,,,
homoglyph,xn--colisprv-i1a2d.fr,,,
homoglyph,xn--colisprv-r1a2a.fr,,,
homoglyph,xn--colisprv-r1a2b.fr,,,
homoglyph,xn--colisprv-r1a2c.fr,,,
homoglyph,xn--colisprv-r1as.fr,,,
homoglyph,xn--colisprvc-65a.fr,,,
homoglyph,xn--colisprvc-c5a.fr,,,
homoglyph,xn--colisprvc-m5a.fr,,,
homoglyph,xn--colisprvc-w5a.fr,,,
homoglyph,xn--colisprve-65a.fr,,,
homoglyph,xn--colisprve-c5a.fr,,,
homoglyph,xn--colisprve-m5a.fr,,,
homoglyph,xn--colisprve-w5a.fr,,,
homoglyph,xn--collspriv-34a.fr,,,
homoglyph,xn--collspriv-83a.fr,,,
homoglyph,xn--collspriv-j4a.fr,,,
homoglyph,xn--collspriv-t4a.fr,,,
homoglyph,xn--collsprve-65a.fr,,,
homoglyph,xn--collsprve-c5a.fr,,,
homoglyph,xn--collsprve-m5a.fr,,,
homoglyph,xn--collsprve-w5a.fr,,,
homoglyph,xn--colspr1ve-25a.fr,,,
homoglyph,xn--colspr1ve-74a.fr,,,
homoglyph,xn--colspr1ve-i5a.fr,,,
homoglyph,xn--colspr1ve-s5a.fr,,,
homoglyph,xn--colspriv-01a8a.fr,,,
homoglyph,xn--colspriv-01ae.fr,,,
homoglyph,xn--colspriv-01ao.fr,,,
homoglyph,xn--colspriv-01ay.fr,,,
homoglyph,xn--colspriv-80a8a.fr,,,
homoglyph,xn--colspriv-80a8b.fr,,,
homoglyph,xn--colspriv-80a8c.fr,,,
homoglyph,xn--colspriv-80a8d.fr,,,
homoglyph,xn--colspriv-i1a8a.fr,,,
homoglyph,xn--colspriv-i1a8b.fr,,,
homoglyph,xn--colspriv-i1a8c.fr,,,
homoglyph,xn--colspriv-i1ay.fr,,,
homoglyph,xn--colspriv-r1a8a.fr,,,
homoglyph,xn--colspriv-r1a8b.fr,,,
homoglyph,xn--colspriv-r1ao.fr,,,
homoglyph,xn--colspriv-r1ay.fr,,,
homoglyph,xn--colsprivc-25a.fr,,,
homoglyph,xn--colsprivc-74a.fr,,,
homoglyph,xn--colsprivc-i5a.fr,,,
homoglyph,xn--colsprivc-s5a.fr,,,
homoglyph,xn--colsprive-25a.fr,,,
homoglyph,xn--colsprive-74a.fr,,,
homoglyph,xn--colsprive-i5a.fr,,,
homoglyph,xn--colsprive-s5a.fr,,,
homoglyph,xn--colsprlve-25a.fr,,,
homoglyph,xn--colsprlve-74a.fr,,,
homoglyph,xn--colsprlve-i5a.fr,,,
homoglyph,xn--colsprlve-s5a.fr,,,
homoglyph,xn--colsprve-41a7a.fr,,,
homoglyph,xn--colsprve-41ad.fr,,,
homoglyph,xn--colsprve-41an.fr,,,
homoglyph,xn--colsprve-41ax.fr,,,
homoglyph,xn--colsprve-71a0a.fr,,,
homoglyph,xn--colsprve-71ag.fr,,,
homoglyph,xn--colsprve-71aq.fr,,,
homoglyph,xn--colsprve-e2ad.fr,,,
homoglyph,xn--colsprve-e2an.fr,,,
homoglyph,xn--colsprve-e2ax.fr,,,
homoglyph,xn--colsprve-h2ag.fr,,,
homoglyph,xn--colsprve-h2aq.fr,,,
homoglyph,xn--colsprve-n2ad.fr,,,
homoglyph,xn--colsprve-n2an.fr,,,
homoglyph,xn--colsprve-q2ag.fr,,,
homoglyph,xn--colsprve-w2ad.fr,,,
homoglyph,xn--cosprive-31aa.fr,,,
homoglyph,xn--cosprive-d2aa.fr,,,
homoglyph,xn--cosprive-m2aa.fr,,,
homoglyph,xn--cosprive-v2aa.fr,,,
homoglyph,xn--elisprive-07a.fr,,,
homoglyph,xn--elisprive-56a.fr,,,
homoglyph,xn--elisprive-g7a.fr,,,
homoglyph,xn--elisprive-q7a.fr,,,
homoglyph,xn--elisprive-v6a.fr,,,
homoglyph,xn--eolispriv-34a.fr,,,
homoglyph,xn--eolispriv-83a.fr,,,
homoglyph,xn--eolispriv-j4a.fr,,,
homoglyph,xn--eolispriv-t4a.fr,,,
homoglyph,xn--eolisprve-65a.fr,,,
homoglyph,xn--eolisprve-c5a.fr,,,
homoglyph,xn--eolisprve-m5a.fr,,,
homoglyph,xn--eolisprve-w5a.fr,,,
homoglyph,xn--eolsprive-25a.fr,,,
homoglyph,xn--eolsprive-74a.fr,,,
homoglyph,xn--eolsprive-i5a.fr,,,
homoglyph,xn--eolsprive-s5a.fr,,,
homoglyph,xn--lisprive-r0a4i.fr,,,
homoglyph,xn--lisprive-r0a4j.fr,,,
homoglyph,xn--lisprive-r0a4k.fr,,,
homoglyph,xn--lisprive-r0a4l.fr,,,
homoglyph,xn--lisprive-r0a4m.fr,,,
homoglyph,xn--o1isprive-p3a.fr,,,
homoglyph,xn--oiisprive-p3a.fr,,,
homoglyph,xn--ol1sprive-p3a.fr,,,
homoglyph,xn--olispr1ve-p3a.fr,,,
homoglyph,xn--olispriv-r0a2a.fr,,,
homoglyph,xn--olispriv-r0a2b.fr,,,
homoglyph,xn--olispriv-r0a2c.fr,,,
homoglyph,xn--olispriv-r0as.fr,,,
homoglyph,xn--olisprivc-p3a.fr,,,
homoglyph,xn--olisprive-93a.fr,,,
homoglyph,xn--olisprive-k4a.fr,,,
homoglyph,xn--olisprive-p3a.fr,,,
homoglyph,xn--olisprive-u4a.fr,,,
homoglyph,xn--olisprive-z3a.fr,,,
homoglyph,xn--olisprlve-p3a.fr,,,
homoglyph,xn--olisprve-r0a0d.fr,,,
homoglyph,xn--olisprve-r0a0e.fr,,,
homoglyph,xn--olisprve-r0a0f.fr,,,
homoglyph,xn--olisprve-r0a0g.fr,,,
homoglyph,xn--ollsprive-p3a.fr,,,
homoglyph,xn--olsprive-r0a6c.fr,,,
homoglyph,xn--olsprive-r0a6d.fr,,,
homoglyph,xn--olsprive-r0a6e.fr,,,
homoglyph,xn--olsprive-r0a6f.fr,,,
hyphenation,c-olisprive.fr,,,
hyphenation,co-lisprive.fr,,,
hyphenation,col-isprive.fr,,,
hyphenation,coli-sprive.fr,,,
hyphenation,colis-prive.fr,95.143.69.2,mail.colis-prive.fr,a.ns.mailclub.fr
hyphenation,colisp-rive.fr,,,
hyphenation,colispr-ive.fr,,,
hyphenation,colispri-ve.fr,,,
hyphenation,colispriv-e.fr,,,
insertion,c0olisprive.fr,,,
insertion,c9olisprive.fr,,,
insertion,cdolisprive.fr,,,
insertion,cfolisprive.fr,,,
insertion,ciolisprive.fr,,,
insertion,ckolisprive.fr,,,
insertion,clolisprive.fr,,,
insertion,co0lisprive.fr,,,
insertion,co9lisprive.fr,,,
insertion,coilisprive.fr,,,
insertion,coklisprive.fr,,,
insertion,col8isprive.fr,,,
insertion,col9isprive.fr,,,
insertion,coli8sprive.fr,,,
insertion,coli9sprive.fr,,,
insertion,coliasprive.fr,,,
insertion,colidsprive.fr,,,
insertion,coliesprive.fr,,,
insertion,colijsprive.fr,,,
insertion,coliksprive.fr,,,
insertion,coliosprive.fr,,,
insertion,coliqsprive.fr,,,
insertion,colis0prive.fr,,,
insertion,colisaprive.fr,,,
insertion,colisdprive.fr,,,
insertion,coliseprive.fr,,,
insertion,colislprive.fr,,,
insertion,colismprive.fr,,,
insertion,colisoprive.fr,,,
insertion,colisp0rive.fr,,,
insertion,colisp4rive.fr,,,
insertion,colisp5rive.fr,,,
insertion,colispdrive.fr,,,
insertion,colisperive.fr,,,
insertion,colispfrive.fr,,,
insertion,colisplrive.fr,,,
insertion,colispmrive.fr,,,
insertion,colisporive.fr,,,
insertion,colispr4ive.fr,,,
insertion,colispr5ive.fr,,,
insertion,colispr8ive.fr,,,
insertion,colispr9ive.fr,,,
insertion,colisprdive.fr,,,
insertion,colispreive.fr,,,
insertion,colisprfive.fr,,,
insertion,colispri8ve.fr,,,
insertion,colispri9ve.fr,,,
insertion,colispribve.fr,,,
insertion,colispricve.fr,,,
insertion,colisprifve.fr,,,
insertion,colisprigve.fr,,,
insertion,colisprijve.fr,,,
insertion,colisprikve.fr,,,
insertion,colispriove.fr,,,
insertion,colispriuve.fr,,,
insertion,colisprivbe.fr,,,
insertion,colisprivce.fr,,,
insertion,colisprivfe.fr,,,
insertion,colisprivge.fr,,,
insertion,colisprjive.fr,,,
insertion,colisprkive.fr,,,
insertion,colisproive.fr,,,
insertion,colisprtive.fr,,,
insertion,colispruive.fr,,,
insertion,colisptrive.fr,,,
insertion,colisqprive.fr,,,
insertion,coliswprive.fr,,,
insertion,colisxprive.fr,,,
insertion,colisyprive.fr,,,
insertion,coliszprive.fr,,,
insertion,coliusprive.fr,,,
insertion,coliwsprive.fr,,,
insertion,colixsprive.fr,,,
insertion,coliysprive.fr,,,
insertion,colizsprive.fr,,,
insertion,coljisprive.fr,,,
insertion,colkisprive.fr,,,
insertion,collisprive.fr,,,
insertion,colmisprive.fr,,,
insertion,coloisprive.fr,,,
insertion,colpisprive.fr,,,
insertion,coluisprive.fr,,,
insertion,comlisprive.fr,,,
insertion,coolisprive.fr,,,
insertion,coplisprive.fr,,,
insertion,cpolisprive.fr,,,
insertion,cvolisprive.fr,,,
insertion,cxolisprive.fr,,,
