"ASN","OrgName","Info","Date"
"208172","Proton AG","ProtonVPN","2025-10-22"
"209103","Proton AG","ProtonVPN","2024-12-17"
"209378","Inios Oy","Pure VPN","2024-12-17"
"209854","Cyberzone S.A.","Surfshark VPN","2024-12-17"
"210756","EdgeCenter LLC","Pure VPN","2024-12-17"
"211192","Netwave Inc.","NordLayer VPN","2025-10-25"
"211373","Simoresta UAB","IPRoyal Proxy","2025-06-12"
"211440","Karolio IT Paslaugos UAB","IPRoyal Proxy","2025-06-12"
"211415","Karolio IT Paslaugos UAB","8 Proxy Services","2025-06-12"
"212238","Datacamp Limited","ExpressVPN, CyberGhost VPN, HMA VPN, Mullvad VPN, NordVPN, Pure VPN, Surfshark VPN, Windscribe VPN","2024-12-17"
"212669","Karolio IT Paslaugos UAB","1 VPN Service, 6 Proxy Services","2025-06-12"
"212676","SIA Decta","Mullvad VPN","2024-12-17"
"215287","Secure Digital Apps CO WLL","ExpressVPN, PIA VPN","2024-12-17"
"215540","Global Connectivity Solutions LLP","19 VPN Services, 40 Proxy Services","2025-06-12"
"216025","Mullvad VPN AB","Mullvad VPN","2024-12-17"
"216127","INTERNATIONAL HOSTING COMPANY LIMITED","Surfshark VPN","2024-12-17"
"262287","Latitude.sh LTDA","ExpressVPN, Mullvad VPN, NordVPN, Pure VPN","2024-12-17"
"263702","GRUPO ZGH SPA","NordVPN","2024-12-17"
"263812","SONDATECH S.A.S.","Pure VPN, Windscribe VPN","2024-12-17"
"268581","QNAX LTDA","Mullvad VPN, Windscribe VPN","2024-12-17"
"270172","Guillermo Robles Ramirez","Pure VPN","2024-12-17"
"327813","VIDOLU Group Pty Ltd-Web4Africa","Pure VPN, Windscribe VPN","2024-12-17"
"393886","Leaseweb USA, Inc.","Windscribe VPN","2024-12-17"
"394256","Tech Futures Interactive Inc.","Mullvad VPN, Pure VPN","2024-12-17"
"394380","Leaseweb USA, Inc.","Windscribe VPN","2024-12-17"
"395954","Leaseweb USA, Inc.","Windscribe VPN","2024-12-17"
"396190","Leaseweb USA, Inc.","Windscribe VPN","2024-12-17"
"396356","Latitude.sh","ExpressVPN, NordVPN, Pure VPN, TunnelBear VPN","2024-12-17"
"396362","Leaseweb USA, Inc.","Pure VPN, Windscribe VPN","2024-12-17"
"396982","Google LLC","Pure VPN, Surfshark VPN, TunnelBear VPN","2024-12-17"
"397086","LayerHost","Surfshark VPN","2024-12-17"
"397336","Virtual Sprout","PIA VPN","2024-12-17"
"397373","H4Y Technologies LLC","Surfshark VPN, Windscribe VPN","2024-12-17"
"397423","Tier.Net Technologies LLC","Surfshark VPN","2024-12-17"
"397540","Windscribe Limited","Windscribe VPN","2024-12-17"
"398779","Ace Host, LLC","Windscribe VPN","2024-12-17"
"398962","CONTROLD INC.","Windscribe VPN","2024-12-17"
"399629","BL Networks","3 VPN Services, 24 Proxy Services","2025-06-12"
"400882","Cyber Data LLC","Mullvad VPN","2024-12-17"
"401120","Cheapy Host LLC","4 Proxy Services","2025-06-12"
