"as_number","metadata_comment"
"51396","Pfcloud UG - banned ips"
"51711","iNet Ltd - banned ips"
"51852","Private Layer INC - banned ips"
"52053","REDHEBERG Association declaree - banned ips"
"52284","Panamaserver.com - banned ips"
"53755","Input Output Flood LLC - banned ips"
"53828","NETWORK INNOVATIONS, LLC - banned ips"
"54990","1337 Services LLC - banned ips"
"56611","REBA Communications BV - banned ips"
"56971","https://x.com/banthisguy9349/status/1842871355307368646"
"57717","FiberXpress BV - banned ips"
"58052","Tomas William Smith trading as TomasSystems - banned ips"
"58110","Bad ASN - IP Volume LTD"
"58212","dataforest GmbH - banned ips"
"59939","WIBO Baltic UAB - banned ips"
"60223","Netiface Limited - banned ips"
"60230","Neterra Ltd. - banned ips"
"60404","The Infrastructure Group B.V. - banned ips"
"60539","Huicast Telecom Limited - banned ips"
"60729","Stiftung Erneuerbare Freiheit - banned ips"
"61272","Informacines sistemos ir technologijos, UAB - banned ips"
"61280","FGUP GRCHC - banned ips"
"6204","RIPE Network Coordination Centre - banned ips"
"62068","SpectraIP B.V. - banned ips"
"62167","Tismi BV - banned ips"
"62403","PLETX LTD - banned ips"
"63199","CDSC-AS1"
"63961","Bangladesh Research and Education Network (BdREN) - banned ips"
"64050","FranTech Solutions"
"64199","TCPSHIELD"
"64425","SKB Enterprise B.V. - banned ips"
"64439","IT Outsourcing LLC - banned ips"
"64457","Matteo Fruhwald trading as PipeHost e.U. - banned ips"
"64476","Shadow SAS - banned ips"
"64496","Bad ASN - ASN allocation status is Reserved"
"8100","QuadraNet Enterprises LLC"
"24940","Hetzner Online GmbH"
"197540","netcup GmbH"
"214996","netcup GmbH"
"1101","SURF B.V."
"1102","SURF B.V."
"1103","SURF B.V."
"1133","SURF B.V."
"36849","1st Amendment Encrypted Openness LLC"
"60729","Stiftung Erneuerbare Freiheit"
"8560","IONOS SE"
"9294","hosting service abused by malicious actors - mostly phishing"
"53667","FranTech Solutions"
"214503","QuxLabs AB"
"208323","Foundation for Applied Privacy"
"14061","DigitalOcean, LLC"
"200195","Verasel, Inc."
