as_number,rir,domain,cc,asname
141803,apnic,invisionchiptechnosoft.co.in,IN,INVISION-AS-IN
141835,apnic,impactsoftwares.co.in,IN,IMPACT-AS-IN
141836,apnic,imaginetechnosoft.co.in,IN,IMAGINE-AS-IN
141853,apnic,srjnhospitality.com,IN,SRJNH-AS-IN
141875,apnic,zen4softsolution,IN,ZEN4-AS-IN
142002,apnic,scloud.sg,SG,SCLOUDPTELTD-AS
142062,apnic,qlhost.cc,HK,HQTC-AS-AP
142430,apnic,digivps.com,IN,DIGIVPS-AS-AP
142519,apnic,smtpmailers.com,IN,SMTPM-AS-IN
146999,apnic,hellomails.com,IN,HELLOMAILS1-AS-AP
147186,apnic,vcclhosting.com,IN,VCCLCLOUDPVTLTD-AS-AP
147211,apnic,onlinepragathi.com,IN,PRAGATHI-AS-IN
147287,apnic,dataparadise.net,IN,DATAPARA1-AS-IN
147291,apnic,khalidgroup.co,PK,KHALIDGROUP-AS-AP
149181,apnic,bhagwatsoft.in,IN,BHAGWAT-AS-IN
149196,apnic,zaifcomp.in,IN,ZAIFCOMP-AS-IN
149197,apnic,girdharicomp.in,IN,GIRDHARI-AS-IN
149208,apnic,telerakesh.in,IN,RAKESSEN-AS-IN
149242,apnic,ananyacomp.in,IN,ANANYAA-AS-IN
149286,apnic,netinnovation.net,US,NETINNOVATIONLLC-AS-AP
149434,apnic,mygefo.in,IN,GEFO-AP-AS
150030,apnic,algoz.co.in,IN,ALGO-AS-IN
150036,apnic,heebshealthcare.co.in,IN,HEEBS-AS-IN
150082,apnic,isofttechnology.net,IN,GARGASSO-AS-IN
150091,apnic,vedimantra.co.in,IN,VEDIMA-AS-IN
150100,apnic,arkcomtele.com,IN,ARKCOM-AS-IN
150604,apnic,globalsol.co.in,IN,GLOBALSOL-AS-IN
150813,apnic,thoimmo.com,VN,MINHTHOIPC-VN
150860,apnic,jetcloud.vn,VN,JETCLOUD-VN
151604,apnic,webwiresolutions.com,PK,WEBWIRESOLUTIONS-AS-AP
152149,apnic,ahamed.com.bd,BD,AHAMEDIT-AS-AP
152170,apnic,sajibhost.com.bd,BD,SAJIBWEBHOST-AS-AP
152192,apnic,gmtech.com.bd,BD,GMTECH-AS-AP
152194,apnic,ctgserver.com,HK,CTGSERVERLIMITED-AS-AP
152327,apnic,rasuhost.com.bd,BD,RASUWEBHOST-AS-AP
152485,apnic,hosterdaddy.com,IN,HOSTER-AS-IN
152486,apnic,jdmbroadband.com,IN,NTSHIELD-AS-IN
153318,apnic,karix.com,IN,MGAGEIND-AS-AP
197414,ripencc,zservers.ru,RU,XHOST-INTERNET-SOLUTIONS
197450,ripencc,sunucun.com.tr,TR,SUNUCUN
197555,ripencc,smartmieten.in,IN,SMARTMIETEN
198375,ripencc,free-h.org,FR,INU-AS
198571,ripencc,plainproxies.com,DE,PlainProxies
198578,ripencc,fiberlinkcc.com,US,ASFLRU
198953,ripencc,proton66.ru,RU,proton66
