process,metadata_binary,metadata_function,metadata_binary_functions,metadata_link,metadata_confidence,metadata_confidence
*bash -c 'cat < /dev/tcp/*/* > *,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*bash -c 'echo * > $*,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
"*bash -c 'echo ""$(<$*)""'*",bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*bash -c 'enable -f ./*.so x'*,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*./bash -p,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*sudo bash,bash,,Shell Reverse - shell - File upload - File download - File write - File read - Library load - SUID - Sudo,https://gtfobins.github.io/gtfobins/bash/,,
*batcat --paging always /etc/profile*,batcat,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/batcat/,,
bc -s $*,bc,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bc/,,
*./bc -s $*,bc,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bc/,,
*sudo bc -s *,bc,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bc/,,
*bconsole -c /etc/shadow*,bconsole,,Shell File - read - Sudo,https://gtfobins.github.io/gtfobins/bconsole/,,
*sudo bconsole*,bconsole,,Shell File - read - Sudo,https://gtfobins.github.io/gtfobins/bconsole/,,
*bconsole*@exec /bin/sh*,bconsole,,Shell File - read - Sudo,https://gtfobins.github.io/gtfobins/bconsole/,,
"*sudo bpftrace -e 'BEGIN {system(""/bin/sh*exit*",bpftrace,,Sudo,https://gtfobins.github.io/gtfobins/bpftrace/,,
"*echo 'BEGIN {system(""/bin/sh"");exit()}'*>*",bpftrace,,Sudo,https://gtfobins.github.io/gtfobins/bpftrace/,,
*sudo bpftrace -c /bin/sh -e 'END {exit()}'*,bpftrace,,Sudo,https://gtfobins.github.io/gtfobins/bpftrace/,,
*./bridge -b *,bridge,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bridge/,,
*sudo bridge -b *,bridge,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bridge/,,
*bundle exec /bin/sh*,bundle,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundle/,,
*system('/bin/sh -c /bin/sh')*,bundle,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundle/,,
"*echo 'system(""/bin/sh"")' > */Gemfile*",bundle,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundle/,,
*export BUNDLE_GEMFILE=x*,bundle,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundle/,,
*sudo bundle help*,bundle,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundle/,,
*bundler exec /bin/sh*,bundler,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundler/,,
*system('/bin/sh -c /bin/sh')*,bundler,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundler/,,
"*echo 'system(""/bin/sh"")' > */Gemfile*",bundler,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundler/,,
*sudo bundler help*,bundler,,Shell - Sudo,https://gtfobins.github.io/gtfobins/bundler/,,
*busctl --show-machine*,busctl,,Shell - Sudo,https://gtfobins.github.io/gtfobins/busctl/,,
*busybox sh*,busybox,,Shell - File upload - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/busybox/,,
*busybox httpd -f -p * -h .,busybox,,Shell - File upload - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/busybox/,,
*busybox sh -c 'echo * > *,busybox,,Shell - File upload - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/busybox/,,
*./busybox cat *,busybox,,Shell - File upload - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/busybox/,,
*sudo busybox sh*,busybox,,Shell - File upload - File write - File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/busybox/,,
"*echo 'system(""/bin/sh"")' > $*",byebug,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/byebug/,,
*./byebug $*,byebug,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/byebug/,,
*sudo byebug $*,byebug,,Shell - Sudo - Limited SUID,https://gtfobins.github.io/gtfobins/byebug/,,
*bzip2 -c * | bzip2 -d*,bzip2,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bzip2/,,
*sudo bzip2 -c * | bzip2 -d*,bzip2,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/bzip2/,,
*c89 -wrapper /bin/sh*-s .*,c89,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c89/,,
*c89 -xc /dev/null -o *,c89,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c89/,,
"*c89 -x c -E ""$*""*",c89,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c89/,,
*sudo c89 -wrapper /bin/sh*,c89,,Shell - File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c89/,,
*c99 -wrapper /bin/sh*-s .*,c99,,Shell ( File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c99/,,
*c99 -xc /dev/null -o *,c99,,Shell ( File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c99/,,
"*c99 -x c -E ""$*""*",c99,,Shell ( File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c99/,,
*sudo c99 -wrapper /bin/sh*,c99,,Shell ( File write - File read - Sudo,https://gtfobins.github.io/gtfobins/c99/,,
*cabal exec -- /bin/sh*,cabal,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/cabal/,,
"*cancel -u ""$(cat *)"" -h *:*",cancel,,File upload,https://gtfobins.github.io/gtfobins/cancel/,,
*capsh --gid=0 --uid=0 --*,capsh,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/capsh/,,
*sudo capsh --,capsh,,Shell - SUID - Sudo,https://gtfobins.github.io/gtfobins/capsh/,,
"*sudo cat ""$""*",cat,,File read - SUID - Sudo,https://gtfobins.github.io/gtfobins/cat/,,
