signature,metadata_category,metadata_comment
Virus:DOS/Boot666,Virus,
Virus:DOS/Booty.A,Virus,
Virus:DOS/Brain.E,Virus,
Virus:DOS/Brain.G,Virus,
Virus:DOS/Breaker,Virus,
Virus:DOS/Changsha,Virus,
Virus:DOS/Crusade,Virus,
Virus:DOS/Dodgy.A,Virus,
Virus:DOS/Drdemon.A,Virus,
Virus:DOS/Elkey.A,Virus,
Virus:DOS/Elkey.B,Virus,
Virus:DOS/Elkey.C,Virus,
Virus:DOS/Ester.A,Virus,
Virus:DOS/ExeBug.A,Virus,
Virus:DOS/ExeBug.C,Virus,
Virus:DOS/ExeBug.D,Virus,
Virus:DOS/Flame.B,Virus,
Virus:DOS/Flame.C,Virus,
Virus:DOS/Frodo.A,Virus,
Virus:DOS/Incubus,Virus,
Virus:DOS/Int10.C,Virus,
Virus:DOS/Jumper.A,Virus,
Virus:DOS/Jumper.B,Virus,
Virus:DOS/Lavot.C,Virus,
Virus:DOS/Mce.452,Virus,
Virus:DOS/MicroDot,Virus,
Virus:DOS/Mission,Virus,
Virus:DOS/Mount.A,Virus,
Virus:DOS/Mount.B,Virus,
Virus:DOS/Mul.452,Virus,
Virus:DOS/Munya.A,Virus,
Virus:DOS/Munya.B,Virus,
Virus:DOS/Musicbug,Virus,
Virus:DOS/Otronbt.C,Virus,
Virus:DOS/Otronbt.D,Virus,
Virus:DOS/Paskuda,Virus,
Virus:DOS/Pentagon,Virus,
Virus:DOS/PingPong,Virus,
Virus:DOS/Purcyst,Virus,
Virus:DOS/Quandary,Virus,
Virus:DOS/Quarter,Virus,
Virus:DOS/Ramones,Virus,
Virus:DOS/Stoned.K,Virus,
Virus:DOS/Stvar.B,Virus,
Virus:DOS/Tijuana,Virus,
Virus:DOS/Tolkien,Virus,
Virus:DOS/Topol.A,Virus,
Virus:DOS/Trenton,Virus,
Virus:DOS/Twofs.A,Virus,
Virus:DOS/Urkel.B,Virus,
Virus:DOS/Vzlom.A,Virus,
Virus:DOS/WBoot.A,Virus,
Virus:DOS/XORboot,Virus,
Virus:DOS/Xexyl.B,Virus,
Virus:DOS/Yesmile,Virus,
Virus:DOS/Yosha.C,Virus,
Virus:DOS/Zappa.A,Virus,
Virus:DOS/Zuganov,Virus,
Virus:DOS/3apa3a.A,Virus,
Virus:DOS/3apa3a.B,Virus,
Virus:DOS/3apa3a.C,Virus,
Virus:DOS/Andrew.A,Virus,
Virus:DOS/Andrew.B,Virus,
Virus:DOS/Androbot,Virus,
Virus:DOS/Angela.C,Virus,
Virus:DOS/Angela.E,Virus,
Virus:DOS/Aragon.B,Virus,
Virus:DOS/Aragon.D,Virus,
Virus:DOS/Avengers,Virus,
Virus:DOS/Baboon.A,Virus,
Virus:DOS/Banban.A,Virus,
Virus:DOS/Beavis,Virus,
Virus:DOS/BlackSum,Virus,
Virus:DOS/Brunswick,Virus,
Virus:DOS/Bupt.BOOT,Virus,
Virus:DOS/Caca.391,Virus,
Virus:DOS/Carmel.A,Virus,
Virus:DOS/Carmel.B,Virus,
Virus:DOS/Chance.D,Virus,
Virus:DOS/Cmosboot,Virus,
Virus:DOS/Config.A,Virus,
Virus:DOS/Config.B,Virus,
Virus:DOS/CrazyBoot,Virus,
Virus:DOS/DaBoys.A,Virus,
Virus:DOS/Deadboot,Virus,
Virus:DOS/Deadface,Virus,
Virus:DOS/Den_Zuk.D,Virus,
Virus:DOS/Den_Zuk.G,Virus,
Virus:DOS/Dirtydog,Virus,
Virus:DOS/Disk_D.A,Virus,
Virus:DOS/Dodgy.B,Virus,
Virus:DOS/Dodgy.C,Virus,
Virus:DOS/Dodgy.D,Virus,
Virus:DOS/Dodgy.E,Virus,
Virus:DOS/Dodgy.F,Virus,
Virus:DOS/Dodgy.G,Virus,
Virus:DOS/Dodgy.H,Virus,
Virus:DOS/Ebo.2079,Virus,
Virus:DOS/Ebo.2184,Virus,
Virus:DOS/Facade.D,Virus,
Virus:DOS/Findme.A,Virus,
Virus:DOS/Greenday,Virus,
Virus:DOS/HD_Error,Virus,
Virus:DOS/Hare.7610,Virus,
Virus:DOS/Hare.7786,Virus,
Virus:DOS/Hideboot,Virus,
Virus:DOS/Hikaru.A,Virus,
Virus:DOS/Hikaru.B,Virus,
Virus:DOS/INT_AA.A,Virus,
Virus:DOS/Kampana.B,Virus,
Virus:DOS/Kanishka,Virus,
Virus:DOS/Kansas.A,Virus,
Virus:DOS/Kilroy.C,Virus,
Virus:DOS/KillCMOS,Virus,
Virus:DOS/KillDisk,Virus,
Virus:DOS/Kilroy.G,Virus,
Virus:DOS/Kilroy.I,Virus,
Virus:DOS/Kilroy.J,Virus,
Virus:DOS/Kilroy.K,Virus,
Virus:DOS/Kiryanov,Virus,
