dest_ip,metadata_id,metadata_serviceArea,metadata_serviceAreaDisplayName,metadata_urls,metadata_tcpPorts,metadata_udpPorts,metadata_expressRoute,metadata_category,metadata_required,metadata_notes
2603:1056:1400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1063:2000::/38,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:c::15/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:8fc::6/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:a92::171/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2a01:111:f100:2000::a83e:3019/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2a01:111:f100:2002::8975:2d79/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2a01:111:f100:2002::8975:2da8/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2a01:111:f100:7000::6fdd:6cd5/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2a01:111:f100:a004::bfeb:88cf/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
20.20.32.0/19,56,Common,Microsoft 365 Common and Office Online,"['*.auth.microsoft.com', '*.msftidentity.com', '*.msidentity.com', 'account.activedirectory.windowsazure.com', 'accounts.accesscontrol.windows.net', 'adminwebservice.microsoftonline.com', 'api.passwordreset.microsoftonline.com', 'autologon.microsoftazuread-sso.com', 'becws.microsoftonline.com', 'ccs.login.microsoftonline.com', 'clientconfig.microsoftonline-p.net', 'companymanager.microsoftonline.com', 'device.login.microsoftonline.com', 'graph.microsoft.com', 'graph.windows.net', 'login-us.microsoftonline.com', 'login.microsoft.com', 'login.microsoftonline-p.com', 'login.microsoftonline.com', 'login.windows.net', 'logincert.microsoftonline.com', 'loginex.microsoftonline.com', 'nexus.microsoftonline-p.com', 'passwordreset.microsoftonline.com', 'provisioningapi.microsoftonline.com']","80,443",,True,Allow,True,
