domain,port,metadata_comment,ip
pikvm.galind.io,8443,Possible PiKVM Domain (Unverified),68.127.187.32
pikvm.leem.dk,63000,Possible PiKVM Domain (Unverified),91.226.144.173
pkkhome.direct.quickconnect.to,1234,Possible GLKVM Domain (Unverified),210.6.200.250
plex.akeb.ru,60443,Possible NanoKVM Domain (Unverified),95.84.158.6
plex.akeb.ru,61443,Possible NanoKVM Domain (Unverified),95.84.158.6
plex.jmehr.dk,6311,Possible NanoKVM Domain (Unverified),5.103.215.195
pm.axlmotors.com,53535,Possible PiKVM Domain (Unverified),172.234.247.51
pnz-cdn.ru,10001,Possible NanoKVM Domain (Unverified),109.194.141.174
pramgut.direct.quickconnect.to,90,Possible NanoKVM Domain (Unverified),79.116.61.227
prod-ventanas.ini40.es,5443,Possible PiKVM Domain (Unverified),90.164.254.165
profibiz.synology.me,10443,Possible TinyPilot KVM Domain (Unverified),184.145.144.36
profibiz.synology.me,20443,Possible TinyPilot KVM Domain (Unverified),184.145.144.36
proxy.38c.it,18443,Possible PiKVM Domain (Unverified),79.1.99.147
proxy.kotel-volna.ru,4321,Possible NanoKVM Domain (Unverified),195.239.175.143
proxy.prizmed.ru,17213,Possible NanoKVM Domain (Unverified),93.179.84.229
qbittorrent.klinker-cabin.computer,8081,Possible PiKVM Domain (Unverified),38.75.214.203
qsty.ru,30042,Possible NanoKVM Domain (Unverified),95.105.113.205
r1-cam-guangzhou-dev.glkvm.cn,443,Possible GLKVM Domain (Unverified),14.215.162.195
r1-guangzhou-dev.glkvm.cn,10443,Possible GLKVM Domain (Unverified),14.215.162.114
r1-lax-pre.glkvm.xyz,443,Possible GLKVM Domain (Unverified),216.106.181.141
r10.glkvm.com,443,Possible GLKVM Domain (Unverified),169.197.143.190
r11.glkvm.top,443,Possible GLKVM Domain (Unverified),67.220.94.113
r13.glkvm.top,443,Possible GLKVM Domain (Unverified),164.52.6.38
r25-guangzhou-test.glkvm.cn,443,Possible GLKVM Domain (Unverified),14.215.162.120
r3.glkvm.cn,443,Possible GLKVM Domain (Unverified),203.2.119.124
r3.glkvm.top,443,Possible GLKVM Domain (Unverified),172.99.188.182
r4.glkvm.cn,443,Possible GLKVM Domain (Unverified),14.22.113.179
r4.glkvm.com,443,Possible GLKVM Domain (Unverified),67.220.73.86
r5.glkvm.cn,443,Possible GLKVM Domain (Unverified),110.188.24.21
r5.glkvm.com,443,Possible GLKVM Domain (Unverified),23.150.248.245
r55-guangzhou-test.glkvm.cn,443,Possible GLKVM Domain (Unverified),107.173.152.173
r6.glkvm.com,443,Possible GLKVM Domain (Unverified),193.108.119.147
r7.glkvm.top,443,Possible GLKVM Domain (Unverified),38.114.120.171
r8.glkvm.top,443,Possible GLKVM Domain (Unverified),38.75.137.91
r9.glkvm.top,443,Possible GLKVM Domain (Unverified),38.91.101.210
rack1kvm.com,443,Possible GLKVM Domain (Unverified),162.35.160.124
rack1kvm.com,80,Possible GLKVM Domain (Unverified),162.35.160.124
