domain,port,metadata_comment,ip
device-d9342516-e77d-4460-80da-45d6e4d107b4.remotewd.com,7443,Possible PiKVM Domain (Unverified),180.165.6.29
diasporaforlebanon.com,48888,Possible PiKVM Domain (Unverified),47.180.83.69
diasporaforlebanon.com,4889,Possible PiKVM Domain (Unverified),47.180.83.69
dmchamb.ckinf.com,4443,Possible GLKVM Domain (Unverified),176.149.234.91
doc.grandsever.ru,9236,Possible NanoKVM Domain (Unverified),81.9.21.202
docs.prosilversystems.com,8445,Possible TinyPilot KVM Domain (Unverified),173.187.87.26
docs.sebastienpont.fr,8006,Possible PiKVM Domain (Unverified),92.167.89.247
doniphan.hjpos.us,8000,Possible NanoKVM Domain (Unverified),199.247.7.53
dvg.dyndns.org,10180,Possible NanoKVM Domain (Unverified),212.220.203.67
dwizz10038.synology.me,8888,Possible GLKVM Domain (Unverified),92.70.185.106
dylanparry.ddns.net,8080,Possible NanoKVM Domain (Unverified),80.195.179.169
eculogy.keenetic.link,1313,Possible NanoKVM Domain (Unverified),37.130.64.72
ekaterina-nikityuk.ru,33444,Possible NanoKVM Domain (Unverified),77.239.233.165
emby.psgt.fr,4443,Possible PiKVM Domain (Unverified),82.67.210.202
fbxxx.xevel.ru,2280,Possible NanoKVM Domain (Unverified),85.234.24.182
fenixhd.pro,1500,Possible NanoKVM Domain (Unverified),79.174.46.24
ffiii.homeofangel.duckdns.org,7443,Possible NanoKVM Domain (Unverified),58.124.115.239
fgshop.asia,10602,Possible PiKVM Domain (Unverified),1.14.75.7
files.groundlift.ru,808,Possible NanoKVM Domain (Unverified),31.211.44.227
firewall.qsaf.net,31443,Possible PiKVM Domain (Unverified),24.217.36.113
fl-haus-bitrix.ru,8081,Possible NanoKVM Domain (Unverified),178.64.26.14
flc.oh.3cx.us,80,Possible NanoKVM Domain (Unverified),96.11.67.2
fn.onpp.cc,2506,Possible PiKVM Domain (Unverified),58.38.54.138
foxcall.com,10443,Possible GLKVM Domain (Unverified),136.62.104.87
foxcall.com,11443,Possible GLKVM Domain (Unverified),136.62.104.87
frankram.ddns.net,9443,Possible PiKVM Domain (Unverified),217.63.205.143
frp.helicfd.tech,5603,Possible NanoKVM Domain (Unverified),47.101.223.187
fserv.direct.quickconnect.to,4343,Possible NanoKVM Domain (Unverified),37.204.54.154
furry.i234.me,33333,Possible GLKVM Domain (Unverified),119.98.153.58
fw.fbifbi.com,443,Possible TinyPilot KVM Domain (Unverified),46.232.148.119
g.diosmile.com,6001,Possible PiKVM Domain (Unverified),115.28.106.74
g.diosmile.com,6003,Possible PiKVM Domain (Unverified),115.28.106.74
g.diosmile.com,9601,Possible PiKVM Domain (Unverified),115.28.106.74
game.dw24th.com,80,Possible NanoKVM Domain (Unverified),194.39.101.28
gdzhanrong.com,8001,Possible NanoKVM Domain (Unverified),101.132.142.131
giorgos-synology.direct.quickconnect.to,8080,Possible GLKVM Domain (Unverified),207.38.245.104
git.koterpillar.com,5199,Possible NanoKVM Domain (Unverified),103.252.195.101
glkvm.makatun.net,443,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.makatun.net,80,Possible GLKVM Domain (Unverified),62.149.9.192
glkvm.mtu90.com,443,Possible GLKVM Domain (Unverified),79.98.186.233
glkvm.schuller-it.de,1443,Possible GLKVM Domain (Unverified),87.106.162.176
go.serrakh.com,443,Possible GLKVM Domain (Unverified),5.135.94.205
grocy.home.floheberg.xyz,8088,Possible NanoKVM Domain (Unverified),82.64.37.152
gtdshka.ru,8443,Possible PiKVM Domain (Unverified),77.37.156.169
guacamole.kolorama.net,5051,Possible NanoKVM Domain (Unverified),77.45.103.59
gusilu.direct.quickconnect.to,443,Possible GLKVM Domain (Unverified),73.227.162.137
gusilu.diskstation.me,80,Possible GLKVM Domain (Unverified),73.227.162.137
gw-dc-1-gkbn.netcraze.link,8443,Possible NanoKVM Domain (Unverified),85.143.203.174
h.imfht.com,8082,Possible GLKVM Domain (Unverified),221.216.139.170
ha.kellashee.fun,10445,Possible NanoKVM Domain (Unverified),99.152.36.137
ha.liuzhuan.net.cn,58080,Possible NanoKVM Domain (Unverified),27.19.122.69
haraspberrypi.duckdns.org,10058,Possible NanoKVM Domain (Unverified),109.194.141.174
harryandblanche.direct.quickconnect.to,8000,Possible NanoKVM Domain (Unverified),136.53.23.124
