domain,metadata_comment,ip
burp.gkpge.pl,Possible BurpSuite Collaborator Domain (Unverified),195.38.12.109
burp.hack.coach,Possible BurpSuite Collaborator Domain (Unverified),185.144.92.20
burp.icedcaphe.net,Possible BurpSuite Collaborator Domain (Unverified),54.206.215.40
burp.klabpl.com,Possible BurpSuite Collaborator Domain (Unverified),82.214.130.195
burp.mbti.red,Possible BurpSuite Collaborator Domain (Unverified),162.55.60.182
burp.me.uk,Possible BurpSuite Collaborator Domain (Unverified),45.155.108.92
burp.netti.uk,Possible BurpSuite Collaborator Domain (Unverified),35.177.225.48
burp.oast.vocepam.com,Possible BurpSuite Collaborator Domain (Unverified),35.210.146.128
burp.oastable.com,Possible BurpSuite Collaborator Domain (Unverified),45.77.199.15
burp.okx.ch,Possible BurpSuite Collaborator Domain (Unverified),82.197.162.60
burp.pew.gg,Possible BurpSuite Collaborator Domain (Unverified),3.8.94.46
burp.privsectesting.co.nz,Possible BurpSuite Collaborator Domain (Unverified),54.253.167.72
burp.repentest.com,Possible BurpSuite Collaborator Domain (Unverified),13.124.46.98
burp.s247.io,Possible BurpSuite Collaborator Domain (Unverified),18.159.137.30
burp.straylight.red,Possible BurpSuite Collaborator Domain (Unverified),44.215.90.209
burp.sysadvlab.work,Possible BurpSuite Collaborator Domain (Unverified),138.197.185.114
burp.tencentit.com.cn,Possible BurpSuite Collaborator Domain (Unverified),211.159.170.170
burp.test.vps.thebuilders.de,Possible BurpSuite Collaborator Domain (Unverified),138.201.175.36
burpcollab.anvilsec.com,Possible BurpSuite Collaborator Domain (Unverified),20.253.226.62
burpcollab.bc-audit-app.com,Possible BurpSuite Collaborator Domain (Unverified),34.215.187.6
burpcollab.binsec.com,Possible BurpSuite Collaborator Domain (Unverified),162.55.59.194
burpcollab.pentesters.pspo.navify.com,Possible BurpSuite Collaborator Domain (Unverified),35.156.208.47
burpcollab.poc-sec-1.com,Possible BurpSuite Collaborator Domain (Unverified),80.168.64.195
burpcollaborator.8compt.com,Possible BurpSuite Collaborator Domain (Unverified),213.183.73.220
burpcollaborator.cns-test.net,Possible BurpSuite Collaborator Domain (Unverified),77.109.136.199
burpcollaborator.dnsc.at,Possible BurpSuite Collaborator Domain (Unverified),62.212.188.62
burpcollaborator.elttam.au,Possible BurpSuite Collaborator Domain (Unverified),3.27.222.163
burpcollaborator.scip-red.ch,Possible BurpSuite Collaborator Domain (Unverified),141.195.91.73
burpcollaborator.spiral-sec.com,Possible BurpSuite Collaborator Domain (Unverified),172.105.159.243
burpserver.doyentesting.com,Possible BurpSuite Collaborator Domain (Unverified),54.212.65.29
c.as-collab.ru,Possible BurpSuite Collaborator Domain (Unverified),91.244.242.48
c.c2.rip,Possible BurpSuite Collaborator Domain (Unverified),143.244.212.178
c.ccxsta.com,Possible BurpSuite Collaborator Domain (Unverified),13.236.11.163
c.csacyber.org,Possible BurpSuite Collaborator Domain (Unverified),178.62.62.9
c.frert.com,Possible BurpSuite Collaborator Domain (Unverified),3.147.235.125
c.huskpup.com,Possible BurpSuite Collaborator Domain (Unverified),38.100.163.97
c.kov404.com,Possible BurpSuite Collaborator Domain (Unverified),100.31.132.58
c.p.asop.gg,Possible BurpSuite Collaborator Domain (Unverified),4.233.86.4
c.profundis-labs.de,Possible BurpSuite Collaborator Domain (Unverified),178.63.252.192
c.r3d.fi,Possible BurpSuite Collaborator Domain (Unverified),54.172.138.215
c.spiderlabs.us,Possible BurpSuite Collaborator Domain (Unverified),3.8.18.192
c.stlv.uk,Possible BurpSuite Collaborator Domain (Unverified),195.97.212.9
c.tn2.au,Possible BurpSuite Collaborator Domain (Unverified),103.16.130.58
c.trackz.one,Possible BurpSuite Collaborator Domain (Unverified),40.71.230.157
c.virtuetest.com,Possible BurpSuite Collaborator Domain (Unverified),44.210.121.43
c.wil.ac,Possible BurpSuite Collaborator Domain (Unverified),20.33.62.56
c.wwx.ro,Possible BurpSuite Collaborator Domain (Unverified),86.126.134.69
c.xssd.sh,Possible BurpSuite Collaborator Domain (Unverified),50.116.40.144
c.zmxc.cc,Possible BurpSuite Collaborator Domain (Unverified),34.142.45.193
c2.djkat.net,Possible Hak5 Cloud C2 Domain (Unverified),18.226.189.231
c2.djkat.net,Possible Hak5 Cloud C2 Domain (Unverified),98.89.116.6
c2.greifvogel.ch,Possible Hak5 Cloud C2 Domain (Unverified),140.238.168.101
c2.kleman.pw,Possible Mythic Domain (Unverified),62.4.0.66
c2.mjbates.com,Possible Hak5 Cloud C2 Domain (Unverified),147.182.241.212
c2.vikyv.online,Possible Hak5 Cloud C2 Domain (Unverified),62.84.179.11
cairn.olivercandle.com,Possible Cairn Domain (Unverified),159.89.36.202
cairn.seatrain.net,Possible Cairn Domain (Unverified),122.106.154.82
cairnmud.com,Possible Cairn Domain (Unverified),108.166.161.149
cangeng.cn,Possible CyberStrikeAI Domain (Unverified),38.6.126.214
cangeng.cn,Possible PentAGI Domain (Unverified),38.6.126.214
capoo.me,Possible Supershell Domain (Unverified),4.230.24.119
carrotsmatrix.duckdns.org,Possible PureRAT Domain (Unverified),91.92.40.209
catch1.priv.red,Possible BurpSuite Collaborator Domain (Unverified),54.206.97.67
cb.4x.pw,Possible BurpSuite Collaborator Domain (Unverified),130.162.240.54
cb.mogwailabs.de,Possible BurpSuite Collaborator Domain (Unverified),116.203.156.191
cb.qp.gy,Possible BurpSuite Collaborator Domain (Unverified),34.249.33.80
cbx.r3dtm.net,Possible BurpSuite Collaborator Domain (Unverified),206.189.219.154
cdn.gsocks.io,Possible Hookbot/Pegasus Domain (Unverified),37.220.31.123
cdn.myschool.lk,Possible CyberStrikeAI Domain (Unverified),194.233.82.177
cdn3.creativecloud-accountadobe.com,Possible Evilginx/EvilGoPhish Domain (Unverified),157.230.7.115
cduserly.com,Possible DcRat Domain (Unverified),193.143.1.247
cfmate.com,Possible CyberStrikeAI Domain (Unverified),23.80.83.20
cfzy8899.top,Possible PentAGI Domain (Unverified),192.252.183.239
chaos.vin,Possible CHAOS Domain (Unverified),43.142.77.170
chaostheory.world,Possible CHAOS Domain (Unverified),144.31.106.168
chat2.apt.cab,Possible PentAGI Domain (Unverified),208.87.243.221
chatgpt2api.101-47-158-17.sslip.io,Possible CyberStrikeAI Domain (Unverified),101.47.158.17
chironmu.com,Possible BurpSuite Collaborator Domain (Unverified),37.187.54.26
circlesquarefeet.com,Possible BurpSuite Collaborator Domain (Unverified),18.215.46.181
citrusice.duckdns.org,Possible wstunnel Domain (Unverified),150.109.114.240
ciuv.space,Possible BurpSuite Collaborator Domain (Unverified),51.75.74.168
ckuny.tech,Possible CyberStrikeAI Domain (Unverified),106.55.254.177
cl.ara-sec.de,Possible BurpSuite Collaborator Domain (Unverified),116.202.121.27
cl.open-vps.com,Possible Mythic Domain (Unverified),151.243.101.44
client-channel.com,Possible BurpSuite Collaborator Domain (Unverified),95.211.185.33
clinicaalvarez.comerciosoft.com,Possible PentAGI Domain (Unverified),49.12.98.113
cluster-1.proxy.harn02gwc.germanywestcentral.harn02gwc.azuredevcompute-test.io,Possible BurpSuite Collaborator Domain (Unverified),20.52.154.103
cms.momentumai.systems,Possible Hak5 Cloud C2 Domain (Unverified),45.55.67.173
coffeebnjqwias.cafe,Possible AdaptixC2 Domain (Unverified),154.13.7.196
cohk.snakelhb.top,Possible wstunnel Domain (Unverified),45.87.102.10
col-webtest.nsd.li,Possible BurpSuite Collaborator Domain (Unverified),81.95.8.184
col.ps.s10gu.com,Possible BurpSuite Collaborator Domain (Unverified),52.68.102.23
colab.bbpvdp.uk,Possible BurpSuite Collaborator Domain (Unverified),89.117.52.233
colab.redopsninja.com,Possible BurpSuite Collaborator Domain (Unverified),13.114.110.246
coll.vultus.info,Possible BurpSuite Collaborator Domain (Unverified),18.231.140.168
colla.borator.net,Possible BurpSuite Collaborator Domain (Unverified),134.149.64.105
colla.hnsec.it,Possible BurpSuite Collaborator Domain (Unverified),54.36.236.69
colla.offsec-tnxt.net,Possible BurpSuite Collaborator Domain (Unverified),35.152.144.26
collab.b8.ee,Possible BurpSuite Collaborator Domain (Unverified),18.222.224.220
collab.bbp-cloud.xyz,Possible BurpSuite Collaborator Domain (Unverified),172.237.128.179
collab.c14dd49h.ovh,Possible BurpSuite Collaborator Domain (Unverified),109.199.127.102
collab.cdi.sh,Possible BurpSuite Collaborator Domain (Unverified),135.220.162.127
collab.chaouane.xyz,Possible BurpSuite Collaborator Domain (Unverified),144.91.88.206
collab.cipherix.fi,Possible BurpSuite Collaborator Domain (Unverified),164.90.180.119
collab.collabme.ca,Possible BurpSuite Collaborator Domain (Unverified),138.197.139.91
collab.ct03.ct.pt.y-sec.org,Possible BurpSuite Collaborator Domain (Unverified),3.68.168.88
collab.cyberis-testing.site,Possible BurpSuite Collaborator Domain (Unverified),18.168.98.186
collab.digi.ninja,Possible BurpSuite Collaborator Domain (Unverified),5.196.105.2
collab.erasec.be,Possible BurpSuite Collaborator Domain (Unverified),165.22.93.22
collab.fortreumburp.net,Possible BurpSuite Collaborator Domain (Unverified),3.232.114.27
collab.glitchscan.com,Possible BurpSuite Collaborator Domain (Unverified),143.198.36.223
collab.harryhacker.fi,Possible BurpSuite Collaborator Domain (Unverified),37.16.105.123
collab.hawkislandsol.com,Possible BurpSuite Collaborator Domain (Unverified),157.245.219.145
collab.invokeops.com,Possible BurpSuite Collaborator Domain (Unverified),32.184.46.88
collab.invokeshell.net,Possible BurpSuite Collaborator Domain (Unverified),165.22.72.64
collab.jp28.jp.pt.y-sec.org,Possible BurpSuite Collaborator Domain (Unverified),63.186.226.223
collab.kjelltrell.com,Possible BurpSuite Collaborator Domain (Unverified),188.126.71.97
