url,dest_nt_domain,metadata_comment,metadata_url_popularity
https://whatismyip.live/*,whatismyip.live,N/A,low
https://whatismyipaddress.com*,whatismyipaddress.com,used by #variousmalwares,high
https://whatismyipaddress.info*,whatismyipaddress.info,used by #variousmalwares,low
https://whatsmyip.mw-rmm.barracudamsp.com/,whatsmyip.mw-rmm.barracudamsp.com,used by #BarracudaRMM,low
https://wtfismyip.com*,wtfismyip.com,N/A,high
https://wtfismyip.com/text,wtfismyip.com,N/A,low
*wtfismyip.com/json,wtfismyip.com,N/A,low
*wtfismyip.com/text,wtfismyip.com,N/A,low
https://www.bigdatacloud.com/what-is-my-ip*,www.bigdatacloud.com,N/A,low
https://www.geodatatool.com,www.geodatatool.com,N/A,low
https://www.geoplugin.net*,www.geoplugin.net,N/A,high
http://www.geoplugin.net/json.gp,www.geoplugin.net,N/A,medium
https://www.ipaddress.my*,www.ipaddress.my,used by android rats,low
https://www.ipify.org*,www.ipify.org,used by #variousmalwares,medium
https://www.my-ip.io*,www.my-ip.io,N/A,low
https://www.showmyip.com*,www.showmyip.com,used by coin miner and stealers,medium
https://www.showmyipaddress.com*,www.showmyipaddress.com,N/A,low
https://www.whatismyip.ca/,www.whatismyip.ca,N/A,low
http://www.whatismyip.com*,www.whatismyip.com,N/A,high
https://www.whatismyip.com*,www.whatismyip.com,used by #variousmalwares,high
https://www.whatsmyip.org*,www.whatsmyip.org,N/A,medium
https://www.geoipy.com/api/*,wwwgeoipy.com,N/A,low
https://wyjrvmdgwcp.net*,wyjrvmdgwcp.net,N/A,low
https://xehycceip.org*,xehycceip.org,N/A,low
https://ytlazwcii.net*,ytlazwcii.net,N/A,low
https://zwhffkvphkq.org*,zwhffkvphkq.org,N/A,low
