fuzzer,domain,dns_a,dns_aaaa,dns_mx,dns_ns
homoglyph,xn--1abnquepostale-dhb.fr,,,,
homoglyph,xn--1abnquepostale-igb.fr,,,,
homoglyph,xn--1abnquepostale-nib.fr,,,,
homoglyph,xn--1abnquepostale-shb.fr,,,,
homoglyph,xn--1abnquepostale-xgb.fr,,,,
homoglyph,xn--1banquepostale-5hb.fr,,,,
homoglyph,xn--1banquepostale-bhb.fr,,,,
homoglyph,xn--1banquepostale-ggb.fr,,,,
homoglyph,xn--1banquepostale-lib.fr,,,,
homoglyph,xn--1banquepostale-qhb.fr,,,,
homoglyph,xn--1banquepostale-vgb.fr,,,,
homoglyph,xn--abanquepostale-fmb.fr,,,,
homoglyph,xn--abanquepostale-klb.fr,,,,
homoglyph,xn--abanquepostale-umb.fr,,,,
homoglyph,xn--abanquepostale-zlb.fr,,,,
homoglyph,xn--iabanqepostale-5rb.fr,,,,
homoglyph,xn--iabanqepostale-brb.fr,,,,
homoglyph,xn--iabanqepostale-lsb.fr,,,,
homoglyph,xn--iabanqepostale-qrb.fr,,,,
homoglyph,xn--iabanquepostal-3kb.fr,,,,
homoglyph,xn--iabanquepostal-8jb.fr,,,,
homoglyph,xn--iabanquepostal-jlb.fr,,,,
homoglyph,xn--iabanquepostal-okb.fr,,,,
homoglyph,xn--iabanquepostle-1hb.fr,,,,
homoglyph,xn--iabanquepostle-6gb.fr,,,,
homoglyph,xn--iabanquepostle-hib.fr,,,,
homoglyph,xn--iabanquepostle-mhb.fr,,,,
homoglyph,xn--iabanquepostle-rgb.fr,,,,
homoglyph,xn--iabanquepostle-wib.fr,,,,
homoglyph,xn--iabanquepstale-3pb.fr,,,,
homoglyph,xn--iabanquepstale-8ob.fr,,,,
homoglyph,xn--iabanquepstale-eob.fr,,,,
homoglyph,xn--iabanquepstale-opb.fr,,,,
homoglyph,xn--iabanquepstale-tob.fr,,,,
homoglyph,xn--iabanqupostale-1jb.fr,,,,
homoglyph,xn--iabanqupostale-clb.fr,,,,
homoglyph,xn--iabanqupostale-hkb.fr,,,,
homoglyph,xn--iabanqupostale-wkb.fr,,,,
homoglyph,xn--iabaquepostale-tnb.fr,,,,
homoglyph,xn--iabnquepostale-7hb.fr,,,,
homoglyph,xn--iabnquepostale-dhb.fr,,,,
homoglyph,xn--iabnquepostale-igb.fr,,,,
homoglyph,xn--iabnquepostale-nib.fr,,,,
homoglyph,xn--iabnquepostale-shb.fr,,,,
homoglyph,xn--iabnquepostale-xgb.fr,,,,
homoglyph,xn--ibanquepostale-5hb.fr,,,,
homoglyph,xn--ibanquepostale-bhb.fr,,,,
homoglyph,xn--ibanquepostale-ggb.fr,,,,
homoglyph,xn--ibanquepostale-lib.fr,,,,
homoglyph,xn--ibanquepostale-qhb.fr,,,,
homoglyph,xn--ibanquepostale-vgb.fr,,,,
homoglyph,xn--labaguepostale-tnb.fr,,,,
homoglyph,xn--labamqepostale-5rb.fr,,,,
homoglyph,xn--labamqepostale-brb.fr,,,,
homoglyph,xn--labamqepostale-lsb.fr,,,,
homoglyph,xn--labamqepostale-qrb.fr,,,,
homoglyph,xn--labamquepostal-3kb.fr,,,,
