process,OriginalFileName,process_name,parent_process_command,parent_process_name,file_path,process_path,parent_process,signature,signature_id,index,sourcetype,source,meta.comment,meta.vendor_product,meta.lolbas_executable,meta.lolbas_link
* https://*,,InstallUtil.exe,,,,,,,,,,,,Microsoft Sysmon,Installutil.exe,https://lolbas-project.github.io/lolbas/Binaries/Installutil/
*Presentationhost.exe *.xbap,,,,,,,,,1,,,,,Microsoft Sysmon,Presentationhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/
"*Presentationhost.exe""*.xbap",,,,,,,,,1,,,,,Microsoft Sysmon,Presentationhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/
*.xbap,Presentationhost.exe,,,,,,,,1,,,,,Microsoft Sysmon,Presentationhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/
*.xbap,,Presentationhost.exe,,,,,,,1,,,,,Microsoft Sysmon,Presentationhost.exe,https://lolbas-project.github.io/lolbas/Binaries/Presentationhost/
,,mshta.exe,,cmd.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,powershell.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,powershell_ise.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,python.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,mshta.exe,,,cmd.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,mshta.exe,,,powershell.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,mshta.exe,,,powershell_ise.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,mshta.exe,,,python.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\Windows\Temp\*,mshta.exe,,,,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\Users\Public\*,mshta.exe,,,,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\AppData\Local\*,mshta.exe,,,,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\Windows\Temp\*,,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\Users\Public\*,,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*\AppData\Local\*,,,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,mshta.exe,,,svchost.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,svchost.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*javascript*,mshta.exe,,,,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*javascript*,,mshta.exe,,,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*mshta.exe* javascript:*script:https:*,,,,,,,,,,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,,,*\clr.dll,,,7,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,,,*\mscoree.dll,,,7,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,mshta.exe,,,,*\mscorlib.dll,,,7,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*mshta.exe* vbscript:Close(Execute(*script:https://*.sct*,,,,,,,,,,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*mshta.exe* *.hta*,,,,,,,,,,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*mshta.exe* https://*,,,,,,,,,,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
*mshta.exe* http://*,,,,,,,,,,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,powershell.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
,,colorcpl.exe,,mshta.exe,,,,,1,,,,,Microsoft Sysmon,Mshta.exe,https://lolbas-project.github.io/lolbas/Binaries/Mshta/
