src_ip,service,scope,metadata_reference
34.64.72.0/21,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.80.0/20,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.96.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.128.0/22,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.132.0/22,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.136.0/21,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.144.0/20,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.160.0/19,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.64.192.0/18,Google Cloud,asia-northeast3,https://www.gstatic.com/ipranges/cloud.json
34.65.0.0/16,Google Cloud,europe-west6,https://www.gstatic.com/ipranges/cloud.json
34.66.0.0/15,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.68.0.0/14,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.72.0.0/16,Google Cloud,us-central1,https://www.gstatic.com/ipranges/cloud.json
34.73.0.0/16,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.74.0.0/15,Google Cloud,us-east1,https://www.gstatic.com/ipranges/cloud.json
34.76.0.0/14,Google Cloud,europe-west1,https://www.gstatic.com/ipranges/cloud.json
34.80.0.0/15,Google Cloud,asia-east1,https://www.gstatic.com/ipranges/cloud.json
34.82.0.0/15,Google Cloud,us-west1,https://www.gstatic.com/ipranges/cloud.json
34.84.0.0/16,Google Cloud,asia-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.85.0.0/17,Google Cloud,asia-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.85.128.0/17,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.86.0.0/16,Google Cloud,us-east4,https://www.gstatic.com/ipranges/cloud.json
34.87.0.0/17,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.87.128.0/18,Google Cloud,asia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.87.192.0/18,Google Cloud,australia-southeast1,https://www.gstatic.com/ipranges/cloud.json
34.88.0.0/16,Google Cloud,europe-north1,https://www.gstatic.com/ipranges/cloud.json
34.89.0.0/17,Google Cloud,europe-west2,https://www.gstatic.com/ipranges/cloud.json
34.89.128.0/17,Google Cloud,europe-west3,https://www.gstatic.com/ipranges/cloud.json
34.90.0.0/15,Google Cloud,europe-west4,https://www.gstatic.com/ipranges/cloud.json
34.92.0.0/16,Google Cloud,asia-east2,https://www.gstatic.com/ipranges/cloud.json
34.93.0.0/16,Google Cloud,asia-south1,https://www.gstatic.com/ipranges/cloud.json
34.94.0.0/16,Google Cloud,us-west2,https://www.gstatic.com/ipranges/cloud.json
34.95.0.0/18,Google Cloud,northamerica-northeast1,https://www.gstatic.com/ipranges/cloud.json
34.95.64.0/18,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.95.128.0/17,Google Cloud,southamerica-east1,https://www.gstatic.com/ipranges/cloud.json
34.96.64.0/18,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
34.96.128.0/17,Google Cloud,asia-east2,https://www.gstatic.com/ipranges/cloud.json
34.97.0.0/16,Google Cloud,asia-northeast2,https://www.gstatic.com/ipranges/cloud.json
34.98.64.0/18,Google Cloud,global,https://www.gstatic.com/ipranges/cloud.json
