ip,port,metadata_comment
45.202.1.194,80,Possible Cobaltstrike C2 IP
45.207.192.190,30078,Possible Cobaltstrike C2 IP
45.227.253.121,25338,Possible Cobaltstrike C2 IP
45.227.253.121,35120,Possible Cobaltstrike C2 IP
45.227.253.121,52445,Possible Cobaltstrike C2 IP
45.43.59.179,53,Possible Cobaltstrike C2 IP
45.87.53.6,8443,Possible Cobaltstrike C2 IP
46.20.109.225,8999,Possible Cobaltstrike C2 IP
47.101.172.178,443,Possible Cobaltstrike C2 IP
47.101.51.235,443,Possible Cobaltstrike C2 IP
47.104.159.246,18443,Possible Cobaltstrike C2 IP
47.104.248.7,8884,Possible Cobaltstrike C2 IP
47.105.36.109,443,Possible Cobaltstrike C2 IP
47.108.25.113,443,Possible Cobaltstrike C2 IP
47.108.60.27,80,Possible Cobaltstrike C2 IP
47.109.198.8,6000,Possible Cobaltstrike C2 IP
47.120.32.72,8075,Possible Cobaltstrike C2 IP
47.121.137.8,80,Possible Cobaltstrike C2 IP
47.121.181.148,443,Possible Cobaltstrike C2 IP
47.122.152.65,80,Possible Cobaltstrike C2 IP
47.122.47.221,18443,Possible Cobaltstrike C2 IP
47.122.47.221,8081,Possible Cobaltstrike C2 IP
47.122.47.221,8880,Possible Cobaltstrike C2 IP
47.129.171.26,53,Possible Cobaltstrike C2 IP
47.129.2.130,53,Possible Cobaltstrike C2 IP
47.236.130.154,53,Possible Cobaltstrike C2 IP
47.236.149.142,46832,Possible Cobaltstrike C2 IP
47.236.159.248,53,Possible Cobaltstrike C2 IP
47.236.56.15,4445,Possible Cobaltstrike C2 IP
47.236.91.172,443,Possible Cobaltstrike C2 IP
47.236.91.172,8000,Possible Cobaltstrike C2 IP
47.242.0.207,8080,Possible Cobaltstrike C2 IP
47.242.0.207,9999,Possible Cobaltstrike C2 IP
47.82.234.12,443,Possible Cobaltstrike C2 IP
47.82.234.12,80,Possible Cobaltstrike C2 IP
47.83.254.175,1102,Possible Cobaltstrike C2 IP
47.86.184.71,53,Possible Cobaltstrike C2 IP
47.92.208.27,443,Possible Cobaltstrike C2 IP
47.94.162.43,2222,Possible Cobaltstrike C2 IP
49.232.4.71,80,Possible Cobaltstrike C2 IP
49.232.4.71,81,Possible Cobaltstrike C2 IP
49.232.4.71,8888,Possible Cobaltstrike C2 IP
49.233.136.227,80,Possible Cobaltstrike C2 IP
49.233.215.164,443,Possible Cobaltstrike C2 IP
49.233.9.4,80,Possible Cobaltstrike C2 IP
49.234.199.152,80,Possible Cobaltstrike C2 IP
60.217.58.49,2121,Possible Cobaltstrike C2 IP
60.247.206.23,7443,Possible Cobaltstrike C2 IP
62.234.22.228,51123,Possible Cobaltstrike C2 IP
64.89.161.183,443,Possible Cobaltstrike C2 IP
64.90.3.208,7891,Possible Cobaltstrike C2 IP
67.219.102.244,53,Possible Cobaltstrike C2 IP
68.64.176.172,80,Possible Cobaltstrike C2 IP
70.34.196.238,53,Possible Cobaltstrike C2 IP
74.48.84.24,443,Possible Cobaltstrike C2 IP
79.175.189.207,80,Possible Cobaltstrike C2 IP
8.130.74.111,80,Possible Cobaltstrike C2 IP
8.130.80.145,18443,Possible Cobaltstrike C2 IP
8.134.255.60,80,Possible Cobaltstrike C2 IP
8.134.70.73,88,Possible Cobaltstrike C2 IP
8.134.70.73,9999,Possible Cobaltstrike C2 IP
8.137.149.67,80,Possible Cobaltstrike C2 IP
8.137.149.67,8060,Possible Cobaltstrike C2 IP
8.137.149.67,8091,Possible Cobaltstrike C2 IP
8.152.212.104,443,Possible Cobaltstrike C2 IP
8.159.146.72,443,Possible Cobaltstrike C2 IP
8.163.49.50,80,Possible Cobaltstrike C2 IP
8.17.56.128,80,Possible Cobaltstrike C2 IP
8.219.76.168,443,Possible Cobaltstrike C2 IP
8.219.78.159,53,Possible Cobaltstrike C2 IP
81.69.253.132,80,Possible Cobaltstrike C2 IP
81.71.20.155,443,Possible Cobaltstrike C2 IP
82.156.219.31,8443,Possible Cobaltstrike C2 IP
82.157.52.180,443,Possible Cobaltstrike C2 IP
83.229.126.183,80,Possible Cobaltstrike C2 IP
85.137.240.208,18443,Possible Cobaltstrike C2 IP
87.107.191.39,53,Possible Cobaltstrike C2 IP
