domain,metadata_comment
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
sso.networkness.com,Possible Cobalt Strike C2 Fronted Domain
test.dnslogger.site,Possible Cobalt Strike C2 Domain
test.officeplustool.top,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.mloadspring.com,Possible Cobalt Strike C2 Domain
updates.fisgloval.com,Possible Cobalt Strike C2 Domain
updatesrv.net,Possible Cobalt Strike C2 Domain
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain
web-analyzer-serv32.com,Possible Cobalt Strike C2 Domain
webuser.n1u89dhs.xyz,Possible Cobalt Strike C2 Domain
www.ai2.qzz.io,Possible Cobalt Strike C2 Domain
www.dyshop.online,Possible Cobalt Strike C2 Domain
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain
www.qkshhdjrbd.work,Possible Cobalt Strike C2 Domain
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain
