domain,metadata_comment
pull.portal.10086.cn,Possible Cobalt Strike C2 Fronted Domain
releases-export-finishing-phillips.trycloudflare.com,Possible Cobalt Strike C2 Domain
safeaxis.xyz,Possible Cobalt Strike C2 Domain
salt.wsds.cn,Possible Cobalt Strike C2 Fronting Domain
secure-server.sbs,Possible Cobalt Strike C2 Domain
service-hzdzk12c-1318485841.gz.apigw.tencentcs.com,Possible Cobalt Strike C2 Fronting Domain
service-rchqbzvz-1301033415.sh.tencentapigw.com,Possible Cobalt Strike C2 Domain
skullcode.myddns.me,Possible Cobalt Strike C2 Domain
skynet-i.asuscomm.com,Possible Cobalt Strike C2 Domain
skyprotech.ru,Possible Cobalt Strike C2 Domain
spark.cssc.design,Possible Cobalt Strike C2 Domain
ssl.googletls.top,Possible Cobalt Strike C2 Domain
sso.dzeninfra.site,Possible Cobalt Strike C2 Fronting Domain
static-mtpjoriqkv.cn-beijing.fcapp.run,Possible Cobalt Strike C2 Domain
static.cos-tencent.cloud,Possible Cobalt Strike C2 Domain
static.slbc7890.shop,Possible Cobalt Strike C2 Domain
sts.tencentopenapi.xyz,Possible Cobalt Strike C2 Domain
superart.boeing.top,Possible Cobalt Strike C2 Fronting Domain
sys.systemworld.info,Possible Cobalt Strike C2 Domain
t.shakesnap.net,Possible Cobalt Strike C2 Domain
t2.shakesnap.net,Possible Cobalt Strike C2 Domain
test.dnslogger.site,Possible Cobalt Strike C2 Domain
test.officeplustool.top,Possible Cobalt Strike C2 Domain
test111-1302872009.cos.ap-shanghai.myqcloud.com,Possible Cobalt Strike C2 Fronting Domain
test111-1302872009.cos.ap-shanghai.myqcloud.com.eo.dnse2.com,Possible Cobalt Strike C2 Fronted Domain
timestamp.logogogogo.click,Possible Cobalt Strike C2 Domain
ts.008642.xyz,Possible Cobalt Strike C2 Domain
update.cdn-update.workers.dev,Possible Cobalt Strike C2 Domain
update.javashell.com,Possible Cobalt Strike C2 Domain
update.microsoftapply.com,Possible Cobalt Strike C2 Domain
update.mloadspring.com,Possible Cobalt Strike C2 Domain
updatery.ai,Possible Cobalt Strike C2 Fronted Domain
updates.fisgloval.com,Possible Cobalt Strike C2 Domain
upgrade.mloadspring.com,Possible Cobalt Strike C2 Domain
user.thinkg.cc,Possible Cobalt Strike C2 Domain
util.advertising-platform.top,Possible Cobalt Strike C2 Domain
ux85qfba.yuncdn.site,Possible Cobalt Strike C2 Fronted Domain
vision.cssc.design,Possible Cobalt Strike C2 Domain
vpn1.lidd8.cn,Possible Cobalt Strike C2 Fronting Domain
vv4.qpalzmonline.uk,Possible Cobalt Strike C2 Domain
webapi.360se.dpdns.org,Possible Cobalt Strike C2 Domain
webcloudplt2.oss-cn-shanghai.aliyuncs.com,Possible Cobalt Strike C2 Fronted Domain
webshareclouds.com,Possible Cobalt Strike C2 Domain
win-system-diag.tech,Possible Cobalt Strike C2 Domain
win.spaceshlp.com,Possible Cobalt Strike C2 Domain
ws.227api.com,Possible Cobalt Strike C2 Domain
ws1.227api.com,Possible Cobalt Strike C2 Domain
wsus.227api.com,Possible Cobalt Strike C2 Domain
wsus2.227api.com,Possible Cobalt Strike C2 Domain
www.2015wuyun.cc,Possible Cobalt Strike C2 Domain
www.animon.ai,Possible Cobalt Strike C2 Fronted Domain
www.api-aws.xyz,Possible Cobalt Strike C2 Domain
www.carhartt-market.com,Possible Cobalt Strike C2 Domain
www.cement-chemistry.com,Possible Cobalt Strike C2 Domain
www.chaitin.cn,Possible Cobalt Strike C2 Fronting Domain
www.cloudflara.xyz,Possible Cobalt Strike C2 Domain
www.dyshop.online,Possible Cobalt Strike C2 Domain
www.ggccloud.top,Possible Cobalt Strike C2 Domain
www.googleupdatetask.tk,Possible Cobalt Strike C2 Fronting Domain
www.gxrd.gov.cn,Possible Cobalt Strike C2 Fronted Domain
www.haozhizhenkong.com,Possible Cobalt Strike C2 Fronted Domain
www.koga.ar,Possible Cobalt Strike C2 Domain
www.lunarbyte.top,Possible Cobalt Strike C2 Domain
www.mfmni.shop,Possible Cobalt Strike C2 Fronting Domain
www.micrcscft.cyou,Possible Cobalt Strike C2 Domain
www.microsslcheck.com,Possible Cobalt Strike C2 Domain
www.ntn.it.com,Possible Cobalt Strike C2 Domain
www.polymarketapi.xyz,Possible Cobalt Strike C2 Domain
www.pronhub.shop,Possible Cobalt Strike C2 Domain
www.quick-shares.com,Possible Cobalt Strike C2 Domain
www.rmsmarineservice.com.qwqqwq.ggff.net,Possible Cobalt Strike C2 Domain
www.swchx.com,Possible Cobalt Strike C2 Domain
www.windows-updates.us,Possible Cobalt Strike C2 Domain
www.yukklzwo.vip,Possible Cobalt Strike C2 Domain
www.zp857.online,Possible Cobalt Strike C2 Domain
www.zyedu.sbs,Possible Cobalt Strike C2 Domain
wxblockchain.cn,Possible Cobalt Strike C2 Fronting Domain
wxblockchain.cn.w.kunlunpi.com,Possible Cobalt Strike C2 Fronted Domain
xbjy123.com,Possible Cobalt Strike C2 Fronted Domain
xulnai.com,Possible Cobalt Strike C2 Domain
xyt.cpolar.top,Possible Cobalt Strike C2 Domain
ykcs.601219.xyz,Possible Cobalt Strike C2 Domain
zhimawithyou.top,Possible Cobalt Strike C2 Fronted Domain
zs.scujj.edu.cn,Possible Cobalt Strike C2 Fronted Domain
