ip,metadata_comment
104.143.39.243,Possible Cobaltstrike C2 IP
104.160.9.139,Possible Metasploit C2 IP
104.168.117.123,Possible Cobaltstrike C2 IP
104.168.94.108,Possible Cobaltstrike C2 IP
104.194.140.142,Possible Metasploit C2 IP
104.21.32.116,Possible Cobaltstrike C2 IP
106.12.111.209,Possible Cobaltstrike C2 IP
106.12.219.245,Possible Cobaltstrike C2 IP
106.12.33.230,Possible Cobaltstrike C2 IP
106.12.52.174,Possible Cobaltstrike C2 IP
106.13.137.229,Possible Cobaltstrike C2 IP
106.13.211.192,Possible Cobaltstrike C2 IP
106.13.29.104,Possible Cobaltstrike C2 IP
106.13.78.105,Possible Cobaltstrike C2 IP
106.14.116.17,Possible Cobaltstrike C2 IP
106.14.126.40,Possible Cobaltstrike C2 IP
106.14.16.18,Possible Cobaltstrike C2 IP
106.14.213.29,Possible Cobaltstrike C2 IP
106.14.31.36,Possible Cobaltstrike C2 IP
106.14.76.222,Possible Cobaltstrike C2 IP
106.15.224.147,Possible Cobaltstrike C2 IP
106.38.201.95,Possible Cobaltstrike C2 IP
106.52.185.141,Possible Cobaltstrike C2 IP
106.52.2.166,Possible Cobaltstrike C2 IP
106.52.207.50,Possible Cobaltstrike C2 IP
106.52.208.143,Possible Cobaltstrike C2 IP
106.52.49.247,Possible Cobaltstrike C2 IP
106.52.62.253,Possible Cobaltstrike C2 IP
106.53.107.131,Possible Cobaltstrike C2 IP
106.53.147.223,Possible Cobaltstrike C2 IP
106.53.160.33,Possible Cobaltstrike C2 IP
106.53.208.183,Possible Cobaltstrike C2 IP
106.53.82.117,Possible Cobaltstrike C2 IP
106.54.179.15,Possible Metasploit C2 IP
106.54.239.134,Possible Cobaltstrike C2 IP
106.54.244.136,Possible Cobaltstrike C2 IP
106.54.40.209,Possible Cobaltstrike C2 IP
106.54.61.188,Possible Cobaltstrike C2 IP
106.55.150.142,Possible Cobaltstrike C2 IP
106.55.188.70,Possible Cobaltstrike C2 IP
106.55.90.143,Possible Cobaltstrike C2 IP
106.75.162.108,Possible Cobaltstrike C2 IP
106.75.215.96,Possible Cobaltstrike C2 IP
106.75.224.31,Possible Cobaltstrike C2 IP
106.75.31.247,Possible Cobaltstrike C2 IP
106.75.61.100,Possible Cobaltstrike C2 IP
107.148.50.75,Possible Cobaltstrike C2 IP
107.149.192.54,Possible Cobaltstrike C2 IP
107.149.212.204,Possible Cobaltstrike C2 IP
107.149.220.104,Possible Cobaltstrike C2 IP
107.150.1.230,Possible Cobaltstrike C2 IP
107.172.139.160,Possible Cobaltstrike C2 IP
107.172.217.220,Possible Cobaltstrike C2 IP
107.172.252.244,Possible Cobaltstrike C2 IP
107.172.58.105,Possible Cobaltstrike C2 IP
107.172.96.57,Possible Cobaltstrike C2 IP
107.173.122.193,Possible Cobaltstrike C2 IP
107.173.171.200,Possible Cobaltstrike C2 IP
107.173.180.173,Possible Cobaltstrike C2 IP
107.173.57.205,Possible Cobaltstrike C2 IP
107.173.71.25,Possible Cobaltstrike C2 IP
107.174.115.223,Possible Cobaltstrike C2 IP
107.174.115.43,Possible Cobaltstrike C2 IP
107.174.147.15,Possible Cobaltstrike C2 IP
107.174.186.78,Possible Cobaltstrike C2 IP
107.174.244.144,Possible Cobaltstrike C2 IP
107.174.65.53,Possible Cobaltstrike C2 IP
107.174.67.215,Possible Cobaltstrike C2 IP
107.174.95.25,Possible Cobaltstrike C2 IP
107.175.115.91,Possible Cobaltstrike C2 IP
107.175.242.93,Possible Cobaltstrike C2 IP
107.175.94.110,Possible Cobaltstrike C2 IP
108.165.228.132,Possible Cobaltstrike C2 IP
109.169.66.125,Possible Metasploit C2 IP
109.173.161.202,Possible Metasploit C2 IP
109.173.167.24,Possible Metasploit C2 IP
109.173.233.76,Possible Metasploit C2 IP
109.206.247.161,Possible Cobaltstrike C2 IP
109.236.50.48,Possible Cobaltstrike C2 IP
109.244.130.113,Possible Cobaltstrike C2 IP
110.40.137.221,Possible Cobaltstrike C2 IP
110.40.174.104,Possible Cobaltstrike C2 IP
110.40.176.194,Possible Cobaltstrike C2 IP
110.40.198.62,Possible Cobaltstrike C2 IP
110.41.2.207,Possible Cobaltstrike C2 IP
