http_user_agent,metadata_description,metadata_category,metadata_link,metadata_priority,metadata_fp_risk,metadata_severity,metadata_usage,metadata_flow_direction
"LocusSoftware, NetInstaller",Suricata Malware user-agent rules,Malware,https://raw.githubusercontent.com/seanlinmt/suricata/master/files/rules/emerging-malware.rules,high,low,medium,Detection rule,network flow direction internal --> external
* (Linux;  *,linux based os user agent,Compliance,N/A,low,high,info,Hunting,network flow direction internal --> external
ModSecurity CRS 3 test*,OWASP user-agent tests,Exploitation,https://github.com/coreruleset/coreruleset/blob/2bb4d7b5bcde5b0642ea2fba5879ccb01b7b518e/tests/regression/tests/REQUEST-932-APPLICATION-ATTACK-RCE/932131.yaml#L16,medium,medium,low,Hunting,network flow direction internal --> external
OWASP *,OWASP user-agent tests,Exploitation,https://github.com/coreruleset/coreruleset/blob/1deaa5fb2469f3080d6e699a95e7dc1383553ccf/CONTRIBUTING.md?plain=1#L413,medium,medium,low,Hunting,network flow direction internal --> external
AADInternals,default user agent used by AADInternals,Compliance,https://github.com/Gerenios/AADInternals/blob/0fa2edf5676439cd3fe7c92ed8006b63f0be9632/config.json#L3,high,low,medium,Hunting,network flow direction internal --> external
* (X11; *,unix based os user agent,Compliance,N/A,low,high,info,Hunting,network flow direction internal --> external
* (X11; *Firefox*,unix based os user agent using firefox client,Compliance,N/A,low,high,info,Hunting,network flow direction internal --> external
* MASP)*,trojan AV Bypass,Malware,https://www.virustotal.com/gui/file/c1b66f35e1677913974f8bbca2bbe026591756c3e7527a6b695cf200b98ecc70/behavior,high,low,high,Detection rule,network flow direction internal --> internal/external
* PowerShell/*,default user agent for powershell (when using Invoke-RestMethod or Invoke-WebRequest for example),Collection,N/A,high,high,medium,Hunting,network flow direction internal --> external
* Toolbar *,junk softwares,Compliance,N/A,medium,medium,medium,Hunting,network flow direction internal --> external
* Wyzo/*,browser with torrent search integrated,Collection,https://techcrunch.com/2007/06/09/wyzo-bittorrent-focused-browser-and-firefox-extension/,medium,low,high,Detection rule,network flow direction internal --> internal/external
* masscan/*,TCP port scanner,Discovery,https://github.com/robertdavidgraham/masscan/blob/9065684c52682d3e12a35559ef72cd0f07838bff/src/templ-payloads.c#L122,high,none,high,Detection rule,network flow direction internal --> internal/external
*ivre-masscan*,TCP port scanner,Discovery,https://github.com/robertdavidgraham/masscan/blob/dfd20019c2fe06b915165324e808652ccddba723/src/proto-http.c#L389,high,none,high,Detection rule,network flow direction internal --> internal/external
*${jndi:ldap://*,log4j exploit attempts and scans,Exploitation,https://github.com/Diverto/nse-log4shell/blob/main/http-log4shell.nse,critical,none,critical,Detection rule,network flow direction internal --> external or external --> internal for correlation with a strong signal
*(Hackintosh*,default user agent for Hackintosh OS,Compliance,N/A,low,low,low,Detection rule,network flow direction internal --> external
*(Nikto/*,default user agent for Nikto Vulnerability scanner,Vulnerability Scanner,https://github.com/sullo/nikto/blob/79225c796f533f87f843a3c4968f6680e081ca6b/program/nikto.conf.default#L18,high,none,high,Detection rule,network flow direction internal --> internal/external
