file_name,metadata_description,metadata_link
How To Restore Your Files.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
how_to_decrypt.hta,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_DECRYPT.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_RECOVER_DATA.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_RECOVER_FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_RECOVER_FILES_no_personal_id.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_RECOVER_FILES_no_personal_id2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
HOW_TO_RECOVERY_FILES.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
How_To_Restore_Your_Files.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
iFire-readme.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
INC-README.html,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
INC-README.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
INC-README2.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
INC-README3.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
INC-README4.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
JX34qQm7.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
KARMA-ENCRYPTED.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
lilith.txt,,https://github.com/mthcht/awesome-lists/blob/main/Lists/ransomware_notes_list.csv
