"appname","appid","metadata_category","metadata_severity","metadata_comment","metadata_link","metadata_reference"
"Microsoft Rights Management Services","00000012-0000-0000-c000-000000000000","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft.Azure.SyncFabric","00000014-0000-0000-c000-000000000000","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Dynamics ERP","00000015-0000-0000-c000-000000000000","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"MicrosoftAzureActiveAuthn","0000001a-0000-0000-c000-000000000000","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Power BI Information Service","0000001b-0000-0000-c000-000000000000","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Microsoft Visio Data Visualizer","00695ed2-3202-4156-8da1-69f60065e255","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Office 365 Management","00b41c95-dab0-4487-9791-b9d2c32c80f2","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Teams CMD Services Webinars","00edd498-7c0c-4e68-859c-5a55d518c9c0","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Teams CMD Services and Data","00edd498-7c0c-4e68-859c-5a55d518c9c0","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Skype for Business Application Configuration Service","00f82732-f451-4a01-918c-0e9896e784f9","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure Data Warehouse Polybase","0130cc9f-7ac5-4026-bd5f-80a08a54e6d9","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Device Registration Service","01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"MS-PIM","01fc33a7-78ba-4d2f-a4b7-768e336e890e","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
"Azure SQL Database","022907d3-0f1b-48f7-badc-1ba6abab6d66","compliance","info","N/A","https://learn.microsoft.com/en-us/troubleshoot/entra/entra-id/governance/verify-first-party-apps-sign-in - https://github.com/merill/microsoft-info/blob/main/_info/MicrosoftApps.csv","N/A"
