url,dest_host,metadata_dest_ip,metadata_dest_port,metadata_uri_path,metadata_type,metadata_comment,metadata_link
https://awan.ftp.sh/unblocked*,awan.ftp.sh,140.238.48.65,443,/unblocked,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://pihole.aws.ketan.dev/dns-query*,pihole.aws.ketan.dev,43.204.67.89,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://sg-dns1.bancuh.com/dns-query*,sg-dns1.bancuh.com,139.59.219.245,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://fr-dns1.bancuh.com/dns-query*,fr-dns1.bancuh.com,51.158.99.7,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-query*,dns.bebasid.com,103.87.68.194,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://antivirus.bebasid.com/dns-query*,antivirus.bebasid.com,103.87.68.195,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://internetsehat.bebasid.com/dns-query*,internetsehat.bebasid.com,103.87.68.196,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://internetsehat.bebasid.com/dns-strict*,internetsehat.bebasid.com,103.87.68.196,443,/dns-strict,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/unfiltered*,dns.bebasid.com,103.87.68.194,443,/unfiltered,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-oisd*,dns.bebasid.com,103.87.68.194,443,/dns-oisd,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-hagezi*,dns.bebasid.com,103.87.68.194,443,/dns-hagezi,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-stevenblack*,dns.bebasid.com,103.87.68.194,443,/dns-stevenblack,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-1hosts*,dns.bebasid.com,103.87.68.194,443,/dns-1hosts,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-adguard*,dns.bebasid.com,103.87.68.194,443,/dns-adguard,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.bebasid.com/dns-devdan*,dns.bebasid.com,103.87.68.194,443,/dns-devdan,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://dns.belnet.be/dns-query*,dns.belnet.be,193.190.182.53,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
https://ns3.bit-trail.nl/dns-query*,ns3.bit-trail.nl,92.63.169.45,443,/dns-query,DOH,N/A,https://github.com/curl/curl/wiki/DNS-over-HTTPS
