permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
DelegatedAdminRelationship.ReadWrite.All,cc13eba4-8cd8-44c6-b4d4-f93237adce58,885f682f-a990-4bad-a642-36736a74b0c7,Manage Delegated Admin relationships with customers,Manage Delegated Admin relationships with customers,Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers and role assignments to security groups for active Delegated Admin relationships without a signed-in user.,Allows the app to manage (create-update-terminate) Delegated Admin relationships with customers as well as role assignments to security groups for active Delegated Admin relationships on behalf of the signed-in user.,Yes,Yes,no
DelegatedPermissionGrant.Read.All,81b4724a-58aa-41c1-8a55-84ef97466587,a197cdc4-a8e8-4d49-9d35-4ca7c83887b4,Read all delegated permission grants,Read delegated permission grants,"Allows the app to read all delegated permission grants, without a signed-in user.","Allows the app to read delegated permission grants, on behalf of the signed in user.",Yes,Yes,no
DelegatedPermissionGrant.ReadWrite.All,8e8e4742-1d95-4f68-9d56-6ee75648c72a,41ce6ca6-6826-4807-84f1-1c82854f7ee5,Manage all delegated permission grants,Manage all delegated permission grants,"Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), without a signed-in user.","Allows the app to manage permission grants for delegated permissions exposed by any API (including Microsoft Graph), on behalf of the signed in user.",Yes,Yes,no
Device.Command,-,bac3b9c2-b516-4ef4-bd3b-c2ef73d8d804,-,Communicate with user devices,-,Allows the app to launch another app or communicate with another app on a user's device on behalf of the signed-in user.,-,No,no
Device.Read,-,11d4cd79-5ba5-460f-803f-e22c8ab85ccd,-,Read user devices,-,Allows the app to read a user's list of devices on behalf of the signed-in user.,-,No,no
Device.Read.All,7438b122-aefc-4978-80ed-43db9fcc7715,951183d1-1a61-466f-a6d1-1fde911bfd95,Read all devices,Read all devices,Allows the app to read your organization's devices' configuration information without a signed-in user.,Allows the app to read your organization's devices' configuration information on behalf of the signed-in user.,Yes,Yes,no
Device.ReadWrite.All,1138cb37-bd11-4084-a2b7-9f71582aeddb,-,Read and write devices,-,"Allows the app to read and write all device properties without a signed in user.  Does not allow device creation, device deletion or update of device alternative security identifiers.",-,Yes,-,yes
DeviceLocalCredential.Read.All,884b599e-4d48-43a5-ba94-15c414d00588,280b3b69-0437-44b1-bc20-3b2fca1ee3e9,Read device local credential passwords,Read device local credential passwords,"Allows the app to read device local credential properties including passwords, without a signed-in user.","Allows the app to read device local credential properties including passwords, on behalf of the signed-in user.",Yes,Yes,no
DeviceLocalCredential.ReadBasic.All,db51be59-e728-414b-b800-e0f010df1a79,9917900e-410b-4d15-846e-42a357488545,Read device local credential properties,Read device local credential properties,"Allows the app to read device local credential properties excluding passwords, without a signed-in user.","Allows the app to read device local credential properties excluding passwords, on behalf of the signed-in user.",Yes,Yes,no
DeviceManagementApps.Read.All,7a6ee1e7-141e-4cec-ae74-d9db155731ff,4edf5f54-4666-44af-9de9-0144fb4b6e8c,Read Microsoft Intune apps,Read Microsoft Intune apps,"Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.","Allows the app to read the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.",Yes,Yes,no
DeviceManagementApps.ReadWrite.All,78145de6-330d-4800-a6ce-494ff2d33d07,7b3f05d5-f68c-4b8d-8c59-a2ecd12f24af,Read and write Microsoft Intune apps,Read and write Microsoft Intune apps,"Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune, without a signed-in user.","Allows the app to read and write the properties, group assignments and status of apps, app configurations and app protection policies managed by Microsoft Intune.",Yes,Yes,no
DeviceManagementConfiguration.Read.All,dc377aa6-52d8-4e23-b271-2a7ae04cedf3,f1493658-876a-4c87-8fa7-edb559b3476a,Read Microsoft Intune device configuration and policies,Read Microsoft Intune Device Configuration and Policies,"Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.",Allows the app to read properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.,Yes,Yes,no
DeviceManagementConfiguration.ReadWrite.All,9241abd9-d0e6-425a-bd4f-47ba86e767a4,0883f392-0a7a-443d-8c76-16a6d39c7b63,Read and write Microsoft Intune device configuration and policies,Read and write Microsoft Intune Device Configuration and Policies,"Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups, without a signed-in user.",Allows the app to read and write properties of Microsoft Intune-managed device configuration and device compliance policies and their assignment to groups.,Yes,Yes,no
DeviceManagementManagedDevices.PrivilegedOperations.All,5b07b0dd-2377-4e44-a38d-703f09a0dc3c,3404d2bf-2b13-457e-a330-c24615765193,Perform user-impacting remote actions on Microsoft Intune devices,Perform user-impacting remote actions on Microsoft Intune devices,"Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune, without a signed-in user.",Allows the app to perform remote high impact actions such as wiping the device or resetting the passcode on devices managed by Microsoft Intune.,Yes,Yes,no
DeviceManagementManagedDevices.Read.All,2f51be20-0bb4-4fed-bf7b-db946066c75e,314874da-47d6-4978-88dc-cf0d37f0bb82,Read Microsoft Intune devices,Read Microsoft Intune devices,"Allows the app to read the properties of devices managed by Microsoft Intune, without a signed-in user.",Allows the app to read the properties of devices managed by Microsoft Intune.,Yes,Yes,no
DeviceManagementManagedDevices.ReadWrite.All,243333ab-4d21-40cb-a475-36241daa0842,44642bfe-8385-4adc-8fc6-fe3cb2c375c3,Read and write Microsoft Intune devices,Read and write Microsoft Intune devices,"Allows the app to read and write the properties of devices managed by Microsoft Intune, without a signed-in user. Does not allow high impact operations such as remote wipe and password reset on the device's owner",Allows the app to read and write the properties of devices managed by Microsoft Intune. Does not allow high impact operations such as remote wipe and password reset on the device's owner.,Yes,Yes,no
DeviceManagementRBAC.Read.All,58ca0d9a-1575-47e1-a3cb-007ef2e4583b,49f0cc30-024c-4dfd-ab3e-82e137ee5431,Read Microsoft Intune RBAC settings,Read Microsoft Intune RBAC settings,"Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user.",Allows the app to read the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.,Yes,Yes,no
DeviceManagementRBAC.ReadWrite.All,e330c4f0-4170-414e-a55a-2f022ec2b57b,0c5e8a55-87a6-4556-93ab-adc52c4d862d,Read and write Microsoft Intune RBAC settings,Read and write Microsoft Intune RBAC settings,"Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings, without a signed-in user.",Allows the app to read and write the properties relating to the Microsoft Intune Role-Based Access Control (RBAC) settings.,Yes,Yes,no
DeviceManagementServiceConfig.Read.All,06a5fe6d-c49d-46a7-b082-56b1b14103c7,8696daa5-bce5-4b2e-83f9-51b6defc4e1e,Read Microsoft Intune configuration,Read Microsoft Intune configuration,"Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.",Allows the app to read Microsoft Intune service properties including device enrollment and third party service connection configuration.,Yes,Yes,no
DeviceManagementServiceConfig.ReadWrite.All,5ac13192-7ace-4fcf-b828-1a26f28068ee,662ed50a-ac44-4eef-ad86-62eed9be2a29,Read and write Microsoft Intune configuration,Read and write Microsoft Intune configuration,"Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration, without a signed-in user.",Allows the app to read and write Microsoft Intune service properties including device enrollment and third party service connection configuration.,Yes,Yes,no
Directory.AccessAsUser.All,-,0e263e50-5827-48a4-b97c-d940288653c7,-,Access directory as the signed in user,-,Allows the app to have the same access to information in the directory as the signed-in user.,-,Yes,no
Directory.Read.All,7ab1d382-f21e-4acd-a863-ba3e13f7da61,06da0dbc-49e2-44d2-8312-53f166ab848a,Read directory data,Read directory data,"Allows the app to read data in your organization's directory, such as users, groups and apps, without a signed-in user.","Allows the app to read data in your organization's directory, such as users, groups and apps.",Yes,Yes,no
Directory.ReadWrite.All,19dbc75e-c2e2-444c-a770-ec69d8559fc7,c5366453-9fb0-48a5-a156-24f0c49a4b84,Read and write directory data,Read and write directory data,"Allows the app to read and write data in your organization's directory, such as users, and groups, without a signed-in user.  Does not allow user or group deletion.","Allows the app to read and write data in your organization's directory, such as users, and groups.  It does not allow the app to delete users or groups, or reset user passwords.",Yes,Yes,yes
Directory.Write.Restricted,f20584af-9290-4153-9280-ff8bb2c0ea7f,cba5390f-ed6a-4b7f-b657-0efc2210ed20,Manage restricted resources in the directory,Manage restricted resources in the directory,"Allows the app to manage restricted resources based on the other permissions granted to the app, without a signed-in user.","Allows the app to manage restricted resources based on the other permissions granted to the app, on behalf of the signed-in user.",Yes,Yes,no
DirectoryRecommendations.Read.All,ae73097b-cb2a-4447-b064-5d80f6093921,34d3bd24-f6a6-468c-b67c-0c365c1d6410,Read all Azure AD recommendations,Read Azure AD recommendations,"Allows the app to read all Azure AD recommendations, without a signed-in user.","Allows the app to read Azure AD recommendations, on behalf of the signed-in user.",Yes,Yes,no
DirectoryRecommendations.ReadWrite.All,0e9eea12-4f01-45f6-9b8d-3ea4c8144158,f37235e8-90a0-4189-93e2-e55b53867ccd,Read and update all Azure AD recommendations,Read and update Azure AD recommendations,"Allows the app to read and update all Azure AD recommendations, without a signed-in user.","Allows the app to read and update Azure AD recommendations, on behalf of the signed-in user.",Yes,Yes,no
Domain.Read.All,dbb9058a-0e50-45d7-ae91-66909b5d4664,2f9ee017-59c1-4f1d-9472-bd5529a7b311,Read domains,Read domains.,Allows the app to read all domain properties without a signed-in user.,Allows the app to read all domain properties on behalf of the signed-in user.,Yes,Yes,no
Domain.ReadWrite.All,7e05723c-0bb0-42da-be95-ae9f08a6e53c,0b5d694c-a244-4bde-86e6-eb5cd07730fe,Read and write domains,Read and write domains,"Allows the app to read and write all domain properties without a signed in user.  Also allows the app to add,  verify and remove domains.","Allows the app to read and write all domain properties on behalf of the signed-in user. Also allows the app to add, verify and remove domains.",Yes,Yes,no
EAS.AccessAsUser.All,-,ff91d191-45a0-43fd-b837-bd682c4a0b0f,-,Access mailboxes via Exchange ActiveSync,-,Allows the app to have the same access to mailboxes as the signed-in user via Exchange ActiveSync.,-,No,no
eDiscovery.Read.All,50180013-6191-4d1e-a373-e590ff4e66af,99201db3-7652-4d5a-809a-bdb94f85fe3c,Read all eDiscovery objects,Read all eDiscovery objects,"Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.","Allows the app to read eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.",Yes,Yes,no
eDiscovery.ReadWrite.All,b2620db1-3bf7-4c5b-9cb9-576d29eac736,acb8f680-0834-4146-b69e-4ab1b39745ad,Read and write all eDiscovery objects,Read and write all eDiscovery objects,"Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects without a signed-in user.","Allows the app to read and write eDiscovery objects such as cases, custodians, review sets and other related objects on behalf of the signed-in user.",Yes,Yes,no
EduAdministration.Read,-,8523895c-6081-45bf-8a5d-f062a2f12c9f,-,Read education app settings,-,Read the state and settings of all Microsoft education apps on behalf of the user.,-,Yes,no
EduAdministration.Read.All,7c9db06a-ec2d-4e7b-a592-5a1e30992566,-,Read Education app settings,-,Read the state and settings of all Microsoft education apps.,-,Yes,-,no
EduAdministration.ReadWrite,-,63589852-04e3-46b4-bae9-15d5b1050748,-,Manage education app settings,-,Manage the state and settings of all Microsoft education apps on behalf of the user.,-,Yes,no
EduAdministration.ReadWrite.All,9bc431c3-b8bc-4a8d-a219-40f10f92eff6,-,Manage education app settings,-,Manage the state and settings of all Microsoft education apps.,-,Yes,-,no
EduAssignments.Read,-,091460c9-9c4a-49b2-81ef-1f3d852acce2,-,Read users' class assignments and their grades,-,Allows the app to read assignments and their grades on behalf of the user.,-,Yes,no
EduAssignments.Read.All,4c37e1b6-35a1-43bf-926a-6f30f2cdf585,-,Read all class assignments with grades,-,Allows the app to read all class assignments with grades for all users without a signed-in user.,-,Yes,-,no
EduAssignments.ReadBasic,-,c0b0103b-c053-4b2e-9973-9f3a544ec9b8,-,Read users' class assignments without grades,-,Allows the app to read assignments without grades on behalf of the user.,-,Yes,no
EduAssignments.ReadBasic.All,6e0a958b-b7fc-4348-b7c4-a6ab9fd3dd0e,-,Read all class assignments without grades,-,Allows the app to read all class assignments without grades for all users without a signed-in user.,-,Yes,-,no
EduAssignments.ReadWrite,-,2f233e90-164b-4501-8bce-31af2559a2d3,-,Read and write users' class assignments and their grades,-,Allows the app to read and write assignments and their grades on behalf of the user.,-,Yes,no
EduAssignments.ReadWrite.All,0d22204b-6cad-4dd0-8362-3e3f2ae699d9,-,"Create, read, update and delete all class assignments with grades",-,"Allows the app to create, read, update and delete all class assignments with grades for all users without a signed-in user.",-,Yes,-,no
EduAssignments.ReadWriteBasic,-,2ef770a1-622a-47c4-93ee-28d6adbed3a0,-,Read and write users' class assignments without grades,-,Allows the app to read and write assignments without grades on behalf of the user.,-,Yes,no
EduAssignments.ReadWriteBasic.All,f431cc63-a2de-48c4-8054-a34bc093af84,-,"Create, read, update and delete all class assignments without grades",-,"Allows the app to create, read, update and delete all class assignments without grades for all users without a signed-in user.",-,Yes,-,no
EduCurricula.Read,-,484859e8-b9e2-4e92-b910-84db35dadd29,-,Read the user's class modules and resources,-,Allows the app to read the user's modules and resources on behalf of the signed-in user.,-,Yes,no
EduCurricula.Read.All,6cdb464c-3a03-40f8-900b-4cb7ea1da9c0,-,Read all class modules and resources,-,"Allows the app to read all modules and resources, without a signed-in user.",-,Yes,-,no
EduCurricula.ReadWrite,-,4793c53b-df34-44fd-8d26-d15c517732f5,-,Read and write the user's class modules and resources,-,Allows the app to read and write user's modules and resources on behalf of the signed-in user.,-,Yes,no
EduCurricula.ReadWrite.All,6a0c2318-d59d-4c7d-bf2e-5f3902dc2593,-,Read and write all class modules and resources,-,"Allows the app to read and write all modules and resources, without a signed-in user.",-,Yes,-,no
EduReports-Reading.Read.All,ad248c30-1919-40c8-b3d2-304481894e88,-,Read all tenant reading assignments submissions data,-,Allows the app to read all tenant users reading assignments submissions data without a signed-in user.,-,Yes,-,no
EduReports-Reading.ReadAnonymous.All,040330d7-be7e-4130-b349-a6eb3a56e2f8,-,Read all tenant reading assignments submissions data,-,Allows the app to read all tenant users reading assignments submissions data (excludes student-identifying information) without a signed-in user.,-,Yes,-,no
EduReports-Reflect.Read.All,c5debf73-bdc8-473d-bf07-f4074ad05f71,-,Read all tenant reflect check-ins submissions data,-,Allows the app to read all tenant users reflect check-ins submissions data without a signed-in user.,-,Yes,-,no
EduReports-Reflect.ReadAnonymous.All,f5d05dba-7ef0-46fc-b62c-a7282555f428,-,Read all tenant reflect check-ins submissions data,-,Allows the app to read all tenant users reflect check-ins submissions data (excludes responder-identifying information) without a signed-in user.,-,Yes,-,no
EduRoster.Read,-,a4389601-22d9-4096-ac18-36a927199112,-,Read users' view of the roster,-,Allows the app to read the structure of schools and classes in an organization's roster and education-specific information about users to be read on behalf of the user.,-,Yes,no
EduRoster.Read.All,e0ac9e1b-cb65-4fc5-87c5-1a8bc181f648,-,Read the organization's roster,-,Allows the app to read the structure of schools and classes in the organization's roster and education-specific information about all users to be read.,-,Yes,-,no
EduRoster.ReadBasic,-,5d186531-d1bf-4f07-8cea-7c42119e1bd9,-,Read a limited subset of users' view of the roster,-,"Allows the app to read a limited subset of the properties from the structure of schools and classes in an organization's roster and a limited subset of properties about users to be read on behalf of the user. Includes name, status, education role, email address and photo.",-,Yes,no
EduRoster.ReadBasic.All,0d412a8c-a06c-439f-b3ec-8abcf54d2f96,-,Read a limited subset of the organization's roster,-,"Allows the app to read a limited subset of properties from both the structure of schools and classes in the organization's roster and education-specific information about all users. Includes name, status, role, email address and photo.",-,Yes,-,no
EduRoster.ReadWrite,-,359e19a6-e3fa-4d7f-bcab-d28ec592b51e,-,Read and write users' view of the roster,-,Allows the app to read and write the structure of schools and classes in an organization's roster and education-specific information about users to be read and written on behalf of the user.,-,Yes,no
EduRoster.ReadWrite.All,d1808e82-ce13-47af-ae0d-f9b254e6d58a,-,Read and write the organization's roster,-,Allows the app to read and write the structure of schools and classes in the organization's roster and education-specific information about all users to be read and written.,-,Yes,-,no
email,-,64a6cdd6-aab1-4aaf-94b8-3cc8405e90d0,-,View users' email address,-,Allows the app to read your users' primary email address,-,No,no
EntitlementManagement.Read.All,c74fd47d-ed3c-45c3-9a9e-b8676de685d2,5449aa12-1393-4ea2-a7c7-d0e06c1a56b2,Read all entitlement management resources,Read all entitlement management resources,Allows the app to read access packages and related entitlement management resources without a signed-in user.,Allows the app to read access packages and related entitlement management resources on behalf of the signed-in user.,Yes,Yes,no
EntitlementManagement.ReadWrite.All,9acd699f-1e81-4958-b001-93b1d2506e19,ae7a573d-81d7-432b-ad44-4ed5c9d89038,Read and write all entitlement management resources,Read and write entitlement management resources,Allows the app to read and write access packages and related entitlement management resources without a signed-in user.,Allows the app to request access to and management of access packages and related entitlement management resources on behalf of the signed-in user.,Yes,Yes,no
EntitlementMgmt-SubjectAccess.ReadWrite,-,e9fdcbbb-8807-410f-b9ec-8d5468c7c2ac,-,Read and write entitlement management resources related to self-service operations,-,Allows the app to manage self-service entitlement management resources on behalf of the signed-in user.  This includes operations such as requesting access and approving access of others.,-,No,no
EventListener.Read.All,b7f6385c-6ce6-4639-a480-e23c42ed9784,f7dd3bed-5eec-48da-bc73-1c0ef50bc9a1,Read all authentication event listeners,Read your organization's authentication event listeners,Allows the app to read your organization's authentication event listeners without a signed-in user.,Allows the app to read your organization's authentication event listeners on behalf of the signed-in user.,Yes,Yes,no
EventListener.ReadWrite.All,0edf5e9e-4ce8-468a-8432-d08631d18c43,d11625a6-fe21-4fc6-8d3d-063eba5525ad,Read and write all authentication event listeners,Read and write your organization's authentication event listeners,Allows the app to read or write your organization's authentication event listeners without a signed-in user.,Allows the app to read or write your organization's authentication event listeners on behalf of the signed-in user.,Yes,Yes,no
EWS.AccessAsUser.All,-,9769c687-087d-48ac-9cb3-c37dde652038,-,Access mailboxes as the signed-in user via Exchange Web Services,-,Allows the app to have the same access to mailboxes as the signed-in user via Exchange Web Services.,-,No,no
ExternalConnection.Read.All,1914711b-a1cb-4793-b019-c2ce0ed21b8c,a38267a5-26b6-4d76-9493-935b7599116b,Read all external connections,Read all external connections,Allows the app to read all external connections without a signed-in user.,Allows the app to read all external connections on behalf of a signed-in user. The signed-in user must be an administrator.,Yes,Yes,no
ExternalConnection.ReadWrite.All,34c37bc0-2b40-4d5e-85e1-2365cd256d79,bbbbd9b3-3566-4931-ac37-2b2180d9e334,Read and write all external connections,Read and write all external connections,Allows the app to read and write all external connections without a signed-in user.,Allows the app to read and write all external connections on behalf of a signed-in user. The signed-in user must be an administrator.,Yes,Yes,no
ExternalConnection.ReadWrite.OwnedBy,f431331c-49a6-499f-be1c-62af19c34a9d,4082ad95-c812-4f02-be92-780c4c4f1830,Read and write external connections,Read and write external connections,"Allows the app to read and write external connections without a signed-in user. The app can only read and write external connections that it is authorized to, or it can create new external connections.",Allows the app to read and write settings of external connections on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read and write settings of connections that it is authorized to.,Yes,Yes,no
ExternalItem.Read.All,7a7cffad-37d2-4f48-afa4-c6ab129adcc2,922f9392-b1b7-483c-a4be-0089be7704fb,Read all external items,Read items in external datasets,Allows the app to read all external items without a signed-in user.,"Allow the app to read external datasets and content, on behalf of the signed-in user.",Yes,Yes,no
ExternalItem.ReadWrite.All,38c3d6ee-69ee-422f-b954-e17819665354,b02c54f8-eb48-4c50-a9f0-a149e5a2012f,Read and write items in external datasets,Read and write all external items,Allow the app to read or write items in all external datasets that the app is authorized to access,Allows the app to read and write all external items on behalf of a signed-in user. The signed-in user must be an administrator.,Yes,Yes,no
ExternalItem.ReadWrite.OwnedBy,8116ae0f-55c2-452d-9944-d18420f5b2c8,4367b9d7-cee7-4995-853c-a0bdfe95c1f9,Read and write external items,Read and write external items,Allows the app to read and write external items without a signed-in user. The app can only read external items of the connection that it is authorized to.,Allows the app to read and write external items on behalf of a signed-in user. The signed-in user must be an administrator. The app can only read external items of the connection that it is authorized to.,Yes,Yes,no
ExternalUserProfile.Read.All,1987d7a0-d602-4262-ab90-cfdd43b37545,47167bec-55a7-4caf-9ecc-8d4566e3cfb1,Read all external user profiles,Read external user profiles,"Allows the app to read available properties of external user profiles, without a signed-in user.","Allows the app to read available properties of external user profiles, on behalf of the signed-in user.",Yes,Yes,no
ExternalUserProfile.ReadWrite.All,761327c9-d819-4c08-9a5f-874cd2826608,c6068dc7-a791-46a4-a811-b8228e6649ab,Read and write all external user profiles,Read and write external user profiles,"Allows the app to read and write available properties of external user profiles, without a signed-in user.","Allows the app to read and write available properties of external user profiles, on behalf of the signed-in user.",Yes,Yes,no
Family.Read,-,3a1e4806-a744-4c70-80fc-223bf8582c46,-,Read your family info,-,"Allows the app to read your family information, members and their basic profile.",-,No,no
Files.Read,-,10465720-29dd-4523-a11a-6a75c743c9d9,-,Read user files,-,Allows the app to read the signed-in user's files.,-,No,no
Files.Read.All,01d4889c-1287-42c6-ac1f-5d1e02578ef6,df85f4d6-205c-4ac5-a5ea-6bf408dba283,Read files in all site collections,Read all files that user can access,Allows the app to read all files in all site collections without a signed in user.,Allows the app to read all files the signed-in user can access.,Yes,No,no
Files.Read.Selected,-,5447fe39-cb82-4c1a-b977-520e67e724eb,-,Read files that the user selects (preview),-,(Preview) Allows the app to read files that the user selects. The app has access for several hours after the user selects a file.,-,No,no
Files.ReadWrite,-,5c28f0bf-8a70-41f1-8ab2-9032436ddb65,-,Have full access to user files,-,"Allows the app to read, create, update and delete the signed-in user's files.",-,No,no
Files.ReadWrite.All,75359482-378d-4052-8f01-80520e7db3cd,863451e7-0667-486c-a5d6-d135439485f0,Read and write files in all site collections,Have full access to all files user can access,"Allows the app to read, create, update and delete all files in all site collections without a signed in user.","Allows the app to read, create, update and delete all files the signed-in user can access.",Yes,No,yes
Files.ReadWrite.AppFolder,b47b160b-1054-4efd-9ca0-e2f614696086,8019c312-3263-48e6-825e-2b833497195b,Have full access to the application's folder without a signed in user.,Have full access to the application's folder (preview),"Allows the app to read, create, update and delete files in the application's folder without a signed in user.","(Preview) Allows the app to read, create, update and delete files in the application's folder.",Yes,No,no
Files.ReadWrite.Selected,-,17dde5bd-8c17-420f-a486-969730c1b827,-,Read and write files that the user selects (preview),-,(Preview) Allows the app to read and write files that the user selects. The app has access for several hours after the user selects a file.,-,No,no
Files.SelectedOperations.Selected,bd61925e-3bf4-4d62-bc0b-06b06c96d95c,ef2779dc-ef1b-4211-8310-8a0ac2450081,Access selected Files without a signed in user.,"Access selected Files, on behalf of the signed-in user",Allow the application to access a subset of files without a signed in user.  The specific files and the permissions granted will be configured in SharePoint Online or OneDrive.,Allow the application to access files explicitly permissioned to the application on behalf of the signed in user.  The specific files and the permissions granted will be configured in SharePoint Online or OneDrive.,Yes,Yes,no
FileStorageContainer.Selected,40dc41bc-0f7e-42ff-89bd-d9516947e474,085ca537-6565-41c2-aca7-db852babc212,Access selected file storage containers,Access selected file storage containers,"Allows the application to utilize the file storage container platform to manage containers, without a signed-in user. The specific file storage containers and the permissions granted to them will be configured in Microsoft 365 by the developer of each container type.",Allows the application to utilize the file storage container platform to manage containers on behalf of the signed in user. The specific file storage containers and the permissions granted to them will be configured in Microsoft 365 by the developer of each container type.,Yes,Yes,no
Financials.ReadWrite.All,-,f534bf13-55d4-45a9-8f3c-c92fe64d6131,-,Read and write financials data,-,Allows the app to read and write financials data on behalf of the signed-in user.,-,No,no
Goals-Export.Read.All,-,092211d9-ca1a-427b-813e-b79c7653fe71,-,Read all goals and export jobs that a user can access,-,Allows the app to read all goals and export jobs that the signed-in user can access.,-,Yes,no
Goals-Export.ReadWrite.All,-,2edeb9fd-4228-480c-a26d-2ed52011cf3d,-,Have full access to all goals and export jobs a user can access,-,"Allows the app to read goals, create and read export jobs that the signed-in user can access.",-,Yes,no
Group-Conversation.Read.All,4f0a8235-6f6f-4ec7-9500-34b452a4a0c3,c92fbbc2-50e0-4842-93ef-385c3293ea3d,Read all group conversations,Read group conversations,Allows the app to read conversations of the groups this app has access to without a signed-in user.,Allows the app to read group conversations that the signed-in user has access to.,Yes,Yes,no
Group-Conversation.ReadWrite.All,6679c91b-820a-4900-ab47-e97b197a89c4,302bcbb5-855a-4e49-ae20-94a331b0281e,Read and write all group conversations,Read and write group conversations,Allows the app to read and write conversations of the groups this app has access to without a signed-in user.,Allows the app to read and write group conversations that the signed-in user has access to.,Yes,Yes,no
Group.Create,bf7b1a76-6e77-406b-b258-bf5c7720e98f,-,Create groups,-,Allows the app to create groups without a signed-in user.,-,Yes,-,no
Group.Read.All,5b567255-7703-4780-807c-7be8301ae99b,5f8c59db-677d-491f-a6b8-5f174b11ec1d,Read all groups,Read all groups,"Allows the app to read group properties and memberships, and read conversations for all groups, without a signed-in user.","Allows the app to list groups, and to read their properties and all group memberships on behalf of the signed-in user.  Also allows the app to read calendar, conversations, files, and other group content for all groups the signed-in user can access.",Yes,Yes,no
Group.ReadWrite.All,62a82d76-70ea-41e2-9197-370581804d09,4e46008b-f24c-477d-8fff-7bb4ec7aafe0,Read and write all groups,Read and write all groups,"Allows the app to create groups, read all group properties and memberships, update group properties and memberships, and delete groups. Also allows the app to read and write conversations. All of these operations can be performed by the app without a signed-in user.",Allows the app to create groups and read all group properties and memberships on behalf of the signed-in user.  Additionally allows group owners to manage their groups and allows group members to update group content.,Yes,Yes,yes
GroupMember.Read.All,98830695-27a2-44f7-8c18-0c3ebc9698f6,bc024368-1153-4739-b217-4326f2e966d0,Read all group memberships,Read group memberships,Allows the app to read memberships and basic group properties for all groups without a signed-in user.,"Allows the app to list groups, read basic group properties and read membership of all groups the signed-in user has access to.",Yes,Yes,no
GroupMember.ReadWrite.All,dbaae8cf-10b5-4b86-a4a1-f871c94c6695,f81125ac-d3b7-4573-a3b2-7099cc39df9e,Read and write all group memberships,Read and write group memberships,"Allows the app to list groups, read basic properties, read and update the membership of the groups this app has access to without a signed-in user. Group properties and owners cannot be updated and groups cannot be deleted.","Allows the app to list groups, read basic properties, read and update the membership of the groups the signed-in user has access to. Group properties and owners cannot be updated and groups cannot be deleted.",Yes,Yes,no
HealthMonitoringAlert.Read.All,5183ed5d-b7f8-4e9a-915e-dafb46b9cb62,74b4ff32-4917-4536-a66d-38a4861e6220,Read all scenario health monitoring alert,Read all scenario health monitoring alerts,"Allows the app to read all scenario health monitoring alerts, without a signed-in user.",Allows the app to read all scenario health monitoring alerts,Yes,Yes,no
HealthMonitoringAlert.ReadWrite.All,ac29eb50-f2f9-4518-a117-4bef18e84c7d,b7c60f27-2195-4d5f-96a7-6b98bdfd9664,Read and write all scenario monitoring alerts,Read and write all scenario monitoring alerts,"Allows the app to read and write all scenario monitoring alerts, without a signed-in user.","Allows the app to read and write all scenario monitoring alerts, on behalf of the signed-in user.",Yes,Yes,no
HealthMonitoringAlertConfig.Read.All,bb424d73-e898-4c97-9d42-688c32810003,fb873030-8626-47e6-96ff-8a5bff3b725f,Read all scenario health monitoring alert configurations,Read all scenario health monitoring alert configurations,"Allows the app to read all scenario health monitoring alert configurations, without a signed-in user.",Allows the app to read all scenario health monitoring alert configurations,Yes,Yes,no
HealthMonitoringAlertConfig.ReadWrite.All,432e76f0-8af6-4315-a853-66ab9538f480,b3e5ebc6-1c23-4337-8286-3f27165addb4,Read and write all scenario monitoring alerts,Read and write all scenario monitoring alert configurations.,"Allows the app to read and write all scenario monitoring alerts, without a signed-in user.","Allows the app to read and write all scenario monitoring alert configurations, on behalf of the signed-in user.",Yes,Yes,no
