permission_name,application_id,delegated_id,application_text,delegated_text,application_description,delegated_description,application_AdminConsentRequired,delegated_AdminConsentRequired,metadata_is_critical
Bookings.Manage.All,-,7f36b48e-542f-4d3b-9bcb-8406f0ab9fdb,-,Manage bookings information,-,"Allows an app to read, write and manage bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.",-,No,no
Bookings.Read.All,6e98f277-b046-4193-a4f2-6bf6a78cd491,33b1df99-4b29-4548-9339-7a7b83eaeebc,Read all Bookings related resources.,Read bookings information,"Allows an app to read Bookings appointments, businesses, customers, services, and staff without a signed-in user.","Allows an app to read bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user.",Yes,No,no
Bookings.ReadWrite.All,-,948eb538-f19d-4ec5-9ccc-f059e1ea4c72,-,Read and write bookings information,-,"Allows an app to read and write bookings appointments, businesses, customers, services, and staff on behalf of the signed-in user. Does not allow create, delete and publish of booking businesses.",-,No,no
BookingsAppointment.ReadWrite.All,9769393e-5a9f-4302-9e3d-7e018ecb64a7,02a5a114-36a6-46ff-a102-954d89d9ab02,Read and write all Bookings related resources.,Read and write booking appointments,"Allows an app to read and write Bookings appointments and customers, and additionally allows reading businesses, services, and staff without a signed-in user.","Allows an app to read and write bookings appointments and customers, and additionally allows read businesses information, services, and staff on behalf of the signed-in user.",Yes,No,no
Bookmark.Read.All,be95e614-8ef3-49eb-8464-1c9503433b86,98b17b35-f3b1-4849-a85f-9f13733002f0,Read all bookmarks,Read all bookmarks that the user can access,Allows an app to read all bookmarks without a signed-in user.,Allows an app to read all bookmarks that the signed-in user can access.,Yes,No,no
BrowserSiteLists.Read.All,c5ee1f21-fc7f-4937-9af0-c91648ff9597,fb9be2b7-a7fc-4182-aec1-eda4597c43d5,Read all browser site lists for your organization,Read browser site lists for your organization,"Allows an app to read all browser site lists configured for your organization, without a signed-in user.","Allows an app to read the browser site lists configured for your organization, on behalf of the signed-in user.",Yes,No,no
BrowserSiteLists.ReadWrite.All,8349ca94-3061-44d5-9bfb-33774ea5e4f9,83b34c85-95bf-497b-a04e-b58eca9d49d0,Read and write all browser site lists for your organization,Read and write browser site lists for your organization,"Allows an app to read and write all browser site lists configured for your organization, without a signed-in user.","Allows an app to read and write the browser site lists configured for your organization, on behalf of the signed-in user.",Yes,No,no
BusinessScenarioConfig.Read.All,-,d16480b2-e469-4118-846b-d3d177327bee,-,Read business scenario configurations,-,"Allows the app to read the configurations of your organization's business scenarios, on behalf of the signed-in user.",-,Yes,no
BusinessScenarioConfig.Read.OwnedBy,acc0fc4d-2cd6-4194-8700-1768d8423d86,c47e7b6e-d6f1-4be9-9ffd-1e00f3e32892,Read all business scenario configurations this app creates or owns,Read business scenario configurations this app creates or owns,"Allows the app to read the configurations of business scenarios it owns, without a signed-in user.","Allows the app to read the configurations of business scenarios it owns, on behalf of the signed-in user.",Yes,Yes,no
BusinessScenarioConfig.ReadWrite.All,-,755e785b-b658-446f-bb22-5a46abd029ea,-,Read and write business scenario configurations,-,"Allows the app to read and write the configurations of your organization's business scenarios, on behalf of the signed-in user.",-,Yes,no
