tld,dest_nt_domain,metadata_link
az,*.az,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
azure,*.azure,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
ba,*.ba,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
baby,*.baby,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
baidu,*.baidu,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
banamex,*.banamex,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
band,*.band,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bank,*.bank,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bar,*.bar,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
barcelona,*.barcelona,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
barclaycard,*.barclaycard,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
barclays,*.barclays,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
barefoot,*.barefoot,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bargains,*.bargains,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
baseball,*.baseball,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
basketball,*.basketball,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bauhaus,*.bauhaus,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bayern,*.bayern,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bb,*.bb,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bbc,*.bbc,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bbt,*.bbt,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bbva,*.bbva,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bcg,*.bcg,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bcn,*.bcn,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bd,*.bd,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
be,*.be,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
beats,*.beats,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
beauty,*.beauty,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
beer,*.beer,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
berlin,*.berlin,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
best,*.best,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bestbuy,*.bestbuy,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bet,*.bet,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bf,*.bf,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bg,*.bg,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bh,*.bh,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bharti,*.bharti,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bi,*.bi,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bible,*.bible,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bid,*.bid,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bike,*.bike,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bing,*.bing,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bingo,*.bingo,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bio,*.bio,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
biz,*.biz,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bj,*.bj,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
black,*.black,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
blackfriday,*.blackfriday,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
blockbuster,*.blockbuster,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
blog,*.blog,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bloomberg,*.bloomberg,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
blue,*.blue,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bm,*.bm,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bms,*.bms,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
bmw,*.bmw,https://data.iana.org/TLD/tlds-alpha-by-domain.txt
