metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1776441397.9836,elite,831.45783669803,1765047876.2983,AS31898 Oracle Corporation,ORACLE-BMC-31898,Paris,Europe,EU,France,FR,,True,Oracle Corporation,48.8558,2.3494,False,Oracle Corporation,True,Île-de-France,success,Europe/Paris,75001,1775935757,1776442587.4096,80,http,141.253.118.174:80,False,39.5827293396,159609,79026,66.884153623735,141.253.118.174
True,1776442504.8838,transparent,5652.3374695222,1767392507.4218,"AS262916 Mega Cable, S.A. de C.V.","Mega Cable, S.A. de C.V.",Apodaca,North America,,Mexico,MX,,False,"Mega Cable, S.A. de C.V.",25.7718,-100.2489,False,"Mega Cable, S.A. de C.V",False,Nuevo León,success,America/Monterrey,66634,1775860312,1776442586.9342,999,http,177.229.218.54:999,False,3439.4543170929,21613,198510,9.818601418298,177.229.218.54
True,1776442586.9309,elite,4804.2275942816,1734076394.7567,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Seoul,Asia,AS,South Korea,KR,,True,"Alibaba (US) Technology Co., Ltd.",37.5658,126.978,False,Alibaba.com Singapore E-Commerce Private Limited,True,Seoul,success,Asia/Seoul,04524,1776366624,1776442586.9309,11443,http,8.220.205.172:11443,False,2957.2734832764,4037,408104,0.97951914514693,8.220.205.172
True,1776442586.2868,elite,16938.974093168,1776125511.8174,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,North America,,United States,US,,True,Alibaba Cloud LLC,37.4316,-78.6569,False,Alibaba Cloud - US,True,Virginia,success,America/New_York,22902,1776120587,1776442586.2868,8081,socks5,47.252.11.233:8081,True,7758.5229873657,39,200,16.317991631799,47.252.11.233
True,1776442586.2384,elite,1893.6244848137,1776087868.9197,AS400618 Prime Security Corp.,PRIME-SEC,Hong Kong,Asia,AS,Hong Kong,HK,,False,Prime Security Corp.,22.3186,114.18,False,Prime Security Corp,True,Kowloon,success,Asia/Hong_Kong,999077,1776084112,1776442586.2384,10001,socks5,172.81.111.156:10001,True,800.73356628418,217,140,60.78431372549,172.81.111.156
True,1776442464.6939,elite,1562.258439979,1696987209.4257,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Spring Valley,North America,,United States,US,,False,Cox Communications Inc.,32.7258,-116.9933,False,Cox Communications,True,California,success,America/Los_Angeles,91977,1776211663,1776442586.2061,4145,socks4,24.249.199.12:4145,True,8091.7015075684,215167,765734,21.935648959477,24.249.199.12
True,1776415821.5184,elite,862.16477716031,1765085077.2083,AS8075 Microsoft Corporation,MICROSOFT-CORP-MSN-AS-BLOCK,Tokyo,Asia,AS,Japan,JP,,True,Microsoft Corporation,35.68,139.77,False,Microsoft Azure Cloud (japaneast),True,Tokyo,success,Asia/Tokyo,152-8503,1775972314,1776442585.7771,80,http,48.210.225.96:80,False,749.68791007996,230971,8986,96.25516238326,48.210.225.96
True,1776442585.7112,elite,18350.575758486,1776082187.2872,AS58224 Iran Telecommunication Company PJS,TCI,Tehran,Asia,AS,Iran,IR,District 6,False,Iran Telecommunication Company PJS,35.7373,51.4156,False,Iran Information Technology Company PJSC,False,Tehran,success,Asia/Tehran,,1776082192,1776442585.7112,1080,socks5,217.219.217.143:1080,True,8344.9084758759,49,278,14.984709480122,217.219.217.143
True,1776442585.5623,elite,5809.018335642,1720110545.2209,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,"Alibaba (US) Technology Co., Ltd.",1.35208,103.82,False,Alibaba Cloud LLC,True,North West,success,Asia/Singapore,858877,1776096084,1776442585.5623,8081,socks4,47.237.2.245:8081,True,10488.407850266,3597,328958,1.0816255957661,47.237.2.245
True,1776441615.8972,elite,808.82647106854,1710541373.1267,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Charlottesville,North America,,United States,US,,True,Alibaba.com LLC,37.4316,-78.6569,False,ALICLOUD-US,True,Virginia,success,America/New_York,22902,1776156332,1776442585.4003,3128,http,47.89.184.18:3128,False,417.02485084534,611033,160182,79.229916430567,47.89.184.18
True,1776442466.2632,elite,12647.254633032,1711059399.2185,AS31898 Oracle Corporation,ORACLE-BMC-31898,Seoul,Asia,AS,South Korea,KR,,True,Oracle Corporation,37.5985,126.9783,False,Oracle Cloud Infrastructure (ap-seoul-1),True,Seoul,success,Asia/Seoul,02878,1776398530,1776442585.2341,19422,socks4,146.56.191.98:19422,True,12520.483732224,4842,433178,1.1054289758459,146.56.191.98
True,1776442584.995,elite,12418.139338493,1776156115.6736,AS16276 OVH SAS,OVH,Strasbourg,Europe,EU,France,FR,,True,OVH SAS,48.5734,7.75211,False,OVH,True,Grand Est,success,Europe/Paris,67000,1776151541,1776442584.995,5297,socks5,145.239.197.118:5297,True,11352.338552475,6,153,3.7735849056604,145.239.197.118
True,1776442584.9067,elite,14407.911986113,1757384977.6797,AS3320 Deutsche Telekom AG,DTAG,Amsterdam,Europe,EU,The Netherlands,NL,,False,Cogent Communications,52.3759,4.8975,False,"Rackdog, LLC",True,North Holland,success,Europe/Amsterdam,1012,1776131616,1776442584.9067,5185,socks5,149.51.0.80:5185,True,3206.5224647522,8,65777,0.012160826936232,149.51.0.80
True,1776442584.8054,elite,1731.196263932,1776079429.879,AS46562 Performive LLC,PERFORMIVE,Los Angeles,North America,,United States,US,,True,Performive LLC,34.0549,-118.243,False,Performive LLC,True,California,success,America/Los_Angeles,90009,1776078148,1776442584.8054,4145,socks4,142.54.237.38:4145,True,860.42761802673,5632,1094,83.73476063039,142.54.237.38
True,1776442584.8054,elite,3908.5007458071,1738077859.9257,AS4134 CHINANET-BACKBONE,CHINANET-BACKBONE,Deyang,Asia,AS,China,CN,,False,Chinanet,31.1268,104.398,False,Chinanet SC,True,Sichuan,success,Asia/Shanghai,618000,1776214375,1776442584.8054,9002,http,222.213.85.99:9002,False,1416.7850017548,194858,309611,38.626357615631,222.213.85.99
True,1776442584.4795,elite,4746.399786974,1734076521.464,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Seoul,Asia,AS,South Korea,KR,,True,"Alibaba (US) Technology Co., Ltd.",37.5658,126.978,False,Alibaba.com Singapore E-Commerce Private Limited,True,Seoul,success,Asia/Seoul,04524,1776365592,1776442584.4795,9020,http,8.220.205.172:9020,False,2623.2018470764,3917,407766,0.95146022546474,8.220.205.172
True,1776442583.231,elite,18585.442794694,1766849844.09,AS136907 HUAWEI CLOUDS,HWCLOUDS-AS-AP,Singapore,Asia,AS,Singapore,SG,Central Water Catchment,True,Huawei International Pte. LTD,1.352,103.8198,False,,True,North West,success,Asia/Singapore,858877,1776182276,1776442583.231,44417,socks5,111.119.224.96:44417,True,2109.0219020844,36,20425,0.17594447974195,111.119.224.96
True,1776442582.8112,transparent,5521.6280042572,1763416574.115,AS138089 PT.Global Media Data Prima,GMDP-AS-ID,Batang,Asia,AS,Indonesia,ID,,False,PT Global Media Data Prima,-6.4823,110.7086,False,,False,Central Java,success,Asia/Jakarta,51262,1776271652,1776442582.8112,8181,http,103.131.19.42:8181,False,3544.1992282867,2479,18841,11.627579737336,103.131.19.42
True,1776437863.4961,elite,1511.7873366516,1776084844.7541,AS46562 Performive LLC,PERFORMIVE,Beverly Hills,North America,,United States,US,,True,Performive LLC,34.0624,-118.384,False,ZeroLag Communications,True,California,success,America/Los_Angeles,90211,1776083903,1776442582.7347,4145,socks5,68.71.243.14:4145,True,998.06499481201,505,67,88.286713286713,68.71.243.14
True,1776442088.4415,anonymous,814.7140343984,1776442088.4415,"AS2514 NTT PC Communications, Inc.",INFOSPHERE,Toshima City,Asia,AS,Japan,JP,,False,INTERLINK,35.7284,139.721,False,"INTERLINK Co., LTD.",False,Tokyo,success,Asia/Tokyo,289-2614,1776439833,1776442582.5579,26021,http,116.58.161.203:26021,False,877.12955474854,9,0,100.0,116.58.161.203
True,1776442282.0948,elite,3855.0402188856,1766259978.758,"AS137718 Beijing Volcano Engine Technology Co., Ltd.",VOLCANO-ENGINE,Beijing,Asia,AS,China,CN,,False,GWBN-WUHAN's IP,39.9042,116.407,False,,True,Beijing,success,Asia/Shanghai,100000,1775937724,1776442582.3586,7897,http,115.190.91.223:7897,False,2323.5154151917,67926,146135,31.732076370754,115.190.91.223
True,1776442459.7183,transparent,6381.3369471636,1730713631.1977,AS42908 ORIGINAL AS CZ-NORDICTELECOMREGIONAL,CZ-NORDICTELECOMREGIONAL,Šebetov,Europe,EU,Czechia,CZ,,False,"O2 Czech Republic, a.s.",49.5487,16.7223,False,Nordictelecomregional,True,South Moravian,success,Europe/Prague,679 35,1776270553,1776442582.2903,8888,http,185.82.238.42:8888,False,5524.4982242584,19606,242626,7.4765856188413,185.82.238.42
True,1776442581.4715,elite,5179.4712639249,1710573640.5272,AS24207 PT NettoCyber Indonesia,EXPRESSNET-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,False,PT NettoCyber Indonesia,-6.2257,106.8268,False,,True,Jakarta,success,Asia/Jakarta,12950,1776044647,1776442581.4715,52667,socks4,222.165.234.147:52667,True,16208.524703979,14045,627749,2.1883968999399,222.165.234.147
True,1776442581.3783,elite,3809.461581959,1772292197.6847,AS210457 Kyonix Networks Limited,KYONIX,Frankfurt am Main,Europe,EU,Germany,DE,,False,Kyonix Networks Limited,50.1103,8.7147,False,Kyonix Hosting Network,True,Hesse,success,Europe/Berlin,60314,1775922320,1776442581.3783,21064,http,144.31.25.69:21064,False,1196.5715885162,21479,102563,17.315909127554,144.31.25.69
True,1776442581.3171,elite,19201.466113329,1760043403.1436,AS36666 GloboTech Communications,GTCOMM,Montreal,North America,,Canada,CA,Côte-Des-Neiges—Notre-Dame-De-Grâce,True,GloboTech Communications,45.5083,-73.6355,False,,True,Quebec,success,America/Toronto,H4X,1776437338,1776442581.3171,5471,socks5,72.10.160.91:5471,True,13065.79375267,32,33153,0.096429109537442,72.10.160.91
True,1776438897.3844,elite,2962.2564397986,1766742140.9301,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,True,DIGITALOCEAN,1.32123,103.695,False,"DigitalOcean, LLC",True,South West,success,Asia/Singapore,627753,1776423896,1776442581.2029,80,http,139.59.103.183:80,False,770.63369750977,111851,115847,49.122521936952,139.59.103.183
True,1776442580.9423,transparent,5997.8467923801,1742879325.3409,AS45899 VNPT Corp,VNPT-AS-VN,Hanoi,Asia,AS,Vietnam,VN,,False,VNPT,21.0184,105.8461,False,Vietnam Posts and Telecommunications Group,True,Hanoi,success,Asia/Bangkok,100000,1776156579,1776442580.9423,8080,http,14.248.84.131:8080,False,4835.3955745697,38868,401930,8.8176443631777,14.248.84.131
