extension_id,publisher_id,extension_name,metadata_comment,metadata_severity,metadata_category,metadata_source,metadata_reference,metadata_status,removal_date,source_reason,last_updated_utc,merged_sources
ab-498.pythonformat,ab-498,pythonformat,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-24,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ahban.cychelloworld,ahban,cychelloworld,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-03-13,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ahban.shiba,ahban,shiba,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-03-13,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ahbanC.shiba,ahbanC,shiba,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-26,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AhmedCrypto.ahmedcrypto1,AhmedCrypto,ahmedcrypto1,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-07-04,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AhmedSleem.secure-code,AhmedSleem,secure-code,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-16,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AhmedSlem.secure-codee,AhmedSlem,secure-codee,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-01-31,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
aligntool.extension-align-professional-tool,aligntool,extension-align-professional-tool,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
AllenBarry.Solid,AllenBarry,Solid,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-13,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AmsTaFFix.daemonic-lua-api,AmsTaFFix,daemonic-lua-api,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
angular-studio.ng-angular-extension,angular-studio,ng-angular-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
annacode.pt-lab-simproc,annacode,pt-lab-simproc,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-11-03,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ANZ-BANK.vscode-sysl,ANZ-BANK,vscode-sysl,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-01-05,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
archchainturn.twinny-ai-assist,archchainturn,twinny-ai-assist,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
AshleyHornja.prettierformattingplus,AshleyHornja,prettierformattingplus,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-28,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
automated1ogic.automated1ogic,automated1ogic,automated1ogic,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-26,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
automatedlogic.automatedlogic,automatedlogic,automatedlogic,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-26,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
AutoMind.automindX,AutoMind,automindX,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-22,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
awesome-codebase.codebase-dart-pro,awesome-codebase,codebase-dart-pro,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
awesomeco.wonder-for-vscode-icons,awesomeco,wonder-for-vscode-icons,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
beisen.codecake,beisen,codecake,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-03,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BenjaminFriedl.lexica-img-fix,BenjaminFriedl,lexica-img-fix,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-20,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
better-sollidity.sollidity-plus,better-sollidity,sollidity-plus,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-17,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
bhbpbarn.vsce-python-indent-extension,bhbpbarn,vsce-python-indent-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
BigBlack.bitcoin-black,BigBlack,bitcoin-black,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-05,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BigBlack.codo-ai,BigBlack,codo-ai,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-08,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BigBlack.mrbigblacktheme,BigBlack,mrbigblacktheme,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-08,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
blackforest.blackforest-1234,blackforest,blackforest-1234,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-04-15,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BlockchainIndustries.bitcoin-toolkit,BlockchainIndustries,bitcoin-toolkit,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-12,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BlockchainIndustries.blockchain-toolkit,BlockchainIndustries,blockchain-toolkit,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-12,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BlockchainIndustries.hardhat-toolkit,BlockchainIndustries,hardhat-toolkit,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-12,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BlockchainIndustries.solana-toolkit,BlockchainIndustries,solana-toolkit,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-12,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
BlockchainWEB3.blankebestxstnion,BlockchainWEB3,blankebestxstnion,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-12,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
blockstoks.easily-gitignore-manage,blockstoks,easily-gitignore-manage,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
bogigigigigity.etherefound,bogigigigigity,etherefound,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-08-09,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
boulderzitunnel.vscode-buddies,boulderzitunnel,vscode-buddies,confirmed malicious - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
bphpburnsus.iconesvscode,bphpburnsus,iconesvscode,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
brategmaqendaalar-studio.pro-prettyxml-formatter,brategmaqendaalar-studio,pro-prettyxml-formatter,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
breluven.html-smart-suite,breluven,html-smart-suite,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
brenaven.cursor-rich-helper,brenaven,cursor-rich-helper,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
brixmundo.eca-easy-tool,brixmundo,eca-easy-tool,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
brixovik.es7-quick-hub,brixovik,es7-quick-hub,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
bug-author.shadure,bug-author,shadure,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-11,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
carveltstone.chatbuddy-auto-suite,carveltstone,chatbuddy-auto-suite,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
Cencurity.cencurity-connector,Cencurity,cencurity-connector,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-03-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
ceo.sammarco,ceo,sammarco,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-02-26,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
CharlesHoskinson.lfamnw1,CharlesHoskinson,lfamnw1,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-29,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
checkmarx.ast-results,checkmarx,ast-results,compromised - Malicious Checkmarx Artifacts Found in Official KICS Docker Repository and Code Extensions,critical,malware,static_list,https://socket.dev/blog/checkmarx-supply-chain-compromise,listed_static,,,2026-05-06T13:57:50+00:00,static_list
checkmarx.cx-dev-assist,checkmarx,cx-dev-assist,compromised - Malicious Checkmarx Artifacts Found in Official KICS Docker Repository and Code Extensions,critical,malware,static_list,https://socket.dev/blog/checkmarx-supply-chain-compromise,listed_static,,,2026-05-06T13:57:50+00:00,static_list
chvancooten.code-needle,chvancooten,code-needle,offensive security tool - covert HTTP JSON-RPC code execution backdoor for VS Code with full Node.js privileges,critical,malware,static_list,https://github.com/chvancooten/code-needle,listed_static,,,2026-05-06T13:57:50+00:00,static_list
clacla100.claudemem,clacla100,claudemem,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
clacla100.cosave100,clacla100,cosave100,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
clawdbot.clawdbot-agent,clawdbot,clawdbot-agent,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-01-27,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
clicli100.openclaw100,clicli100,openclaw100,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
clicli100.windsurf100,clicli100,windsurf100,Removed from VS Marketplace: malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cline-ai-main.cline-ai-agent,cline-ai-main,cline-ai-agent,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-10-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
closedtierenchant.vscode-awesome-icons,closedtierenchant,vscode-awesome-icons,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
CloudianApp.CloudianCompanion-56d02aa8da72,CloudianApp,CloudianCompanion-56d02aa8da72,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-11-07,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cobot100.cosave101,cobot100,cosave101,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cobot100.cursor100,cobot100,cursor100,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cobot100.kilobrasil,cobot100,kilobrasil,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cobot100.kilochinese,cobot100,kilochinese,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cobot100.kilojapan,cobot100,kilojapan,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
codbroks.compile-runnner-extension,codbroks,compile-runnner-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
CodeSecureDev.dependency-scan,CodeSecureDev,dependency-scan,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-04-18,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
codevunmis.csv-sql-tsv-rainbow,codevunmis,csv-sql-tsv-rainbow,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
codwayexten.code-way-extension,codwayexten,code-way-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
cosmic-themes.sql-formatter,cosmic-themes,sql-formatter,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
cosmic-themes.theme-cosmic-nebula,cosmic-themes,theme-cosmic-nebula,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2026-02-04,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
countrepresent49.code-image-preview,countrepresent49,code-image-preview,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
craz2team.vscode-todo-extension,craz2team,vscode-todo-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
crotoapp.vscode-xml-extension,crotoapp,vscode-xml-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
Crypto-Extensions.SnowShsoNo,Crypto-Extensions,SnowShsoNo,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-10,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
Cryptocurrency.asbaquin,Cryptocurrency,asbaquin,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-07-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
CryptoCurrencyExtensions.blehai,CryptoCurrencyExtensions,blehai,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-20,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
CryptoFoundation.BlehBleh,CryptoFoundation,BlehBleh,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-09-19,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
CryptoPublisher.aidebut,CryptoPublisher,aidebut,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-07-09,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
CSF-RED.CSF-RED,CSF-RED,CSF-RED,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-06-05,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
csvmech.csvrainbow,csvmech,csvrainbow,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cubedivervolt.html-code-validate,cubedivervolt,html-code-validate,confirmed malicious - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
cudra-production.vsce-prettier-pro,cudra-production,vsce-prettier-pro,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
culvequeaka.Descargar-TRAIN-CREW-Prologue-gratuita-2022,culvequeaka,Descargar-TRAIN-CREW-Prologue-gratuita-2022,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-11-27,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
cweijamysq.sync-settings-vscode,cweijamysq,sync-settings-vscode,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-02,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
daeumer-web.es-linter-for-vs-code,daeumer-web,es-linter-for-vs-code,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
dafsfsdsfdfsdf11.randomic-slaying-pog,dafsfsdsfdfsdf11,randomic-slaying-pog,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-07-21,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
dalsoven.intellij-live-pilot,dalsoven,intellij-live-pilot,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
dalsovik.dbclient-quick-suite,dalsovik,dbclient-quick-suite,sleeper extension - glassworm supply chain,critical,malware,static_list,https://socket.dev/blog/73-open-vsx-sleeper-extensions-glassworm,listed_static,,,2026-05-06T13:57:50+00:00,static_list
DanielBlockchain.chocosnack,DanielBlockchain,chocosnack,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-16,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
dark-code-studio.flutter-extension,dark-code-studio,flutter-extension,compromised - glassworm supply chain attack,critical,malware,static_list,https://socket.dev/blog/open-vsx-transitive-glassworm-campaign,listed_static,,,2026-05-06T13:57:50+00:00,static_list
Dart-vsc.code-dart,Dart-vsc,code-dart,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-12-03,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
DaveWeb3.choccie,DaveWeb3,choccie,Removed from VS Marketplace: Malware.,critical,malware,microsoft_removed_packages,https://github.com/microsoft/vsmarketplace/blob/main/RemovedPackages.md,removed_marketplace,2025-05-16,Malware,2026-05-06T13:57:50+00:00,microsoft_removed_packages
