role,arn,metadata_is_privileged,metadata_comment
"AmazonKinesisAnalyticsReadOnly","arn:aws:iam::aws:policy/AmazonKinesisAnalyticsReadOnly",,
"AmazonMobileAnalyticsFullAccess","arn:aws:iam::aws:policy/AmazonMobileAnalyticsFullAccess",,
"AWSMobileHub_FullAccess","arn:aws:iam::aws:policy/AWSMobileHub_FullAccess",,
"AmazonAPIGatewayPushToCloudWatchLogs","arn:aws:iam::aws:policy/service-role/AmazonAPIGatewayPushToCloudWatchLogs",,
"AWSDataPipelineRole","arn:aws:iam::aws:policy/service-role/AWSDataPipelineRole",,
"CloudWatchFullAccess","arn:aws:iam::aws:policy/CloudWatchFullAccess",,
"AmazonMQApiReadOnlyAccess","arn:aws:iam::aws:policy/AmazonMQApiReadOnlyAccess",,
"AWSDeepLensLambdaFunctionAccessPolicy","arn:aws:iam::aws:policy/AWSDeepLensLambdaFunctionAccessPolicy",,
"AmazonGuardDutyFullAccess","arn:aws:iam::aws:policy/AmazonGuardDutyFullAccess",,
"AmazonRDSDirectoryServiceAccess","arn:aws:iam::aws:policy/service-role/AmazonRDSDirectoryServiceAccess",,
"AWSCodePipelineReadOnlyAccess","arn:aws:iam::aws:policy/AWSCodePipelineReadOnlyAccess",,
"AWSAppSyncInvokeFullAccess","arn:aws:iam::aws:policy/AWSAppSyncInvokeFullAccess",,
"AmazonMachineLearningBatchPredictionsAccess","arn:aws:iam::aws:policy/AmazonMachineLearningBatchPredictionsAccess",,
"AWSIoTSiteWiseFullAccess","arn:aws:iam::aws:policy/AWSIoTSiteWiseFullAccess",,
"AlexaForBusinessFullAccess","arn:aws:iam::aws:policy/AlexaForBusinessFullAccess",,
"AWSEC2SpotFleetServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSEC2SpotFleetServiceRolePolicy",,
"AmazonRekognitionReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRekognitionReadOnlyAccess",,
"AWSCodeDeployReadOnlyAccess","arn:aws:iam::aws:policy/AWSCodeDeployReadOnlyAccess",,
"CloudSearchFullAccess","arn:aws:iam::aws:policy/CloudSearchFullAccess",,
"AWSLicenseManagerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSLicenseManagerServiceRolePolicy",,
"AWSCloudHSMFullAccess","arn:aws:iam::aws:policy/AWSCloudHSMFullAccess",,
"AmazonEC2SpotFleetAutoscaleRole","arn:aws:iam::aws:policy/service-role/AmazonEC2SpotFleetAutoscaleRole",,
"AWSElasticLoadBalancingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingServiceRolePolicy",,
"AWSCodeBuildDeveloperAccess","arn:aws:iam::aws:policy/AWSCodeBuildDeveloperAccess",,
"ElastiCacheServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/ElastiCacheServiceRolePolicy",,
"AWSGlueServiceNotebookRole","arn:aws:iam::aws:policy/service-role/AWSGlueServiceNotebookRole",,
"AWSDataPipeline_PowerUser","arn:aws:iam::aws:policy/AWSDataPipeline_PowerUser",,
"AWSCodeStarServiceRole","arn:aws:iam::aws:policy/service-role/AWSCodeStarServiceRole",,
"AmazonTranscribeFullAccess","arn:aws:iam::aws:policy/AmazonTranscribeFullAccess",,
"AWSDirectoryServiceFullAccess","arn:aws:iam::aws:policy/AWSDirectoryServiceFullAccess",,
"AmazonFreeRTOSOTAUpdate","arn:aws:iam::aws:policy/service-role/AmazonFreeRTOSOTAUpdate",,
"AmazonWorkLinkServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonWorkLinkServiceRolePolicy",,
"AmazonDynamoDBFullAccess","arn:aws:iam::aws:policy/AmazonDynamoDBFullAccess",,
"AmazonSESReadOnlyAccess","arn:aws:iam::aws:policy/AmazonSESReadOnlyAccess",,
"AmazonRedshiftQueryEditor","arn:aws:iam::aws:policy/AmazonRedshiftQueryEditor",,
"AWSWAFReadOnlyAccess","arn:aws:iam::aws:policy/AWSWAFReadOnlyAccess",,
"AutoScalingNotificationAccessRole","arn:aws:iam::aws:policy/service-role/AutoScalingNotificationAccessRole",,
"AmazonMechanicalTurkReadOnly","arn:aws:iam::aws:policy/AmazonMechanicalTurkReadOnly",,
"AmazonKinesisReadOnlyAccess","arn:aws:iam::aws:policy/AmazonKinesisReadOnlyAccess",,
"AWSXRayDaemonWriteAccess","arn:aws:iam::aws:policy/AWSXRayDaemonWriteAccess",,
"AWSCloudMapReadOnlyAccess","arn:aws:iam::aws:policy/AWSCloudMapReadOnlyAccess",,
"AWSCloudFrontLogger","arn:aws:iam::aws:policy/aws-service-role/AWSCloudFrontLogger",,
"AWSCodeDeployFullAccess","arn:aws:iam::aws:policy/AWSCodeDeployFullAccess",,
"AWSBackupServiceRolePolicyForBackup","arn:aws:iam::aws:policy/service-role/AWSBackupServiceRolePolicyForBackup",,
"AWSRoboMakerServiceRolePolicy","arn:aws:iam::aws:policy/AWSRoboMakerServiceRolePolicy",,
"CloudWatchActionsEC2Access","arn:aws:iam::aws:policy/CloudWatchActionsEC2Access",,
"AWSLambdaDynamoDBExecutionRole","arn:aws:iam::aws:policy/service-role/AWSLambdaDynamoDBExecutionRole",,
"AmazonRoute53DomainsFullAccess","arn:aws:iam::aws:policy/AmazonRoute53DomainsFullAccess",,
"AmazonElastiCacheReadOnlyAccess","arn:aws:iam::aws:policy/AmazonElastiCacheReadOnlyAccess",,
"AmazonRDSServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonRDSServiceRolePolicy",,
"AmazonAthenaFullAccess","arn:aws:iam::aws:policy/AmazonAthenaFullAccess",,
"AmazonElasticFileSystemReadOnlyAccess","arn:aws:iam::aws:policy/AmazonElasticFileSystemReadOnlyAccess",,
"AWSCloudMapDiscoverInstanceAccess","arn:aws:iam::aws:policy/AWSCloudMapDiscoverInstanceAccess",,
"CloudFrontFullAccess","arn:aws:iam::aws:policy/CloudFrontFullAccess",,
"AmazonConnectFullAccess","arn:aws:iam::aws:policy/AmazonConnectFullAccess",,
"AWSCloud9Administrator","arn:aws:iam::aws:policy/AWSCloud9Administrator",,
"AWSApplicationAutoscalingEMRInstanceGroupPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingEMRInstanceGroupPolicy",,
"AmazonTextractFullAccess","arn:aws:iam::aws:policy/AmazonTextractFullAccess",,
"AWSOrganizationsServiceTrustPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSOrganizationsServiceTrustPolicy",,
"AmazonDocDBFullAccess","arn:aws:iam::aws:policy/AmazonDocDBFullAccess",,
"AmazonMobileAnalyticsNonfinancialReportAccess","arn:aws:iam::aws:policy/AmazonMobileAnalyticsNon-financialReportAccess",,
"AWSCloudTrailFullAccess","arn:aws:iam::aws:policy/AWSCloudTrailFullAccess",,
"AmazonCognitoDeveloperAuthenticatedIdentities","arn:aws:iam::aws:policy/AmazonCognitoDeveloperAuthenticatedIdentities",,
"AWSConfigRole","arn:aws:iam::aws:policy/service-role/AWSConfigRole",,
"AWSSSOMemberAccountAdministrator","arn:aws:iam::aws:policy/AWSSSOMemberAccountAdministrator",,
"AWSApplicationAutoscalingAppStreamFleetPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingAppStreamFleetPolicy",,
"AWSCertificateManagerPrivateCAFullAccess","arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAFullAccess",,
"AWSGlueServiceRole","arn:aws:iam::aws:policy/service-role/AWSGlueServiceRole",,
"AmazonAppStreamServiceAccess","arn:aws:iam::aws:policy/service-role/AmazonAppStreamServiceAccess",,
"AmazonRedshiftFullAccess","arn:aws:iam::aws:policy/AmazonRedshiftFullAccess",,
"AWSTransferLoggingAccess","arn:aws:iam::aws:policy/service-role/AWSTransferLoggingAccess",,
"AmazonZocaloReadOnlyAccess","arn:aws:iam::aws:policy/AmazonZocaloReadOnlyAccess",,
"AWSCloudHSMReadOnlyAccess","arn:aws:iam::aws:policy/AWSCloudHSMReadOnlyAccess",,
"ComprehendFullAccess","arn:aws:iam::aws:policy/ComprehendFullAccess",,
"AmazonFSxConsoleFullAccess","arn:aws:iam::aws:policy/AmazonFSxConsoleFullAccess",,
"AmazonEC2ContainerServiceEventsRole","arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceEventsRole",,
"AmazonRoute53ReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRoute53ReadOnlyAccess",,
"AWSMigrationHubDiscoveryAccess","arn:aws:iam::aws:policy/service-role/AWSMigrationHubDiscoveryAccess",,
"AmazonEC2ContainerServiceAutoscaleRole","arn:aws:iam::aws:policy/service-role/AmazonEC2ContainerServiceAutoscaleRole",,
"AWSAppSyncSchemaAuthor","arn:aws:iam::aws:policy/AWSAppSyncSchemaAuthor",,
"AlexaForBusinessDeviceSetup","arn:aws:iam::aws:policy/AlexaForBusinessDeviceSetup",,
"AWSBatchServiceRole","arn:aws:iam::aws:policy/service-role/AWSBatchServiceRole",,
"AWSElasticBeanstalkWebTier","arn:aws:iam::aws:policy/AWSElasticBeanstalkWebTier",,
"AmazonSQSReadOnlyAccess","arn:aws:iam::aws:policy/AmazonSQSReadOnlyAccess",,
"AmazonChimeFullAccess","arn:aws:iam::aws:policy/AmazonChimeFullAccess",,
"AWSDeepRacerRoboMakerAccessPolicy","arn:aws:iam::aws:policy/AWSDeepRacerRoboMakerAccessPolicy",,
"AWSElasticLoadBalancingClassicServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSElasticLoadBalancingClassicServiceRolePolicy",,
"AWSMigrationHubDMSAccess","arn:aws:iam::aws:policy/service-role/AWSMigrationHubDMSAccess",,
"WellArchitectedConsoleReadOnlyAccess","arn:aws:iam::aws:policy/WellArchitectedConsoleReadOnlyAccess",,
"AmazonKinesisFullAccess","arn:aws:iam::aws:policy/AmazonKinesisFullAccess",,
"AmazonGuardDutyReadOnlyAccess","arn:aws:iam::aws:policy/AmazonGuardDutyReadOnlyAccess",,
"AmazonFSxServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonFSxServiceRolePolicy",,
"AmazonECSServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonECSServiceRolePolicy",,
