role,arn,metadata_is_privileged,metadata_comment
"AmazonSageMakerMechanicalTurkAccess","arn:aws:iam::aws:policy/AmazonSageMakerMechanicalTurkAccess",,
"AWSNetworkManagerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSNetworkManagerServiceRolePolicy",,
"AWSAppMeshServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSAppMeshServiceRolePolicy",,
"AWSConfigRemediationServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSConfigRemediationServiceRolePolicy",,
"ConfigConformsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/ConfigConformsServiceRolePolicy",,
"AmazonEventBridgeReadOnlyAccess","arn:aws:iam::aws:policy/AmazonEventBridgeReadOnlyAccess",,
"AWSCodeStarNotificationsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSCodeStarNotificationsServiceRolePolicy",,
"AmazonKendraFullAccess","arn:aws:iam::aws:policy/AmazonKendraFullAccess",,
"AWSSystemsManagerAccountDiscoveryServicePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSSystemsManagerAccountDiscoveryServicePolicy",,
"AWSResourceAccessManagerReadOnlyAccess","arn:aws:iam::aws:policy/AWSResourceAccessManagerReadOnlyAccess",,
"AmazonEventBridgeFullAccess","arn:aws:iam::aws:policy/AmazonEventBridgeFullAccess",,
"CloudWatchSyntheticsReadOnlyAccess","arn:aws:iam::aws:policy/CloudWatchSyntheticsReadOnlyAccess",,
"AccessAnalyzerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AccessAnalyzerServiceRolePolicy",,
"AmazonRoute53ResolverReadOnlyAccess","arn:aws:iam::aws:policy/AmazonRoute53ResolverReadOnlyAccess",,
"AmazonEC2RolePolicyForLaunchWizard","arn:aws:iam::aws:policy/AmazonEC2RolePolicyForLaunchWizard",,
"AmazonManagedBlockchainFullAccess","arn:aws:iam::aws:policy/AmazonManagedBlockchainFullAccess",,
"AWSIoTSiteWiseMonitorServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSIoTSiteWiseMonitorServiceRolePolicy",,
"AWSCloudFormationFullAccess","arn:aws:iam::aws:policy/AWSCloudFormationFullAccess",,
"ElementalAppliancesSoftwareFullAccess","arn:aws:iam::aws:policy/ElementalAppliancesSoftwareFullAccess",,
"AmazonAugmentedAIHumanLoopFullAccess","arn:aws:iam::aws:policy/AmazonAugmentedAIHumanLoopFullAccess",,
"AWSDataExchangeReadOnly","arn:aws:iam::aws:policy/AWSDataExchangeReadOnly",,
"AWSMarketplaceSellerProductsFullAccess","arn:aws:iam::aws:policy/AWSMarketplaceSellerProductsFullAccess",,
"AWSIQContractServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSIQContractServiceRolePolicy",,
"AmazonLaunchWizardFullaccess","arn:aws:iam::aws:policy/AmazonLaunchWizardFullaccess",,
"AmazonWorkDocsReadOnlyAccess","arn:aws:iam::aws:policy/AmazonWorkDocsReadOnlyAccess",,
"AWSGlobalAcceleratorSLRPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSGlobalAcceleratorSLRPolicy",,
"EC2InstanceProfileForImageBuilder","arn:aws:iam::aws:policy/EC2InstanceProfileForImageBuilder",,
"AWSServiceRoleForLogDeliveryPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForLogDeliveryPolicy",,
"AmazonCodeGuruReviewerFullAccess","arn:aws:iam::aws:policy/AmazonCodeGuruReviewerFullAccess",,
"AWSVPCS2SVpnServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSVPCS2SVpnServiceRolePolicy",,
"AWSImageBuilderFullAccess","arn:aws:iam::aws:policy/AWSImageBuilderFullAccess",,
"AWSCertificateManagerPrivateCAPrivilegedUser","arn:aws:iam::aws:policy/AWSCertificateManagerPrivateCAPrivilegedUser",,
"AWSOpsWorksRegisterCLI_OnPremises","arn:aws:iam::aws:policy/AWSOpsWorksRegisterCLI_OnPremises",,
"Health_OrganizationsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/Health_OrganizationsServiceRolePolicy",,
"AmazonMCSReadOnlyAccess","arn:aws:iam::aws:policy/AmazonMCSReadOnlyAccess",,
"AWSAppMeshPreviewServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSAppMeshPreviewServiceRolePolicy",,
"ServiceQuotasServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/ServiceQuotasServiceRolePolicy",,
"ComputeOptimizerReadOnlyAccess","arn:aws:iam::aws:policy/ComputeOptimizerReadOnlyAccess",,
"AlexaForBusinessPolyDelegatedAccessPolicy","arn:aws:iam::aws:policy/AlexaForBusinessPolyDelegatedAccessPolicy",,
"AWSMarketplaceProcurementSystemAdminFullAccess","arn:aws:iam::aws:policy/AWSMarketplaceProcurementSystemAdminFullAccess",,
"AmazonEKSFargatePodExecutionRolePolicy","arn:aws:iam::aws:policy/AmazonEKSFargatePodExecutionRolePolicy",,
"IAMAccessAdvisorReadOnly","arn:aws:iam::aws:policy/IAMAccessAdvisorReadOnly",,
"AmazonCodeGuruReviewerReadOnlyAccess","arn:aws:iam::aws:policy/AmazonCodeGuruReviewerReadOnlyAccess",,
"AmazonCodeGuruProfilerFullAccess","arn:aws:iam::aws:policy/AmazonCodeGuruProfilerFullAccess",,
"AmazonElasticFileSystemServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonElasticFileSystemServiceRolePolicy",,
"AWSIoTDeviceDefenderEnableIoTLoggingMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderEnableIoTLoggingMitigationAction",,
"DynamoDBCloudWatchContributorInsightsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/DynamoDBCloudWatchContributorInsightsServiceRolePolicy",,
"AmazonChimeVoiceConnectorServiceLinkedRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonChimeVoiceConnectorServiceLinkedRolePolicy",,
"IAMAccessAnalyzerReadOnlyAccess","arn:aws:iam::aws:policy/IAMAccessAnalyzerReadOnlyAccess",,
"AmazonEventBridgeSchemasServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonEventBridgeSchemasServiceRolePolicy",,
"AWSIoTDeviceDefenderPublishFindingsToSNSMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderPublishFindingsToSNSMitigationAction",,
"AmazonQLDBConsoleFullAccess","arn:aws:iam::aws:policy/AmazonQLDBConsoleFullAccess",,
"AmazonElasticFileSystemClientReadWriteAccess","arn:aws:iam::aws:policy/AmazonElasticFileSystemClientReadWriteAccess",,
"AWSApplicationAutoscalingComprehendEndpointPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingComprehendEndpointPolicy",,
"AWSIoTDeviceDefenderAddThingsToThingGroupMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderAddThingsToThingGroupMitigationAction",,
"AmazonQLDBFullAccess","arn:aws:iam::aws:policy/AmazonQLDBFullAccess",,
"AmazonAugmentedAIFullAccess","arn:aws:iam::aws:policy/AmazonAugmentedAIFullAccess",,
"AWSIoTDeviceDefenderReplaceDefaultPolicyMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderReplaceDefaultPolicyMitigationAction",,
"AWSAppMeshReadOnly","arn:aws:iam::aws:policy/AWSAppMeshReadOnly",,
"ComputeOptimizerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/ComputeOptimizerServiceRolePolicy",,
"AWSElasticBeanstalkManagedUpdatesServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSElasticBeanstalkManagedUpdatesServiceRolePolicy",,
"AmazonQLDBReadOnly","arn:aws:iam::aws:policy/AmazonQLDBReadOnly",,
"AWSChatbotServiceLinkedRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSChatbotServiceLinkedRolePolicy",,
"AWSAppSyncServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSAppSyncServiceRolePolicy",,
"AWSAppMeshFullAccess","arn:aws:iam::aws:policy/AWSAppMeshFullAccess",,
"AWSServiceRoleForGammaInternalAmazonEKSNodegroup","arn:aws:iam::aws:policy/AWSServiceRoleForGammaInternalAmazonEKSNodegroup",,
"ServiceQuotasReadOnlyAccess","arn:aws:iam::aws:policy/ServiceQuotasReadOnlyAccess",,
"EC2FleetTimeShiftableServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/EC2FleetTimeShiftableServiceRolePolicy",,
"MigrationHubDMSAccessServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/MigrationHubDMSAccessServiceRolePolicy",,
"AWSServiceCatalogEndUserReadOnlyAccess","arn:aws:iam::aws:policy/AWSServiceCatalogEndUserReadOnlyAccess",,
"AWSIQPermissionServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSIQPermissionServiceRolePolicy",,
"AmazonEKSForFargateServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonEKSForFargateServiceRolePolicy",,
"MigrationHubSMSAccessServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/MigrationHubSMSAccessServiceRolePolicy",,
"CloudFormationStackSetsOrgAdminServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudFormationStackSetsOrgAdminServiceRolePolicy",,
"AmazonEventBridgeSchemasFullAccess","arn:aws:iam::aws:policy/AmazonEventBridgeSchemasFullAccess",,
"AWSMarketplaceSellerFullAccess","arn:aws:iam::aws:policy/AWSMarketplaceSellerFullAccess",,
"CloudWatchAutomaticDashboardsAccess","arn:aws:iam::aws:policy/CloudWatchAutomaticDashboardsAccess",,
"AmazonWorkMailEventsServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonWorkMailEventsServiceRolePolicy",,
"AmazonEventBridgeSchemasReadOnlyAccess","arn:aws:iam::aws:policy/AmazonEventBridgeSchemasReadOnlyAccess",,
"AWSMarketplaceSellerProductsReadOnly","arn:aws:iam::aws:policy/AWSMarketplaceSellerProductsReadOnly",,
"AmazonMCSFullAccess","arn:aws:iam::aws:policy/AmazonMCSFullAccess",,
"AWSIoTSiteWiseConsoleFullAccess","arn:aws:iam::aws:policy/AWSIoTSiteWiseConsoleFullAccess",,
"AmazonElasticFileSystemClientFullAccess","arn:aws:iam::aws:policy/AmazonElasticFileSystemClientFullAccess",,
"AWSIoTDeviceDefenderUpdateDeviceCertMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderUpdateDeviceCertMitigationAction",,
"AWSForWordPressPluginPolicy","arn:aws:iam::aws:policy/AWSForWordPressPluginPolicy",,
"AWSServiceRoleForAmazonEKSNodegroup","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForAmazonEKSNodegroup",,
"AWSBackupOperatorAccess","arn:aws:iam::aws:policy/AWSBackupOperatorAccess",,
"AWSApplicationAutoscalingLambdaConcurrencyPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSApplicationAutoscalingLambdaConcurrencyPolicy",,
"AmazonMachineLearningRoleforRedshiftDataSourceV2","arn:aws:iam::aws:policy/service-role/AmazonMachineLearningRoleforRedshiftDataSourceV2",,
"AWSIoTDeviceDefenderUpdateCACertMitigationAction","arn:aws:iam::aws:policy/service-role/AWSIoTDeviceDefenderUpdateCACertMitigationAction",,
"AmazonWorkSpacesServiceAccess","arn:aws:iam::aws:policy/AmazonWorkSpacesServiceAccess",,
"AmazonEKSServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonEKSServiceRolePolicy",,
"AWSConfigMultiAccountSetupPolicy","arn:aws:iam::aws:policy/aws-service-role/AWSConfigMultiAccountSetupPolicy",,
"AmazonElasticFileSystemClientReadOnlyAccess","arn:aws:iam::aws:policy/AmazonElasticFileSystemClientReadOnlyAccess",,
"CloudFormationStackSetsOrgMemberServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/CloudFormationStackSetsOrgMemberServiceRolePolicy",,
"AWSResourceAccessManagerResourceShareParticipantAccess","arn:aws:iam::aws:policy/AWSResourceAccessManagerResourceShareParticipantAccess",,
"AWSBackupFullAccess","arn:aws:iam::aws:policy/AWSBackupFullAccess",,
"AmazonCodeGuruProfilerReadOnlyAccess","arn:aws:iam::aws:policy/AmazonCodeGuruProfilerReadOnlyAccess",,
"AWSNetworkManagerReadOnlyAccess","arn:aws:iam::aws:policy/AWSNetworkManagerReadOnlyAccess",,
"CloudWatchSyntheticsFullAccess","arn:aws:iam::aws:policy/CloudWatchSyntheticsFullAccess",,
"AWSDataExchangeSubscriberFullAccess","arn:aws:iam::aws:policy/AWSDataExchangeSubscriberFullAccess",,
"IAMAccessAnalyzerFullAccess","arn:aws:iam::aws:policy/IAMAccessAnalyzerFullAccess",,
"AWSServiceCatalogAdminReadOnlyAccess","arn:aws:iam::aws:policy/AWSServiceCatalogAdminReadOnlyAccess",,
"AWSQuickSightSageMakerPolicy","arn:aws:iam::aws:policy/service-role/AWSQuickSightSageMakerPolicy",,
"AmazonWorkSpacesSelfServiceAccess","arn:aws:iam::aws:policy/AmazonWorkSpacesSelfServiceAccess",,
"AmazonManagedBlockchainServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonManagedBlockchainServiceRolePolicy",,
"AWSDataExchangeFullAccess","arn:aws:iam::aws:policy/AWSDataExchangeFullAccess",,
"AWSDataExchangeProviderFullAccess","arn:aws:iam::aws:policy/AWSDataExchangeProviderFullAccess",,
"AWSControlTowerServiceRolePolicy","arn:aws:iam::aws:policy/service-role/AWSControlTowerServiceRolePolicy",,
"AmazonSageMakerNotebooksServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonSageMakerNotebooksServiceRolePolicy",,
"AmazonRoute53ResolverFullAccess","arn:aws:iam::aws:policy/AmazonRoute53ResolverFullAccess",,
"LakeFormationDataAccessServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/LakeFormationDataAccessServiceRolePolicy",,
"AmazonChimeServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonChimeServiceRolePolicy",,
"AWSTrustedAdvisorReportingServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AWSTrustedAdvisorReportingServiceRolePolicy",,
"AWSOpsWorksRegisterCLI_EC2","arn:aws:iam::aws:policy/AWSOpsWorksRegisterCLI_EC2",,
"AWSSavingsPlansFullAccess","arn:aws:iam::aws:policy/AWSSavingsPlansFullAccess",,
"AWSServiceRoleForImageBuilder","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForImageBuilder",,
"AmazonCodeGuruReviewerServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/AmazonCodeGuruReviewerServiceRolePolicy",,
"AWSAppMeshPreviewEnvoyAccess","arn:aws:iam::aws:policy/AWSAppMeshPreviewEnvoyAccess",,
"MigrationHubServiceRolePolicy","arn:aws:iam::aws:policy/aws-service-role/MigrationHubServiceRolePolicy",,
"AWSImageBuilderReadOnlyAccess","arn:aws:iam::aws:policy/AWSImageBuilderReadOnlyAccess",,
"AWSMarketplaceMeteringRegisterUsage","arn:aws:iam::aws:policy/AWSMarketplaceMeteringRegisterUsage",,
"AmazonManagedBlockchainReadOnlyAccess","arn:aws:iam::aws:policy/AmazonManagedBlockchainReadOnlyAccess",,
"AmazonRekognitionCustomLabelsFullAccess","arn:aws:iam::aws:policy/AmazonRekognitionCustomLabelsFullAccess",,
"AmazonManagedBlockchainConsoleFullAccess","arn:aws:iam::aws:policy/AmazonManagedBlockchainConsoleFullAccess",,
"AWSSavingsPlansReadOnlyAccess","arn:aws:iam::aws:policy/AWSSavingsPlansReadOnlyAccess",,
"AWSIoTDeviceTesterForGreengrassFullAccess","arn:aws:iam::aws:policy/AWSIoTDeviceTesterForGreengrassFullAccess",,
"AWSServiceRoleForSMS","arn:aws:iam::aws:policy/aws-service-role/AWSServiceRoleForSMS",,
"CloudWatchCrossAccountAccess","arn:aws:iam::aws:policy/aws-service-role/CloudWatch-CrossAccountAccess",,
"AWSLakeFormationDataAdmin","arn:aws:iam::aws:policy/AWSLakeFormationDataAdmin",,
"AWSDenyAll","arn:aws:iam::aws:policy/AWSDenyAll",,
"AWSIQFullAccess","arn:aws:iam::aws:policy/AWSIQFullAccess",,
"EC2InstanceConnect","arn:aws:iam::aws:policy/EC2InstanceConnect",,
"AWSAppMeshEnvoyAccess","arn:aws:iam::aws:policy/AWSAppMeshEnvoyAccess",,
"AmazonKendraReadOnlyAccess","arn:aws:iam::aws:policy/AmazonKendraReadOnlyAccess",,
