file_extension,metadata_description,metadata_category
*.icc,,
*.icd,,
*.ici,,
*.icm,,
*.icns,,
*.ico,,
*.idw,,
*.ifc,,
*.ifds,,
*.iff,,
*.ifx,,
*.igc,,
*.iges,,
*.ihtml,,
*.iim,,executable
*.ijs,,
*.ilbm,,
*.ildoc,,
*.img,,
*.imoviemobile,,
*.imovieproj,,
*.inc,,
*.indd,,
*.inf,,
*.info,,
*.ini,,
*.ino,,
*.int,,
*.io,,
*.iob,,
*.ipa,,
*.ipg,,
*.ipn,,
*.ipt,,
*.ipynb,,
*.irock,,
*.iso,,
*.it,,
*.itcl,,
*.item.gbx,,
*.itm,,
*.itn,,
*.j64,,
*.jag,,
*.jam,,
*.jap,,
*.jar,,executable
*.jas,,
*.java,,executable
*.jdx,,
*.jeff,,
*.jfif,,
*.jmesh,,
*.jng,,
*.jnlp,,
*.job,,executable
*.jp2,,
*.jpeg,,
*.jpg,,
*.jps,,
*.js,,
*.jsfl,,
*.json,,
*.jsonld,,
*.jsp,,
*.jst,,
*.jt,,
*.kcl,,
*.kdb,,
*.kdbx,,
*.kdenlive,,
*.kern,,
*.kexi,,
*.kexic,,
*.kexis,,
*.key,,
*.keynote,,
*.kmc,,
*.kml,,
*.ko,,
*.kode,,
*.kprx,,
*.kra,,
*.ksh,,executable
*.kt,,
*.ktr,,
*.l,,
*.la,,
*.las,,
*.lasso,,
*.lassoapp,,
*.lawrence,,
*.lbm,,
*.lbr,,
*.lcw,,
*.ldb,,
*.ldr,,
*.lef,,
*.lemonapp,,
*.lgt,,
*.lib,,
*.lip,,
*.lirs,,
*.lisp,,
*.list,,
*.lmp,,
*.lnk,,link
*.lnx,,
*.loc,,
*.log,,
*.logic,,
*.love,,
*.lqr,,
*.lsm,,
*.lua,,
*.lwo,,
*.lwp,,
*.lws,,
*.lxf,,
*.lxo,,
*.ly,,
*.lz,,
*.lzh,,
*.lzma,,
*.lzo,,
*.lzx,,
*.m,,
*.m3d,,
*.m3u,,
*.m4,,
*.m4v,,
*.ma,,
*.mach-o,,
*.maf,,
*.maff,,
*.map,,
*.map.gbx,,
*.markdown,,
*.material.gbx,,
*.max,,
*.mb,,
*.mbp,,
*.mbw,,
*.mca,,
*.mcaddon,,
*.mcd,,
*.mcf,,
*.mcfunction,,
*.mcmeta,,
*.mcpack,,
*.mcr,,
*.mctemplate,,
*.mcw,,
*.mcworld,,
*.md,,
*.md2,,
*.md3,,
*.md5,,
*.mda,,
*.mdb,,
*.mde,,
*.mdf,,
*.mdg,,
*.mdl,,
*.mds,,
*.mdx,,
*.me,,
*.mei,,
*.mesh,,
*.met,,
*.metadata,,
*.metalink,,
*.mfer,,
*.mgf,,
*.mgh,,
*.mgmf,,
*.mgz,,
*.mht,,
*.mhtml,,document
*.mid,,
*.midata,,
*.midi,,
*.miff,,
*.miframes,,
*.milanguage,,
*.mimodel,,
*.min,,
*.minc,,
*.miobject,,
*.miparticle,,
*.mkv,,
*.ml,,
*.mm,,
*.mm3d,,
*.mml,,
*.mmp,,
*.mmr,,
*.mnb,,
*.mnc,,
*.mng,,
*.mobi,,
*.mod,,
*.model,,
*.mol,,
*.motn,,
*.mov,,
*.movie.byu,,
*.mp1,,
*.mp2,,
*.mp3,,
*.mpc,,
*.mpd,,
*.mpe,,
*.mpeg,,
*.mpeg-1,,
*.mpeg-2,,
*.mpeg-4,,
*.mpg,,
*.mpo,,
*.mpp,,
*.mpq,,
*.mrc,,
*.ms12,,
*.msc,,executable
*.mscx,,
*.mscz,,
*.mseed,,
*.msg,,
*.msi,,executable
*.msp,,executable
*.msqr,,
*.mst,,executable
*.mswmm,,
*.mt2,,
*.mus,,
*.musx,,
*.mx6hs,,
*.mxd,,
*.mxf,,
*.mxl,,
*.myd,,
*.myi,,
*.myo,,
*.myob,,
*.n,,
*.n64,,
*.nal,,
*.narc,,
*.nasa-ames,,
*.nb,,
*.nbp,,
*.nbs,,
*.nbt,,
*.ncbi,,
*.ncf,,
*.nds,,
*.neis,,
*.nes,,
*.netcdf,,
*.nexml,,
*.nexus,,
*.ngc,,
*.ngp,,
*.nif,,
*.niff,,
*.nifti,,
*.nii,,
*.nii.gz,,
*.nitf,,
*.nl2pkg,,
*.nlm,,
*.noa,,
*.npc,,
*.npr,,
*.nq,,
*.nqp,,
*.nrg,,
*.nsf,,
*.nsign,,
*.nsigne,,
*.nsv,,
*.nt,,
*.ntf,,
*.nth,,
*.nuc,,
*.nud,,
*.numbers,,
*.nut,,
*.nv2,,
*.nvram,,
*.nwk,,
*.o,,
*.oar,,
*.oasis,,
*.obj,,
*.ocd,,
*.ocx,,
*.odb,,
*.odf,,
*.odg,,
*.odm,,
*.odoc,,
*.odp,,
*.ods,,
*.odt,,
*.oec,,
*.oer,,
*.off,,
*.ofr,,
*.ofs,,
*.ofx,,
*.ogex,,
*.ogg,,
*.omf,,
*.omfi,,
*.omm,,
*.opdownload,,
*.openaccess,,
*.openxdf,,
*.ora,,
*.orc,,
*.org,,
*.osb,,
*.osc,,
*.osf2,,
*.osg,,
*.osheet,,
*.osk,,
*.osr,,
*.ost,,
*.osu,,
*.osx,,executable
*.osz,,
