file_name,metadata_category,metadata_description,metadata_confidence,metadata_common,metadata_execution,metadata_InitialAccess,metadata_exec,metadata_windowsbuiltin,metadata_comment,metadata_chromeplatform,metadata_chromedangerlevel,metadata_chromeautoopenhint,metadata_container,metadata_businesscase,metadata_execute,metadata_code,metadata_tags,metadata_reference
.rels,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xml,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xsl,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.xsd,Browser,will open in IE even when chrome is set as default browser,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.url,Browser,Internet Shortcut,,,,,,,They can point at anything. Dropping a download of this type and opening it automatically can in effect sidestep origin restrictions etc.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.website,Browser,Internet Shortcut,,,,,,,They can point at anything. Dropping a download of this type and opening it automatically can in effect sidestep origin restrictions etc.,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.crt,Certificate,Signed certificate file,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.cer,Certificate,Signed certificate file,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.der,Certificate,Signed certificate file,,,,,,,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,ALLOW_AUTO_OPEN,,,,,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ps1,Code,Powershell script,High,True,,,often,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ps1xml,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.psm1,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ps2,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.ps2xml,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.psc1,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.psc2,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msh,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msh1,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msh2,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.mshxml,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msh1xml,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
.msh2xml,Code,Powershell script,,,,,,True,,PLATFORM_TYPE_WINDOWS,ALLOW_ON_USER_GESTURE,DISALLOW_AUTO_OPEN,,,,True,,https://github.com/dobin/badfiles/blob/main/info.yaml
